uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"eb814228-1c6a-4c8a-bdf1-717ecc9037b7",43329,"Payload delivery","filename","7rtzl.arm","",0,1610353725,"","","","",""
"6d5e28a5-52ba-482d-9fd6-0d376d815313",43329,"Payload delivery","md5","e4f81b3ab1795227c3a50503633ce2d5","",1,1610353725,"","","","",""
"00520bcb-5728-44e7-8292-357e98bcfd4d",43329,"Payload delivery","sha1","3c28a6b0e9f49d32983cdec909a9b48d9b17d0db","",1,1610353725,"","","","",""
"3ae286f9-2afd-49a9-b1db-ef014d2412d8",43329,"Payload delivery","sha256","b950eb440a872b5e84d92400e4189afbe4923fdcb0a81592180c9d5f0b038fb4","",1,1610353725,"","","","",""
"2b8ab82c-8ec2-40fa-9cf4-44d25d73f71d",43329,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, stripped","",0,1610353725,"","","","",""
"cd22506b-0d33-4514-a1f5-d2c008881f41",43329,"Network activity","url","http://185.117.119.71/Optzl/7rtzl.arm","",1,1610353725,"","","","",""
"d656e782-7fc4-4086-b2f0-1de9e7cf17e1",43329,"Network activity","ip-dst","185.117.119.71","",1,1610353725,"","","","",""
"1de0ed15-1f5f-4bee-90e1-0a6b506ebdea",43329,"External analysis","link","https://www.virustotal.com/gui/file/b950eb440a872b5e84d92400e4189afbe4923fdcb0a81592180c9d5f0b038fb4/detection","",0,1610353726,"permalink","","6381e69e-ebc4-40c3-86c9-adffbedce418","virustotal-report","misc"
"aa3ee398-bf6b-4a64-93ed-7e3bc3f6f040",43329,"Other","datetime","2021-01-11T05:40:56.000000+0000","",0,1610353727,"last-submission","","6381e69e-ebc4-40c3-86c9-adffbedce418","virustotal-report","misc"
"052b40ee-4855-4c6a-9c02-06c8e0fa4d72",43329,"Other","text","27/62","",0,1610353727,"detection-ratio","","6381e69e-ebc4-40c3-86c9-adffbedce418","virustotal-report","misc"

