uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"8a576666-d144-402d-bd92-4b81d7b3ad05",3831,"Payload delivery","filename",".Sx86_64","",0,1716227823,"","","","",""
"00103402-9a3f-4f20-b400-36a1703c29fb",3831,"Payload delivery","md5","a7ca06b257991448dfdf164495829835","",1,1716227823,"","","","",""
"d4c4560a-6124-4011-a178-4173c8e8834c",3831,"Payload delivery","sha1","4d0ee34c5d91ab45ab0eb953e69b5c13e8ab37ba","",1,1716227823,"","","","",""
"2d78490d-ea00-4c12-b7b1-cca18152ae4a",3831,"Payload delivery","sha256","9c7f109f4ec49d30559349e90a39fcb8b881dcb318ecbc948789ae0375b60e6b","",1,1716227823,"","","","",""
"21ec9502-12ed-4aab-9930-f8240dc79da4",3831,"Payload delivery","mime-type","application/x-executable","",0,1716227823,"","","","",""
"ab0585e8-5ca1-4720-9da6-787e0feb208f",3831,"Network activity","url","http://94.156.64.34/.Sx86_64","",1,1716227823,"","","","",""
"4787dccd-2b56-42b0-8f42-097c02974e04",3831,"Network activity","ip-dst","94.156.64.34","",1,1716227823,"","","","",""
"005ecae4-3616-42b2-9bcb-c0313c5a5c8e",3831,"External analysis","link","https://www.virustotal.com/gui/file/9c7f109f4ec49d30559349e90a39fcb8b881dcb318ecbc948789ae0375b60e6b/detection","",0,1716227823,"permalink","","1b62d539-c46d-4dbe-a6cd-2471164107a2","virustotal-report","misc"
"31741a28-b47a-422b-96fa-9663cdacf44c",3831,"Other","datetime","2024-05-20T15:16:35.000000+0000","",0,1716227823,"last-submission","","1b62d539-c46d-4dbe-a6cd-2471164107a2","virustotal-report","misc"
"0cd08c4c-047b-4636-926d-fbef254263a9",3831,"Other","text","22/67","",0,1716227823,"detection-ratio","","1b62d539-c46d-4dbe-a6cd-2471164107a2","virustotal-report","misc"

