uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"af2beaf2-f5d0-489b-9af3-32283647f699",13854,"Payload delivery","filename","dropper_cs_ps_v2.exe","",0,1701725294,"","","","",""
"64c6f28a-33df-4af0-ba7e-138e47cd0eca",13854,"Payload delivery","md5","19413b155189b0166e8a82331929ceea","",1,1701725294,"","","","",""
"eb26d1ea-bb75-4963-b3fc-ee509d548daf",13854,"Payload delivery","sha1","e0b414cdb79bcf38374d6c2f192ff309eb5f623b","",1,1701725294,"","","","",""
"54361996-5223-4716-9636-c03332c94e05",13854,"Payload delivery","sha256","cd4cbf92ea784cac5f66251c77869dfe19de753107bf4dd49e24c5ef9041f547","",1,1701725294,"","","","",""
"d885adf0-ab23-4c82-be65-004f584b8287",13854,"Payload delivery","mime-type","application/x-dosexec","",0,1701725294,"","","","",""
"3a635191-98a0-4a1f-8d6b-dfadc0bd30e0",13854,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1701725294,"","","","",""
"5512ae2c-7d3b-400a-b3fa-e05b4573d197",13854,"Network activity","url","http://139.59.72.48:8000/dropper_cs_ps_v2.exe","",1,1701725294,"","","","",""
"458c6244-d86a-43ef-8c2c-af269f464eae",13854,"Network activity","ip-dst","139.59.72.48","",1,1701725294,"","","","",""
"9d1c23c7-f714-484a-9348-5a58b5ecb399",13854,"Other","text",".text","",0,1701725294,"name","","7582dc93-ed87-4e04-95a6-a4865dfa522c","pe-section","file"
"bc9d9f7e-2f23-4439-b443-8e1fd472bacd",13854,"Payload delivery","md5","d5a541efb1cc0ff7168c6fc6bd39f864","",1,1701725294,"md5","","7582dc93-ed87-4e04-95a6-a4865dfa522c","pe-section","file"
"1022832a-b752-4b56-8316-76e6577c104b",13854,"Payload delivery","sha1","2bec2ab5f6bbd7ce1ec9bbb6f4c0b9d12ab32407","",1,1701725294,"sha1","","7582dc93-ed87-4e04-95a6-a4865dfa522c","pe-section","file"
"761f29e8-a274-49b1-b66f-d382977bfe19",13854,"Payload delivery","sha256","c049bd94e2c5bcc35afc7d14478c5f7ef5311df13a5cb95ddd3d8423779cf943","",1,1701725294,"sha256","","7582dc93-ed87-4e04-95a6-a4865dfa522c","pe-section","file"
"846f80e0-6c91-4edd-b7c2-657aa5f2f7e0",13854,"Other","size-in-bytes",12800,"",0,1701725294,"size-in-bytes","","7582dc93-ed87-4e04-95a6-a4865dfa522c","pe-section","file"
"e2195936-dcf1-447e-acec-03827142b191",13854,"Other","float",4.39385,"",0,1701725294,"entropy","","7582dc93-ed87-4e04-95a6-a4865dfa522c","pe-section","file"
"b46e22e1-bc7b-4346-9aa1-160625f67c0f",13854,"Other","text",".rsrc","",0,1701725294,"name","","af306ff1-f14b-4601-b330-cc52a3d180f5","pe-section","file"
"4cfeac5c-5249-4c02-968a-79dbc3c0cbd7",13854,"Payload delivery","md5","209a13cbe674e63110b265101a112f10","",1,1701725294,"md5","","af306ff1-f14b-4601-b330-cc52a3d180f5","pe-section","file"
"31dd7e42-3642-4e0d-88fe-585a3a3a1fb3",13854,"Payload delivery","sha1","d8b224a34f9a0a9589e78bfa98ef2a13c0f6ab0a","",1,1701725294,"sha1","","af306ff1-f14b-4601-b330-cc52a3d180f5","pe-section","file"
"acc6e7b2-b5e0-4e9a-98e8-fac0acb40645",13854,"Payload delivery","sha256","6b581be196f41fe945a6304ddf9d109e78ab4fc1183808e63d17053aab470f85","",1,1701725294,"sha256","","af306ff1-f14b-4601-b330-cc52a3d180f5","pe-section","file"
"c32af9ea-ecd8-4fa7-a9b2-2fd10a96c7e9",13854,"Other","size-in-bytes",1024,"",0,1701725294,"size-in-bytes","","af306ff1-f14b-4601-b330-cc52a3d180f5","pe-section","file"
"431aabe6-9f32-44a6-b03d-1f86766f6dac",13854,"Other","float",2.47687,"",0,1701725294,"entropy","","af306ff1-f14b-4601-b330-cc52a3d180f5","pe-section","file"
"3c189765-1b87-43cf-9492-39eba1350c2c",13854,"Other","text",".reloc","",0,1701725295,"name","","7b3d6daf-d7dd-401d-a2a7-a4e875b3801b","pe-section","file"
"5a88f253-b3e1-4c75-a2bc-a81c08ea2134",13854,"Payload delivery","md5","2f90940132a87c2fe4a386de46f6ae03","",1,1701725295,"md5","","7b3d6daf-d7dd-401d-a2a7-a4e875b3801b","pe-section","file"
"fb9dea8c-1bc1-4615-b49a-d8c370e67eca",13854,"Payload delivery","sha1","1432df46c8f1bb94077043788c19aa0e80b968b4","",1,1701725295,"sha1","","7b3d6daf-d7dd-401d-a2a7-a4e875b3801b","pe-section","file"
"c8a7ad2e-0153-492f-89d6-76c4e1cfff3d",13854,"Payload delivery","sha256","9bfd8ec30b57e02e58921a1189f6091615b295a4ea90a72fec5b3b5e09170a2c","",1,1701725295,"sha256","","7b3d6daf-d7dd-401d-a2a7-a4e875b3801b","pe-section","file"
"d7089648-4f03-4c62-ad02-6e2826ba6c5b",13854,"Other","size-in-bytes",512,"",0,1701725295,"size-in-bytes","","7b3d6daf-d7dd-401d-a2a7-a4e875b3801b","pe-section","file"
"68ac68c9-a22b-45f6-bd0c-6519e386926b",13854,"Other","float",0.0815394,"",0,1701725295,"entropy","","7b3d6daf-d7dd-401d-a2a7-a4e875b3801b","pe-section","file"

