uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"89e7c898-0579-4b9b-a626-e3d9e137b384",5098,"Payload delivery","filename","o.sh","",0,1717103883,"","","","",""
"46ffda98-4cde-4c68-b801-13157dd16053",5098,"Payload delivery","md5","31e81227cd6e50c7017dc35645feb28f","",1,1717103883,"","","","",""
"ee197f6f-e961-4489-950d-49fb6b1d2b2c",5098,"Payload delivery","sha1","72c4080d40878305e32fa032368a9654e284d283","",1,1717103883,"","","","",""
"2eba5fc4-f04c-4113-b0bf-8216ba63f4b6",5098,"Payload delivery","sha256","ba75b77b04e6f9295143ed2065c258b8cb49aed43c8d897ae6d3e5f29b6736ae","",1,1717103883,"","","","",""
"823e44db-b317-44d4-bab1-9a95e3b6d0ce",5098,"Payload delivery","mime-type","text/x-shellscript","",0,1717103883,"","","","",""
"f7014bfe-f1a5-45f1-a58b-35c82ced0c06",5098,"Network activity","url","http://78.153.140.96/o.sh","",1,1717103883,"","","","",""
"7d8bd7c0-2635-4a49-ae5b-0fa5fdd08e93",5098,"Network activity","ip-dst","78.153.140.96","",1,1717103883,"","","","",""
"2ba936a6-79cd-4a7a-969c-b026187f7638",5098,"External analysis","link","https://www.virustotal.com/gui/file/ba75b77b04e6f9295143ed2065c258b8cb49aed43c8d897ae6d3e5f29b6736ae/detection","",0,1717103883,"permalink","","ea06250e-4bda-410d-a8a4-44b38732afc6","virustotal-report","misc"
"127f781c-20f1-40fd-accc-d228946f57e6",5098,"Other","datetime","2024-05-08T12:20:35.000000+0000","",0,1717103883,"last-submission","","ea06250e-4bda-410d-a8a4-44b38732afc6","virustotal-report","misc"
"c2ef02ab-c0ff-4f11-8f2c-3d488e99ec1a",5098,"Other","text","36/63","",0,1717103883,"detection-ratio","","ea06250e-4bda-410d-a8a4-44b38732afc6","virustotal-report","misc"

