uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"26d457b9-6bb6-47c3-9900-f618bfbb23e1",21973,"Payload delivery","filename","slov.exe","",0,1661914090,"","","","",""
"3378542f-f82c-4285-8764-7e7ac9f045a1",21973,"Payload delivery","md5","896f4803ed3248a63025d02f18454dd4","",1,1661914090,"","","","",""
"70439933-adfb-4ac6-bfce-351fb74093fb",21973,"Payload delivery","sha1","1a42b329c996ce59ec5b80e023011f222e487c52","",1,1661914090,"","","","",""
"43c2f419-8bfa-4c7c-8d67-b16c22f96306",21973,"Payload delivery","sha256","6a0b02806fa43436c573826f3b551a95479f1bb93eb9e68580ea9787ce636043","",1,1661914090,"","","","",""
"1a4ef6ee-03fc-4d6d-ac04-19e244f08e42",21973,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1661914090,"","","","",""
"bd1a226e-525f-443d-86f9-c03856ceb252",21973,"Payload delivery","imphash","885c07b22374dc1137a9f063282ad390","",0,1661914090,"","","","",""
"0191355d-ceac-47ec-8fb2-457241b6ce0a",21973,"Network activity","url","https://belladama.fr/slov.exe","",1,1661914090,"","","","",""
"c9a8cc2c-0aae-46e3-90f9-9e7839ae86df",21973,"Network activity","domain","belladama.fr","",1,1661914090,"","","","",""
"d73349be-3d9d-4a9d-820d-e27abaa84450",21973,"Other","text",".text","",0,1661914090,"name","","60f48f15-1ccd-424a-b7bc-9c03deba16e0","pe-section","file"
"565d4fdf-d905-4f34-9b3d-9a3a5e26f29d",21973,"Payload delivery","md5","6c00258821261b5991f10753725e9de2","",1,1661914090,"md5","","60f48f15-1ccd-424a-b7bc-9c03deba16e0","pe-section","file"
"f049065d-bbd4-4df8-97f4-6c7a4b233294",21973,"Payload delivery","sha1","0525d3f29fea20b26e67e8a90abe6fe3dbdf2276","",1,1661914090,"sha1","","60f48f15-1ccd-424a-b7bc-9c03deba16e0","pe-section","file"
"6de88555-1389-4f4e-a390-eac17cab749f",21973,"Payload delivery","sha256","49896fd5c18e582915f60b35e591df8e9efe748a7c509274bea4587e061b481d","",1,1661914090,"sha256","","60f48f15-1ccd-424a-b7bc-9c03deba16e0","pe-section","file"
"f2f662be-38a5-4a3e-920a-bad6db9dbf56",21973,"Other","size-in-bytes",740864,"",0,1661914090,"size-in-bytes","","60f48f15-1ccd-424a-b7bc-9c03deba16e0","pe-section","file"
"ac6b9d55-43d1-4250-9a4e-084d7a9965bc",21973,"Other","float",5.87856,"",0,1661914090,"entropy","","60f48f15-1ccd-424a-b7bc-9c03deba16e0","pe-section","file"
"9c049502-1ba3-4ff7-8323-bc0cb51b0682",21973,"Other","text",".rdata","",0,1661914090,"name","","2e78ad67-b4f6-4f78-8cf8-36391063a8f8","pe-section","file"
"e048a9b4-39ae-47a4-865b-8cc76810516a",21973,"Payload delivery","md5","b869a0a4fb397a1a8700cb719effbdd6","",1,1661914090,"md5","","2e78ad67-b4f6-4f78-8cf8-36391063a8f8","pe-section","file"
"2896ad39-28ea-4736-897f-5c8187ee457c",21973,"Payload delivery","sha1","b8187a6a9573158bc98a163478c2c60efd3eae2d","",1,1661914090,"sha1","","2e78ad67-b4f6-4f78-8cf8-36391063a8f8","pe-section","file"
"5ae7d22f-294c-432e-bc03-b50aaf1c121f",21973,"Payload delivery","sha256","caa785382ea35ddeb7c457721def0f2b02b46cba0231f025a69abad37e9ea1a2","",1,1661914090,"sha256","","2e78ad67-b4f6-4f78-8cf8-36391063a8f8","pe-section","file"
"1b9639ec-bcd4-4b8a-813f-f6c9ccd7e2a8",21973,"Other","size-in-bytes",146944,"",0,1661914090,"size-in-bytes","","2e78ad67-b4f6-4f78-8cf8-36391063a8f8","pe-section","file"
"7a05429c-2f1e-47c5-acc6-c1e59f6c6984",21973,"Other","float",4.01281,"",0,1661914090,"entropy","","2e78ad67-b4f6-4f78-8cf8-36391063a8f8","pe-section","file"
"2698a475-8f1a-45a6-88c9-1e455e4288af",21973,"Other","text",".data","",0,1661914091,"name","","60a339f6-df01-4a9b-9401-5c18f2046774","pe-section","file"
"ad2a84f7-8bcc-4915-b10a-728cd5cfe414",21973,"Payload delivery","md5","f6b3fc68066c729955d6882b9d4708b7","",1,1661914091,"md5","","60a339f6-df01-4a9b-9401-5c18f2046774","pe-section","file"
"96967a01-7d14-40a0-9d03-e32679a67beb",21973,"Payload delivery","sha1","bf29429c0eb62ae8bf71a6b86d1f314d16b53502","",1,1661914091,"sha1","","60a339f6-df01-4a9b-9401-5c18f2046774","pe-section","file"
"3cc9db7f-3561-45f2-be5a-4b74040249b5",21973,"Payload delivery","sha256","8db563cb05b65fb62f936216f55f80dc910365ebfd731115e70f4027f555b1eb","",1,1661914091,"sha256","","60a339f6-df01-4a9b-9401-5c18f2046774","pe-section","file"
"800ed8c1-8b4d-499e-80ed-7633190921de",21973,"Other","size-in-bytes",48640,"",0,1661914091,"size-in-bytes","","60a339f6-df01-4a9b-9401-5c18f2046774","pe-section","file"
"58b1d13d-6ca6-48e4-84db-6672961247e6",21973,"Other","float",6.64348,"",0,1661914091,"entropy","","60a339f6-df01-4a9b-9401-5c18f2046774","pe-section","file"
"0e0c110e-5f8c-4f72-b87c-5f395d371c7f",21973,"Other","text",".idata","",0,1661914091,"name","","825577b6-5d33-4887-a098-8a059e027aab","pe-section","file"
"864d82bb-01bd-4543-a467-8dfce595c630",21973,"Payload delivery","md5","786df39ac53abe7e860de74b8a25c649","",1,1661914091,"md5","","825577b6-5d33-4887-a098-8a059e027aab","pe-section","file"
"002d3b4a-6eb0-4bbe-b826-dd720067a44a",21973,"Payload delivery","sha1","fccc750e6501e63822e75fe82aa2fdd81b190663","",1,1661914091,"sha1","","825577b6-5d33-4887-a098-8a059e027aab","pe-section","file"
"81708c57-61a7-494e-9bad-60a95ff7ac47",21973,"Payload delivery","sha256","0937a2df2cf7a7a888ce40196e5af1a28e442ea26144e435abecae9f4a55ea8f","",1,1661914091,"sha256","","825577b6-5d33-4887-a098-8a059e027aab","pe-section","file"
"16f37eed-79b2-4d20-a790-f39d9a37c58b",21973,"Other","size-in-bytes",3584,"",0,1661914091,"size-in-bytes","","825577b6-5d33-4887-a098-8a059e027aab","pe-section","file"
"e0069f6d-af02-41cd-aed3-770651df8828",21973,"Other","float",4.56086,"",0,1661914091,"entropy","","825577b6-5d33-4887-a098-8a059e027aab","pe-section","file"
"e1997b0d-362e-46db-bfbf-1cfc04700901",21973,"Other","text",".00cfg","",0,1661914091,"name","","82785d36-3fde-485d-8b8a-9638a91656b4","pe-section","file"
"6cabbebd-121c-4f64-8357-45371008bfd5",21973,"Payload delivery","md5","3d2bd04acbeee8cefb69bb7e08d24297","",1,1661914091,"md5","","82785d36-3fde-485d-8b8a-9638a91656b4","pe-section","file"
"71a569d7-0633-4bc1-aaa3-952726f7b01a",21973,"Payload delivery","sha1","9f19045290ce7de512c71482f0575bbb956cd060","",1,1661914091,"sha1","","82785d36-3fde-485d-8b8a-9638a91656b4","pe-section","file"
"7c05cd5b-5e98-4112-aa94-4002a90bc0d0",21973,"Payload delivery","sha256","63677d6f4a91b8b87d28694e7a17966f4068dbc3cbc85c2a5b857ddd0054886f","",1,1661914091,"sha256","","82785d36-3fde-485d-8b8a-9638a91656b4","pe-section","file"
"b0a54fb1-3aca-48fb-9626-873af6d0dd6e",21973,"Other","size-in-bytes",512,"",0,1661914091,"size-in-bytes","","82785d36-3fde-485d-8b8a-9638a91656b4","pe-section","file"
"0825c921-48a8-469f-b8b0-03d3e655a19e",21973,"Other","float",0.110557,"",0,1661914091,"entropy","","82785d36-3fde-485d-8b8a-9638a91656b4","pe-section","file"
"303ad777-b18e-48da-8688-c10450c86086",21973,"Other","text",".rsrc","",0,1661914091,"name","","8cb3b536-25f7-43bf-9252-ec529c986bab","pe-section","file"
"136c2569-9e91-4f29-b332-f10de5cf172f",21973,"Payload delivery","md5","097511345ceb5a5e92db9eaee619e58f","",1,1661914091,"md5","","8cb3b536-25f7-43bf-9252-ec529c986bab","pe-section","file"
"5903ff02-d200-471d-814b-da27b13eff6d",21973,"Payload delivery","sha1","43136472e1f27832e174e77c76761f2554f6618e","",1,1661914091,"sha1","","8cb3b536-25f7-43bf-9252-ec529c986bab","pe-section","file"
"a74bdd4a-5466-4443-9c45-0c9bce85f1f6",21973,"Payload delivery","sha256","cb2c4cfc6e5ac811ed521d9d43aaebf0fa117186e5636798dd9a26cbdcd9ff7d","",1,1661914091,"sha256","","8cb3b536-25f7-43bf-9252-ec529c986bab","pe-section","file"
"44c0e2bf-60c4-4f86-9c23-d4d109478b78",21973,"Other","size-in-bytes",1536,"",0,1661914091,"size-in-bytes","","8cb3b536-25f7-43bf-9252-ec529c986bab","pe-section","file"
"0f45de0b-0e38-4b98-b7a3-bf1b7550b2c4",21973,"Other","float",3.97629,"",0,1661914091,"entropy","","8cb3b536-25f7-43bf-9252-ec529c986bab","pe-section","file"
