uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"aa3d7689-fe1e-4d58-9b6a-e0a24bca5e86",8999,"Payload delivery","filename","Bypass.bat","",0,1695415625,"","","","",""
"41e80fa4-7c76-4677-9b0c-c4aff8ca260f",8999,"Payload delivery","md5","08c880b1f0b63680b7bdd78408bdceda","",1,1695415625,"","","","",""
"873d77a0-9dd1-4caa-9de2-d485fb7dc347",8999,"Payload delivery","sha1","744962d926b1b87e1cc6b39b33c08138ea0e940e","",1,1695415625,"","","","",""
"aed581c6-fa0b-4c72-ba3d-6e06a25e3cb3",8999,"Payload delivery","sha256","90eb14090777aa5ec4e72b3850a25fc4d08e64273c85586494b9838df8d493d9","",1,1695415625,"","","","",""
"9fdb8d2a-6c37-417c-b45b-4dcbd1405968",8999,"Payload delivery","mime-type","text/x-msdos-batch","",0,1695415625,"","","","",""
"d5de3e4c-022a-44bb-9b1e-fef2140270ce",8999,"Network activity","url","http://45.66.230.113/Bypass.bat","",1,1695415625,"","","","",""
"9019059c-222f-4c44-abb8-cf2ac3a276dc",8999,"Network activity","ip-dst","45.66.230.113","",1,1695415625,"","","","",""
"68fd78a2-cc29-434a-bf27-293c8834bc01",8999,"External analysis","link","https://www.virustotal.com/gui/file/90eb14090777aa5ec4e72b3850a25fc4d08e64273c85586494b9838df8d493d9/detection","",0,1695415625,"permalink","","988ba497-1b6e-4922-b018-7f1152b62cc7","virustotal-report","misc"
"2e89d431-c2ae-4a1b-94e9-30930331e9a7",8999,"Other","datetime","2023-09-22T18:41:50.000000+0000","",0,1695415625,"last-submission","","988ba497-1b6e-4922-b018-7f1152b62cc7","virustotal-report","misc"
"6dca55e5-d5dd-4f94-80bc-fdcd60ac456c",8999,"Other","text","12/58","",0,1695415625,"detection-ratio","","988ba497-1b6e-4922-b018-7f1152b62cc7","virustotal-report","misc"

