uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"2b985aa5-d54d-440c-8ec7-06350c35cfdd",19413,"Payload delivery","filename","sys64.ppc","",0,1710750723,"","","","",""
"7f3433ab-0fa6-47ab-97da-3b6bf270b8b4",19413,"Payload delivery","md5","63b69b65535430f4a2eb59124cd5e3b8","",1,1710750723,"","","","",""
"657801d6-d0e9-4a1c-a94b-a852ba6b81e7",19413,"Payload delivery","sha1","3ae3ab32914970c3f00f73f47d633aefaba95d64","",1,1710750723,"","","","",""
"85600502-c1bb-4a52-8d0c-85447342beb9",19413,"Payload delivery","sha256","32bb584e77cab87e6a16339e19819d17747792c5004cb86bf2aa5add80624e7c","",1,1710750723,"","","","",""
"1144f6d7-2ece-4612-a253-470961970445",19413,"Payload delivery","mime-type","application/x-executable","",0,1710750723,"","","","",""
"465210f1-c4a0-46df-bbdb-7559e11647a9",19413,"Network activity","url","http://x.hxhk.cc/bins/sys64.ppc","",1,1710750723,"","","","",""
"69bdd6b3-02b7-4cdc-b45e-376b27179b50",19413,"Network activity","domain","x.hxhk.cc","",1,1710750723,"","","","",""
"e62a740c-8423-4f3f-91b9-2656ed278773",19413,"Network activity","url","http://z.hxhk.cc/bins/sys64.ppc","",1,1710796804,"","","","",""
"06466535-cfaa-4ead-9485-81d4ace63311",19413,"Network activity","domain","z.hxhk.cc","",1,1710796804,"","","","",""

