uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"9c35b9d6-ce9d-4b24-a04c-09fbae1f3c0f",1384,"Payload delivery","filename","9574_1638388066_8229.exe","",0,1638473168,"","","","",""
"27034b56-9f10-4378-946a-b1cdad0417b1",1384,"Payload delivery","md5","61a3807e15231687f38358e3ae6b670c","",1,1638473168,"","","","",""
"d3982c1b-babc-4556-9692-ba305d9720aa",1384,"Payload delivery","sha1","b577ef08f60b55811aa5b8b93e5b3755b899115f","",1,1638473168,"","","","",""
"837d8412-83cd-4787-82c1-fc7dc9904234",1384,"Payload delivery","sha256","56283f214f84bf23a55813990e2147767f71a61c6158ed1e5e9178527a6f90f1","",1,1638473168,"","","","",""
"e2047fb3-de4d-44e8-b69f-a3c11ae69b9c",1384,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1638473168,"","","","",""
"97c7e2c2-a30a-481d-b725-ca286e311ee1",1384,"Payload delivery","imphash","5da563873972430c247e0379344310f5","",0,1638473168,"","","","",""
"652b51e3-4054-490d-ac1c-8921ff8098e8",1384,"Network activity","url","http://host-file-host-3.com/files/9574_1638388066_8229.exe","",1,1638473168,"","","","",""
"31ecfb22-a645-47e3-9adf-afba16f9ad4a",1384,"Network activity","domain","host-file-host-3.com","",1,1638473168,"","","","",""
"01350184-d78f-4ded-bc9c-e494f9b209e8",1384,"Other","text",".text","",0,1638473169,"name","","aac36f9a-0be6-4664-a312-1622dd981f44","pe-section","file"
"7e58ce47-cb42-42d5-8eef-2f41f0794d09",1384,"Payload delivery","md5","929a16b6f5272a5bb421a4ca47a5a02e","",1,1638473169,"md5","","aac36f9a-0be6-4664-a312-1622dd981f44","pe-section","file"
"82591af1-6429-4884-8af3-46a2247e2ba6",1384,"Payload delivery","sha1","b81c598aa18b33fa9c0046c548f344a828369dbc","",1,1638473169,"sha1","","aac36f9a-0be6-4664-a312-1622dd981f44","pe-section","file"
"2fee2d17-ab64-4029-9ecb-8c76ae08c31b",1384,"Payload delivery","sha256","5e789d7629ec9cff9a5e70ee96993c07a349afc13c0c07b19e68755c05795c86","",1,1638473169,"sha256","","aac36f9a-0be6-4664-a312-1622dd981f44","pe-section","file"
"02e6b049-aa96-4937-8195-980e4133ee52",1384,"Other","size-in-bytes",586240,"",0,1638473169,"size-in-bytes","","aac36f9a-0be6-4664-a312-1622dd981f44","pe-section","file"
"c7679faa-d9bc-42c0-9d8a-1c2fb238e807",1384,"Other","float",7.74938,"",0,1638473169,"entropy","","aac36f9a-0be6-4664-a312-1622dd981f44","pe-section","file"
"0e8c17b5-cebb-47e8-8aa7-9b60cba6e984",1384,"Other","text",".data","",0,1638473169,"name","","a06ba643-d686-40e9-8b3a-e8182da61dbb","pe-section","file"
"ed427af6-48e1-4956-b7c1-1214ba11ae83",1384,"Payload delivery","md5","af9b0d892b2528a83a9cff1a9d11c924","",1,1638473169,"md5","","a06ba643-d686-40e9-8b3a-e8182da61dbb","pe-section","file"
"55e5cebb-23d0-40ac-8384-f5d74a546957",1384,"Payload delivery","sha1","af463b8d266cc69250a3f89f583a21b5bfea50e7","",1,1638473169,"sha1","","a06ba643-d686-40e9-8b3a-e8182da61dbb","pe-section","file"
"f9fe3fef-214f-44df-8604-8855938861c9",1384,"Payload delivery","sha256","907cf9e32bf18b54b18c3e9278bc43782f336c43256eb6f582bc86dce7c00ae1","",1,1638473169,"sha256","","a06ba643-d686-40e9-8b3a-e8182da61dbb","pe-section","file"
