uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"c605b06b-d6ba-42d3-9e3b-38d04a0f2525",47169,"Payload delivery","filename","6sdws3dsf.exe","",0,1612904892,"","","","",""
"6621bccd-28cb-43ac-90d4-3f7081880e6b",47169,"Payload delivery","md5","745ffa0c4aa9719303ff98dcb7256d0b","",1,1612904892,"","","","",""
"f6322a3e-5e7a-410b-978d-314c00705298",47169,"Payload delivery","sha1","60e7a3d995336bfd223e1ca3fe01714e2b1eb4e1","",1,1612904892,"","","","",""
"1448c75f-cd08-46ad-a521-e06d256fb21a",47169,"Payload delivery","sha256","6952aba3f7389eb46d846304058bdca5347d6609f9cca947b0df9b3776b8f3ce","",1,1612904892,"","","","",""
"42c698ab-fe4a-4392-b81a-6a377beedbf0",47169,"Payload delivery","mime-type","PE32+ executable (GUI) x86-64, for MS Windows","",0,1612904892,"","","","",""
"e64ea761-b013-4dc7-a3a4-847c114827f7",47169,"Payload delivery","imphash","b4fde864c45f66c378efc2bedd98550f","",0,1612904892,"","","","",""
"66917fd3-df8a-4f8d-9aeb-248260e5f4fb",47169,"Network activity","url","https://morrislibraryconsulting.com/favicam/6sdws3dsf.exe","",1,1612904892,"","","","",""
"3e0c6b4d-fd2a-4e7d-89fd-1aba4021269a",47169,"Network activity","domain","morrislibraryconsulting.com","",1,1612904892,"","","","",""
"e7d90fbd-8261-43da-86f3-72bb71a42a1f",47169,"Other","text",".text","",0,1612904895,"name","","2a64f8ce-e648-4933-b6f7-7db5b922adf4","pe-section","file"
"639d7a96-1f71-409d-af70-42e9fc8a7120",47169,"Payload delivery","md5","cc2ba88baeb113bf24ea2140c7f19388","",1,1612904895,"md5","","2a64f8ce-e648-4933-b6f7-7db5b922adf4","pe-section","file"
"d92da58e-a6d3-48bc-8931-61be2b772664",47169,"Payload delivery","sha1","3b4268452bb946bd5a6eb4318c74ab8aa4ea631e","",1,1612904896,"sha1","","2a64f8ce-e648-4933-b6f7-7db5b922adf4","pe-section","file"
"a03773af-44b7-4ae9-8036-400520746ee8",47169,"Payload delivery","sha256","7e3f84c2c5857005c947e2319a140b53a3b11db7318626a84372e9b672326ed2","",1,1612904897,"sha256","","2a64f8ce-e648-4933-b6f7-7db5b922adf4","pe-section","file"
"d3bef6a6-6ded-4bea-9f8a-668183a179d1",47169,"Other","size-in-bytes",94208,"",0,1612904898,"size-in-bytes","","2a64f8ce-e648-4933-b6f7-7db5b922adf4","pe-section","file"
