uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"660f2b3c-3d24-4abe-93c0-d2d714f78bd0",37987,"Payload delivery","filename","sora.arm5","",0,1681822144,"","","","",""
"ed79fb30-6903-4a48-ac85-c9776fe6cbd7",37987,"Payload delivery","md5","30693693168d529935ce560b4aee6720","",1,1681822144,"","","","",""
"5bff090a-b57f-4d5d-938b-fcf9539c38d7",37987,"Payload delivery","sha1","967fccb0cc6716e517e4fa602085dba8f22c77d4","",1,1681822144,"","","","",""
"d83b0c46-889d-460c-8c69-2f36938f6590",37987,"Payload delivery","sha256","9afea9414978f00e824aba69f6f4d0dcb3b547bc036bc76707f33672f72111fc","",1,1681822144,"","","","",""
"11685dd2-3496-4c25-8c38-137ccfc6fd14",37987,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, no section header","",0,1681822144,"","","","",""
"a0f073c9-9263-43c8-bf8e-c6968a8b4e94",37987,"Network activity","url","http://45.12.253.178/bins/sora.arm5","",1,1681822144,"","","","",""
"49c1b289-6d20-42dd-81d7-1887eb9dd2c3",37987,"Network activity","ip-dst","45.12.253.178","",1,1681822144,"","","","",""
"11b4680b-a669-48fe-89bc-2ccff3b8d942",37987,"External analysis","link","https://www.virustotal.com/gui/file/9afea9414978f00e824aba69f6f4d0dcb3b547bc036bc76707f33672f72111fc/detection","",0,1681822144,"permalink","","634d50d7-16ec-4032-a69d-c8956d04e7db","virustotal-report","misc"
"d0da761d-6f46-434b-b34d-510a56da8e2f",37987,"Other","datetime","2023-04-18T12:30:22.000000+0000","",0,1681822144,"last-submission","","634d50d7-16ec-4032-a69d-c8956d04e7db","virustotal-report","misc"
"dbfe1334-6e12-4b6b-a06d-67bfdca7fe6c",37987,"Other","text","16/61","",0,1681822144,"detection-ratio","","634d50d7-16ec-4032-a69d-c8956d04e7db","virustotal-report","misc"

