uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"c9351cc3-19b9-4f25-bb93-5e5bd3d6e189",5082,"Payload delivery","filename","tot","",0,1717101303,"","","","",""
"ec9eb420-5ece-46cb-b9a0-56dbf152adf7",5082,"Payload delivery","md5","05bb8426d5c4d435bb713fb8db0e5e1c","",1,1717101303,"","","","",""
"fea9fdd9-4364-4c31-90e6-469fe70cb1f9",5082,"Payload delivery","sha1","fd0b5f029ed16164fe40eff40d02396ec5b39023","",1,1717101303,"","","","",""
"a9d275a2-55c6-42ef-a5e2-6b908ccc1327",5082,"Payload delivery","sha256","1f884aeee9d14ecdcdf107addcaee9f44b50939ce8406c5c5d519a18a95f760d","",1,1717101303,"","","","",""
"50304513-621d-43f5-8264-392ec1627dda",5082,"Payload delivery","mime-type","text/x-shellscript","",0,1717101303,"","","","",""
"28438180-51a9-4cef-959d-9c3834143ca6",5082,"Network activity","url","http://185.172.128.16/tot","",1,1717101303,"","","","",""
"2595bb5c-f47d-4e9b-9166-8a080cdff8af",5082,"Network activity","ip-dst","185.172.128.16","",1,1717101303,"","","","",""
"429cbaa3-a393-42da-afb4-4766f86d8670",5082,"External analysis","link","https://www.virustotal.com/gui/file/1f884aeee9d14ecdcdf107addcaee9f44b50939ce8406c5c5d519a18a95f760d/detection","",0,1717101303,"permalink","","db1232f8-6ef2-4b4b-b90a-b00a40ac0793","virustotal-report","misc"
"c9e239f4-d847-47a9-9a8a-ac0dcd728e90",5082,"Other","datetime","2024-05-23T21:22:22.000000+0000","",0,1717101303,"last-submission","","db1232f8-6ef2-4b4b-b90a-b00a40ac0793","virustotal-report","misc"
"0fc6ba59-1cbb-4eb9-826e-393ee6d6c682",5082,"Other","text","30/63","",0,1717101303,"detection-ratio","","db1232f8-6ef2-4b4b-b90a-b00a40ac0793","virustotal-report","misc"

