uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"71cea031-8769-4f8d-9b3a-4220894003f2",9805,"Payload delivery","filename","pmlatest.exe","",0,1649477582,"","","","",""
"1a666522-7167-48b6-a6a9-ba5bacc01596",9805,"Payload delivery","md5","0437a74c3d5416fd68f295db5ab44a4f","",1,1649477582,"","","","",""
"fd6459c4-6f34-4782-b696-4cc7aed08389",9805,"Payload delivery","sha1","3fc98acf6d5e74c8f86553ecb93001561095439e","",1,1649477582,"","","","",""
"ba186f98-71a2-43a6-b48b-c965cacd6d7f",9805,"Payload delivery","sha256","ac51d4844593d66b83e0843d93f0d4f2611e7976059240fdb90a757441ae206a","",1,1649477582,"","","","",""
"07a2c4d0-c99d-4d4a-b441-81863617fbf5",9805,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1649477582,"","","","",""
"d949c3e9-53e2-4358-8476-761c38fbd115",9805,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1649477582,"","","","",""
"2f473e0b-328e-4214-9416-a2f299ed4113",9805,"Network activity","url","http://190.123.44.138/pmlatest.exe","",1,1649477582,"","","","",""
"3cc6c9bb-282c-4156-abdf-a21cf7b3dcaf",9805,"Network activity","ip-dst","190.123.44.138","",1,1649477582,"","","","",""
"15d11870-ee93-4bab-bdcd-fa4bf04c2156",9805,"Other","text",".text","",0,1649477582,"name","","33346677-75f1-4f90-a3d8-0c297ba8f8cc","pe-section","file"
"7cc7cfff-71f5-4d1f-b778-07ba6f9949e5",9805,"Payload delivery","md5","c989a28348ea1dad4005146913c9d642","",1,1649477582,"md5","","33346677-75f1-4f90-a3d8-0c297ba8f8cc","pe-section","file"
"dcdd8fe8-8fd6-4c2d-90de-f61d26dddeea",9805,"Payload delivery","sha1","6bf2e6352080144c0aa67d70ab3c0c5c1de8b19a","",1,1649477582,"sha1","","33346677-75f1-4f90-a3d8-0c297ba8f8cc","pe-section","file"
"57a63f54-3a12-4a6d-a8ea-663ab436376d",9805,"Payload delivery","sha256","f010b8e970ba72f237ce82867cce96b9503f1c3644df0684fdf143f3d2dfd023","",1,1649477582,"sha256","","33346677-75f1-4f90-a3d8-0c297ba8f8cc","pe-section","file"
"0df9625a-3f72-4b31-8d70-33b16860905c",9805,"Other","size-in-bytes",10240,"",0,1649477582,"size-in-bytes","","33346677-75f1-4f90-a3d8-0c297ba8f8cc","pe-section","file"
"52da3761-2986-42ac-ba45-66d7eba19c99",9805,"Other","float",5.7238,"",0,1649477582,"entropy","","33346677-75f1-4f90-a3d8-0c297ba8f8cc","pe-section","file"
"c4b60d76-6e80-4d25-bf26-ef77955f7e35",9805,"Other","text",".rsrc","",0,1649477583,"name","","c5274c6b-0d14-4441-b9fd-1a192c3bfab1","pe-section","file"
"9d037902-3383-4274-9fb4-9c0f6e9f0118",9805,"Payload delivery","md5","2e52341bdd78aae7ed6556196af6548c","",1,1649477583,"md5","","c5274c6b-0d14-4441-b9fd-1a192c3bfab1","pe-section","file"
"9199f022-0057-4f20-94c3-2a0151d2875a",9805,"Payload delivery","sha1","c957274fae544014cb3af9f9510022d9bdf8e4ea","",1,1649477583,"sha1","","c5274c6b-0d14-4441-b9fd-1a192c3bfab1","pe-section","file"
"868b2fce-ca82-457b-a409-a7696b46e3b2",9805,"Payload delivery","sha256","ab7219924f1819223a11feb8aa15b3b230f46724ed46d901a0a8483270da600b","",1,1649477583,"sha256","","c5274c6b-0d14-4441-b9fd-1a192c3bfab1","pe-section","file"
"6ab1f000-53dc-4990-88ef-e4829f2487eb",9805,"Other","size-in-bytes",12288,"",0,1649477583,"size-in-bytes","","c5274c6b-0d14-4441-b9fd-1a192c3bfab1","pe-section","file"
"80df0619-7023-48e6-94b7-7d3c80f8847a",9805,"Other","float",4.92607,"",0,1649477583,"entropy","","c5274c6b-0d14-4441-b9fd-1a192c3bfab1","pe-section","file"
