uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"186b4118-e229-4fbb-a5f6-498a8f6ce308",50960,"Payload delivery","filename","xocc-08.exe","",0,1616581978,"","","","",""
"200d317c-929d-4251-8aab-543cde9f327b",50960,"Payload delivery","md5","d71cd2b35aa639e25a4fb731ec17af2d","",1,1616581978,"","","","",""
"48a15635-4917-4557-8679-6507afc12843",50960,"Payload delivery","sha1","64ddc98584f2905ae141e73f456072bb6db2773f","",1,1616581978,"","","","",""
"1b0a40df-1aee-4efb-9241-9c5756b4fccd",50960,"Payload delivery","sha256","7c8eea0e649a176edb83fc19998f0e99be49c7bee1ff9090d1be69f614554088","",1,1616581978,"","","","",""
"ee529854-6552-4b3e-bcf2-c57772eb2968",50960,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1616581978,"","","","",""
"54682364-e644-4426-95b6-a628634cd0a2",50960,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1616581978,"","","","",""
"d00f66c8-8151-4aaf-862b-b0001f472115",50960,"Network activity","url","http://54.253.194.14/windows/xocc-08.exe","",1,1616581978,"","","","",""
"4d27d421-5f97-4bde-9bf8-6bfcf08c2ff4",50960,"Network activity","ip-dst","54.253.194.14","",1,1616581978,"","","","",""
"47bed54d-4a57-4a23-878f-5e68c8c08084",50960,"Other","text",".text","",0,1616581978,"name","","6b0b51ed-83a2-4a2e-adbc-d0b1e4f956f5","pe-section","file"
"52fe2e7a-28d0-4dda-9047-42064701c81f",50960,"Payload delivery","md5","61de060efda15054ff998149806132c5","",1,1616581978,"md5","","6b0b51ed-83a2-4a2e-adbc-d0b1e4f956f5","pe-section","file"
"0fcd0071-df11-4233-acb0-5955d3bac1d0",50960,"Payload delivery","sha1","7c69d68299213cbecf9e330996ffd4b0f7437645","",1,1616581978,"sha1","","6b0b51ed-83a2-4a2e-adbc-d0b1e4f956f5","pe-section","file"
"8fa11fe3-2a0f-4511-bd51-22b3e60dedce",50960,"Payload delivery","sha256","99c4b0f52120f5b95a85a1da179eb8b13a3335580d5ce8c75fc4fcb0f9804114","",1,1616581978,"sha256","","6b0b51ed-83a2-4a2e-adbc-d0b1e4f956f5","pe-section","file"
"2186552e-8ae3-4e8c-9dd1-63f08e470295",50960,"Other","size-in-bytes",922624,"",0,1616581978,"size-in-bytes","","6b0b51ed-83a2-4a2e-adbc-d0b1e4f956f5","pe-section","file"
"1f294930-cd98-4c78-b45d-07d1b15e813b",50960,"Other","float",7.18667,"",0,1616581978,"entropy","","6b0b51ed-83a2-4a2e-adbc-d0b1e4f956f5","pe-section","file"
"92614bd3-f175-4d6e-9b48-99c07221da76",50960,"Other","text",".rsrc","",0,1616581979,"name","","1069cbc0-5a3e-4fa6-b7d3-7f3e40a77896","pe-section","file"
"5c0c1f9d-1490-48f3-be92-563c1d250784",50960,"Payload delivery","md5","48f8705863386f2a1de8e8a65620fa53","",1,1616581979,"md5","","1069cbc0-5a3e-4fa6-b7d3-7f3e40a77896","pe-section","file"
"69346edb-87f5-47cd-90dc-4b2f17a009d5",50960,"Payload delivery","sha1","6748b245e361fc6ebecbde74d5144f3f39055f66","",1,1616581979,"sha1","","1069cbc0-5a3e-4fa6-b7d3-7f3e40a77896","pe-section","file"
"218894e3-e6b7-4aea-8528-9b50fa7f8232",50960,"Payload delivery","sha256","5a66b66280b130a75e94bee342e4bfcd2d2a58d5dbb992597e27befeb0048569","",1,1616581979,"sha256","","1069cbc0-5a3e-4fa6-b7d3-7f3e40a77896","pe-section","file"
"b506c9f9-b7c6-4be5-a347-7d79a90380f8",50960,"Other","size-in-bytes",1536,"",0,1616581979,"size-in-bytes","","1069cbc0-5a3e-4fa6-b7d3-7f3e40a77896","pe-section","file"
"d11848a5-5d37-4363-a095-c1274bd51872",50960,"Other","float",4.12406,"",0,1616581979,"entropy","","1069cbc0-5a3e-4fa6-b7d3-7f3e40a77896","pe-section","file"
"151c8f88-e655-4447-8e74-59d98901b308",50960,"Other","text",".reloc","",0,1616581979,"name","","8990f364-de20-4714-a889-76ca29b6b116","pe-section","file"
