uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"191059f4-ab63-459a-bcd3-a10f0ea92c49",27665,"Payload delivery","filename","80asddl2rty.exe","",0,1598392866,"","","","",""
"7d7f245a-b560-4d3a-b64b-55c349806563",27665,"Payload delivery","md5","abbd8cbb8425fbf1da3aec273d6c2ec7","",1,1598392866,"","","","",""
"b26de486-583a-4c3d-a49e-2db047edafcc",27665,"Payload delivery","sha1","5f3b345f4af1b98cde124ff06af4b5572328adac","",1,1598392866,"","","","",""
"8218608b-8913-4c93-81b7-5b5f018450a7",27665,"Payload delivery","sha256","25554fc68104b868020f2d8c08152f1e654baedfd66f5bd90904815b9d1cbf0a","",1,1598392866,"","","","",""
"e3fb4c26-d472-4529-8181-f3baf594ed09",27665,"Payload delivery","mime-type","PE32+ executable (GUI) x86-64, for MS Windows","",0,1598392866,"","","","",""
"34ccbe0a-5cc4-4dcb-a79f-e1b588aca245",27665,"Payload delivery","imphash","d68a7f00713f10a63b1c459a67eeae6e","",0,1598392866,"","","","",""
"0e36c475-46a2-4abf-a612-b55e150f0fef",27665,"Network activity","url","http://62.108.35.103/80asddl2rty.exe","",1,1598392866,"","","","",""
"a22688d6-242f-400f-b3eb-d2d0eff1c3bd",27665,"Network activity","ip-dst","62.108.35.103","",1,1598392866,"","","","",""
"46029b32-cd32-42d8-910c-13405ccfdf13",27665,"Other","text",".text","",0,1598392866,"name","","9a2f6d30-9d16-4e85-a695-ed730ccc46b8","pe-section","file"
"53d73516-dec3-4013-8e13-a077ef202616",27665,"Payload delivery","md5","6765a3260e13b8e6a5550e50352c229b","",1,1598392866,"md5","","9a2f6d30-9d16-4e85-a695-ed730ccc46b8","pe-section","file"
"d437bb98-6f3a-482c-bba8-61efb247d001",27665,"Payload delivery","sha1","b6edf56df4f7bd7156946bf40818463a81dc86f4","",1,1598392866,"sha1","","9a2f6d30-9d16-4e85-a695-ed730ccc46b8","pe-section","file"
"fc827233-d18d-4beb-ba10-0f74d013c8ec",27665,"Payload delivery","sha256","4d2e1b4efceecf5b871e0b7edf562687d1ae17befab7314554190c515e5e42fa","",1,1598392866,"sha256","","9a2f6d30-9d16-4e85-a695-ed730ccc46b8","pe-section","file"
"96525f08-d8dd-4525-a2eb-3a37d755a1b1",27665,"Other","size-in-bytes",269312,"",0,1598392866,"size-in-bytes","","9a2f6d30-9d16-4e85-a695-ed730ccc46b8","pe-section","file"
"91619882-bb36-49f5-b41d-e381f054eb7d",27665,"Other","float",6.29125,"",0,1598392866,"entropy","","9a2f6d30-9d16-4e85-a695-ed730ccc46b8","pe-section","file"
"9c9ba946-8e4e-402c-b2f0-c8f4e5cbd6a5",27665,"Other","text",".rdata","",0,1598392866,"name","","05e6f4f5-adbf-46d1-badc-18c23c368ca4","pe-section","file"
"9eed576c-637b-4131-a7fc-1b274a166ade",27665,"Payload delivery","md5","77fb34120ef34075c18c5d5fecac4f2e","",1,1598392869,"md5","","05e6f4f5-adbf-46d1-badc-18c23c368ca4","pe-section","file"
"78e6baa6-757d-40ce-a3fd-53cadc2f0da2",27665,"Payload delivery","sha1","dab90e04060dc847e420dc651176dc7ec86ba508","",1,1598392869,"sha1","","05e6f4f5-adbf-46d1-badc-18c23c368ca4","pe-section","file"
"0732d455-2c55-474d-b11c-7397eed7e789",27665,"Payload delivery","sha256","b1bed49a91a01ba29a47678b41d5b2d1740cd2e6d2584ea8411d1ebf584f0b88","",1,1598392869,"sha256","","05e6f4f5-adbf-46d1-badc-18c23c368ca4","pe-section","file"
"8dbc1705-c023-4555-87c1-b3d1b05be0d4",27665,"Other","size-in-bytes",97792,"",0,1598392869,"size-in-bytes","","05e6f4f5-adbf-46d1-badc-18c23c368ca4","pe-section","file"
"f6b64d94-5860-499c-82a4-4a29e62810bd",27665,"Other","float",4.71953,"",0,1598392869,"entropy","","05e6f4f5-adbf-46d1-badc-18c23c368ca4","pe-section","file"
"8f32f9e3-728e-40e7-a463-7e22e792b3bd",27665,"Other","text",".data","",0,1598392870,"name","","eb4a6ef8-dec7-4632-9ed4-c1a115a3b001","pe-section","file"
"094ecb8c-8630-4a41-8493-4dd9ce3abe83",27665,"Payload delivery","md5","67a5b006a01e77cfe337212bfafb485c","",1,1598392870,"md5","","eb4a6ef8-dec7-4632-9ed4-c1a115a3b001","pe-section","file"
"ea3cf9ac-5523-4d53-8da3-2ef64fb5ac09",27665,"Payload delivery","sha1","ac2d7d18bee140d5c7aae76ee86016427bfc5b0a","",1,1598392870,"sha1","","eb4a6ef8-dec7-4632-9ed4-c1a115a3b001","pe-section","file"
"ac7d2463-005c-427a-8cc9-28a885544ad3",27665,"Payload delivery","sha256","6c26d3c0ec7d12c0c05bec65208581dbf90218cad707c79baae0e5009f96c7b7","",1,1598392870,"sha256","","eb4a6ef8-dec7-4632-9ed4-c1a115a3b001","pe-section","file"
"2b8aa3ea-21d5-4d66-8b86-43bc41683cc3",27665,"Other","size-in-bytes",183808,"",0,1598392870,"size-in-bytes","","eb4a6ef8-dec7-4632-9ed4-c1a115a3b001","pe-section","file"
"eff34621-c117-40c2-8739-8fe5951acf75",27665,"Other","float",7.89706,"",0,1598392870,"entropy","","eb4a6ef8-dec7-4632-9ed4-c1a115a3b001","pe-section","file"
"6068c4dc-5057-45b6-93d7-aee0f9aba05e",27665,"Other","text",".pdata","",0,1598392870,"name","","518ccb9f-e116-4d5d-bf53-2b74bf5a4246","pe-section","file"
"e6b79f9f-99b8-4044-adaf-c791155c018d",27665,"Payload delivery","md5","dc3d2bc6381590025875bf4699032573","",1,1598392870,"md5","","518ccb9f-e116-4d5d-bf53-2b74bf5a4246","pe-section","file"
"1c223150-94cc-41cd-9f42-d5cbe46b75e1",27665,"Payload delivery","sha1","4aba3acc402569f944bcca99b2f870482fc8e58e","",1,1598392870,"sha1","","518ccb9f-e116-4d5d-bf53-2b74bf5a4246","pe-section","file"
"360301c9-5d62-4ae9-a686-9cd335d69bc2",27665,"Payload delivery","sha256","67bbcf7dd56e628032650e5ee60dc1ebbf532febd3e19aecb5cf7e238f73e497","",1,1598392870,"sha256","","518ccb9f-e116-4d5d-bf53-2b74bf5a4246","pe-section","file"
"a23193da-0511-4b04-aa48-2286c5a5a7bd",27665,"Other","size-in-bytes",22528,"",0,1598392870,"size-in-bytes","","518ccb9f-e116-4d5d-bf53-2b74bf5a4246","pe-section","file"
"29ec3995-6b90-41d1-b354-a5390ca466d3",27665,"Other","float",5.62503,"",0,1598392870,"entropy","","518ccb9f-e116-4d5d-bf53-2b74bf5a4246","pe-section","file"
"c4db83eb-cabb-4ba3-8443-15ed40e548c0",27665,"Other","text",".rsrc","",0,1598392871,"name","","ed2688f1-b8ed-4d1b-8f90-bb5aaec07823","pe-section","file"
"ba86e49b-6225-42ff-98b0-edaacf282c65",27665,"Payload delivery","md5","89672c634251a9c67bf7c990ee36ed2d","",1,1598392871,"md5","","ed2688f1-b8ed-4d1b-8f90-bb5aaec07823","pe-section","file"
