uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f59b6dc-9f2b-421e-9b6a-50eb5ef00cfc",10797,"Payload delivery","filename","AV.scr","",0,1727285347,"","","","",""
"d46ddbaf-b425-4232-a397-fc8733d865ee",10797,"Payload delivery","md5","dcc42ffc005c9c6a540a6eb29efee122","",1,1727285347,"","","","",""
"d05a69be-f748-4313-ab92-9d287399506b",10797,"Payload delivery","sha1","be86e9880ab71855627dd322bd892f25ef01ab98","",1,1727285347,"","","","",""
"f993ac6d-19e1-48d4-995a-4bc1992833cb",10797,"Payload delivery","sha256","5cc8ece4cfed408126449880ae6ee5f02174de1fe2b7db4a2ca0e6da48e4f311","",1,1727285347,"","","","",""
"6aaabff4-fc3b-44ba-acef-69e252667d22",10797,"Payload delivery","mime-type","application/x-dosexec","",0,1727285347,"","","","",""
"1e199a8a-69ec-4320-870a-daaf27cb8be3",10797,"Payload delivery","imphash","91ae93ed3ff0d6f8a4f22d2edd30a58e","",0,1727285347,"","","","",""
"24f8ec6d-f389-442d-a3ed-e77d200ee62a",10797,"Network activity","url","http://221.218.162.128:8085/AV.scr","",1,1727285347,"","","","",""
"9430477a-997f-4bfa-81aa-c2147d99abb7",10797,"Network activity","ip-dst","221.218.162.128","",1,1727285347,"","","","",""
"873ac9bb-969e-4cc1-a410-d1722d9994f0",10797,"Other","text",".text","",0,1727285347,"name","","751b34c1-2f19-4d33-a30a-48811da955b6","pe-section","file"
"39c3650c-63a3-43b3-98a2-eb6fbb5a2e7d",10797,"Payload delivery","md5","b890e400d99968920e1c17687e7ac67e","",1,1727285347,"md5","","751b34c1-2f19-4d33-a30a-48811da955b6","pe-section","file"
"efcc5ed2-3636-4186-a370-7f75faee196f",10797,"Payload delivery","sha1","9f3359d3b34e1878c41f5ea1b1d0c7539df68061","",1,1727285347,"sha1","","751b34c1-2f19-4d33-a30a-48811da955b6","pe-section","file"
"abfc02b6-1bf2-4cd3-9411-8e99e01076ab",10797,"Payload delivery","sha256","e4b1ce31bd98e4e96e8e725fb9c26c02f1c8adbd3e2d2b2fe65491d6832d7540","",1,1727285347,"sha256","","751b34c1-2f19-4d33-a30a-48811da955b6","pe-section","file"
"2e14cfb5-d884-4c17-a3ab-0e8f896104ed",10797,"Other","size-in-bytes",125952,"",0,1727285347,"size-in-bytes","","751b34c1-2f19-4d33-a30a-48811da955b6","pe-section","file"
"6ab8799b-4959-4e68-9e85-cb8517c6d269",10797,"Other","float",6.64811,"",0,1727285348,"entropy","","751b34c1-2f19-4d33-a30a-48811da955b6","pe-section","file"
"6d60744e-e5e1-4159-8654-0c563adfa85e",10797,"Other","text",".rdata","",0,1727285348,"name","","3e773774-401c-4ed2-b7ef-38ac6f8bffbf","pe-section","file"
"8a734856-42df-4d79-9830-a6f164627e28",10797,"Payload delivery","md5","dbec49ed3afba72976334e346469b13f","",1,1727285348,"md5","","3e773774-401c-4ed2-b7ef-38ac6f8bffbf","pe-section","file"
"4d436e90-3dee-4960-8407-4f3bf5e9a99f",10797,"Payload delivery","sha1","9928a415366f7fabddcc8a4a9fc9e49db7c4eb2a","",1,1727285348,"sha1","","3e773774-401c-4ed2-b7ef-38ac6f8bffbf","pe-section","file"
"aced7a95-c05c-4c11-8741-849bc781f359",10797,"Payload delivery","sha256","de9f5b64e8e43f06b44cb818311e6a5d569702b72bae5d07757e237b5d65ffab","",1,1727285348,"sha256","","3e773774-401c-4ed2-b7ef-38ac6f8bffbf","pe-section","file"
"b82b6687-847e-42c5-b44c-2da8bc76cdf0",10797,"Other","size-in-bytes",45568,"",0,1727285348,"size-in-bytes","","3e773774-401c-4ed2-b7ef-38ac6f8bffbf","pe-section","file"
"bae83620-21f0-4323-afad-8ca02fd4f02b",10797,"Other","float",6.09995,"",0,1727285348,"entropy","","3e773774-401c-4ed2-b7ef-38ac6f8bffbf","pe-section","file"
