uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"1d066573-9e09-4bcf-9e6b-5b6a4ab6b449",57313,"Payload delivery","filename","Mozi.m","",0,1624663745,"","","","",""
"7e3528d1-8a3a-465a-a1f0-9caa16a75a0d",57313,"Payload delivery","md5","42e7fb765e48eabeeaa8e2de41d4143f","",1,1624663745,"","","","",""
"a0d7a1cd-74ec-4ea3-a9b3-8fb0fa89c0fb",57313,"Payload delivery","sha1","ca2c0bd1a8eb1d93f6d020d081ebb22a0882770e","",1,1624663745,"","","","",""
"c6565110-7f20-4f62-9f88-3fc506a8c0d7",57313,"Payload delivery","sha256","3fe34673ff6dd68e58770f6cd80c07e551712e089ce2fadb8b8b46592313c702","",1,1624663745,"","","","",""
"13416a2c-5a81-422d-86bd-ed9670d92bd0",57313,"Payload delivery","mime-type","ELF 32-bit MSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, no section header","",0,1624663745,"","","","",""
"889f39b6-6388-45ba-9721-f7bd722324e8",57313,"Network activity","url","http://117.201.197.221:60881/Mozi.m","",1,1624663745,"","","","",""
"8066a07c-0eff-4f25-b693-f47df54f0407",57313,"Network activity","ip-dst","117.201.197.221","",1,1624663745,"","","","",""
"12f635a3-8fa8-435e-bcf9-4e59cde4ad35",57313,"Payload delivery","filename","Mozi.a","",0,1624668365,"","","","",""
"26a86afc-5d65-4dd8-9f0b-3debfa4d884e",57313,"External analysis","link","https://www.virustotal.com/gui/file/3fe34673ff6dd68e58770f6cd80c07e551712e089ce2fadb8b8b46592313c702/detection","",0,1624663746,"permalink","","72b97d97-b040-4d63-9b55-2dab0e4ab135","virustotal-report","misc"
"e149937c-8f65-4ebc-b734-5c461de3fc5b",57313,"Other","datetime","2021-06-25T21:16:49.000000+0000","",0,1624663746,"last-submission","","72b97d97-b040-4d63-9b55-2dab0e4ab135","virustotal-report","misc"
"700f2760-8fc3-43c3-bafa-61b9f63d4cfb",57313,"Other","text","20/52","",0,1624663746,"detection-ratio","","72b97d97-b040-4d63-9b55-2dab0e4ab135","virustotal-report","misc"

