uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"e1b2ae19-94b6-4db5-a033-0588a39cf4be",50728,"Payload delivery","filename","ntpd","",0,1616369713,"","","","",""
"37f65ce1-d7cb-45c4-9975-791d775d450a",50728,"Payload delivery","md5","33429be938ead9dd9851b14176b334a1","",1,1616369713,"","","","",""
"b87997bb-4fc1-47a7-abb6-132db1cf571c",50728,"Payload delivery","sha1","78131051e3156d2ff1b8096075ee1f8164f008a7","",1,1616369713,"","","","",""
"19e6a770-a854-4db2-8167-89ff91eac75d",50728,"Payload delivery","sha256","cc8c669108b47b5b9693efb2bc3ea06f77df5532f04fc1257a6a94a5c0cf9c0e","",1,1616369713,"","","","",""
"841ee622-994f-4770-a723-b68370e06899",50728,"Payload delivery","mime-type","ELF 32-bit MSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, not stripped","",0,1616369713,"","","","",""
"08211da7-a4f7-4b08-add0-4f9e6d014c53",50728,"Network activity","url","http://134.209.153.217/ntpd","",1,1616369713,"","","","",""
"d9de1406-2cd6-4004-a255-85e1db30a576",50728,"Network activity","ip-dst","134.209.153.217","",1,1616369713,"","","","",""
"86e381bd-964c-4e32-82c4-d2b71f7eee65",50728,"External analysis","link","https://www.virustotal.com/gui/file/cc8c669108b47b5b9693efb2bc3ea06f77df5532f04fc1257a6a94a5c0cf9c0e/detection","",0,1616369714,"permalink","","24b32f67-bbb7-428b-8134-6c56f8eeb64e","virustotal-report","misc"
"e567b062-4d53-4546-aa61-f1afaf9cb537",50728,"Other","datetime","2021-03-20T18:55:01.000000+0000","",0,1616369714,"last-submission","","24b32f67-bbb7-428b-8134-6c56f8eeb64e","virustotal-report","misc"
"1f6c4610-2e33-44c2-bd63-dbe8f07771f7",50728,"Other","text","37/62","",0,1616369714,"detection-ratio","","24b32f67-bbb7-428b-8134-6c56f8eeb64e","virustotal-report","misc"

