uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"caa7b748-0679-4c5b-9480-9d952867315a",6917,"Payload delivery","filename","arm6","",0,1693209430,"","","","",""
"5fa0c05c-9177-408d-9d95-abf38e2a766f",6917,"Payload delivery","md5","0e67c1a948f378860503941b32c4aca2","",1,1693209430,"","","","",""
"302f0bed-f2e6-4316-a469-77ef4637f0ba",6917,"Payload delivery","sha1","9297e4e7c814569cfca8aed1ce4544139bb867b9","",1,1693209430,"","","","",""
"0f0f17cd-9fbf-46cc-a3d3-85c822354596",6917,"Payload delivery","sha256","d637388ff5d119e2b85e38cd955f37b2bdce4e14a2d015d337bf2e4f589f52c8","",1,1693209430,"","","","",""
"f95641bb-17b2-4a9e-93b0-66cc4ef26e85",6917,"Payload delivery","mime-type","application/x-executable","",0,1693209430,"","","","",""
"bd64a46d-202d-464e-9900-a8421b9184f2",6917,"Network activity","url","http://79.110.62.114/bins/arm6","",1,1693209430,"","","","",""
"ceddc612-878a-4a46-82dd-585a458d768c",6917,"Network activity","ip-dst","79.110.62.114","",1,1693209430,"","","","",""
"ef4ce011-1a15-485d-8f46-94bd5d3c3062",6917,"External analysis","link","https://www.virustotal.com/gui/file/d637388ff5d119e2b85e38cd955f37b2bdce4e14a2d015d337bf2e4f589f52c8/detection","",0,1693209430,"permalink","","46e84e7d-1c8f-4df0-8002-7a590df12680","virustotal-report","misc"
"20cd79a9-7a76-486f-8731-e9544aeb7060",6917,"Other","datetime","2023-08-28T07:46:43.000000+0000","",0,1693209430,"last-submission","","46e84e7d-1c8f-4df0-8002-7a590df12680","virustotal-report","misc"
"4c3b8e22-1dab-4bce-9f95-ceb26d765ee6",6917,"Other","text","34/55","",0,1693209430,"detection-ratio","","46e84e7d-1c8f-4df0-8002-7a590df12680","virustotal-report","misc"

