uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"e1d88255-fd6b-42a9-82f1-0b3f1946886c",27133,"Payload delivery","filename","199.exe","",0,1666942476,"","","","",""
"407917d9-850a-4634-9443-b6f23cad82c0",27133,"Payload delivery","md5","5954ba19214d4d4fc7350c2476a938fe","",1,1666942476,"","","","",""
"776aa863-45f7-4973-bb8b-60591b95ffae",27133,"Payload delivery","sha1","9dd382dd17bc6eb7e8803c32c77ea27f16b07ad3","",1,1666942476,"","","","",""
"5cef40fd-0054-49eb-813e-4281e20431dc",27133,"Payload delivery","sha256","bf4defa19f39c56ce003b1e7afea73c99554742f56b48dca2eb52a135d8cf0a5","",1,1666942476,"","","","",""
"af25bca9-aec0-4442-bbe3-5ef8cb20962e",27133,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1666942476,"","","","",""
"7fb69d58-7e84-4590-924a-19a7352fceb1",27133,"Payload delivery","imphash","21427dee5bb0c78a44fe8e154f9d839b","",0,1666942476,"","","","",""
"5d01aefa-6c41-4c3c-90f5-1a9238d017df",27133,"Network activity","url","http://h165621.srv11.test-hf.su/199.exe","",1,1666942476,"","","","",""
"879a0df3-c1d6-42ae-a70e-e12d2c84c0c9",27133,"Network activity","domain","h165621.srv11.test-hf.su","",1,1666942476,"","","","",""
"b8b4e0c5-25ad-40a4-a9a3-c34c011397c7",27133,"Other","text",".text","",0,1666942477,"name","","a1ef773f-8cd6-43bd-a7ad-5d8c83e4c55d","pe-section","file"
"a8fa6733-98ee-499a-9b16-2d65550c0e8d",27133,"Payload delivery","md5","e68a694b25bb9c1f5ac2bf95291deff3","",1,1666942477,"md5","","a1ef773f-8cd6-43bd-a7ad-5d8c83e4c55d","pe-section","file"
"0fb2adbd-76d4-40f0-b3a5-db19985f2206",27133,"Payload delivery","sha1","9099896bd42155c0d8fb66dcb94a0b257fbc6c62","",1,1666942477,"sha1","","a1ef773f-8cd6-43bd-a7ad-5d8c83e4c55d","pe-section","file"
"ccda5196-9cf5-4e45-a0d8-3c0f45e84222",27133,"Payload delivery","sha256","d8da4d28c6c0fa36f10a77cf4adc8161f55632a7f2f522b7a681ac82f7f40ab2","",1,1666942477,"sha256","","a1ef773f-8cd6-43bd-a7ad-5d8c83e4c55d","pe-section","file"
"91d5eb87-3630-4924-8b87-e40b6f4d13e4",27133,"Other","size-in-bytes",131584,"",0,1666942477,"size-in-bytes","","a1ef773f-8cd6-43bd-a7ad-5d8c83e4c55d","pe-section","file"
"ad7222e7-b11c-4e21-b43f-60f7e38bc3cd",27133,"Other","float",6.38661,"",0,1666942477,"entropy","","a1ef773f-8cd6-43bd-a7ad-5d8c83e4c55d","pe-section","file"
"3c2c7489-c41f-418f-b52e-f8516c20409c",27133,"Other","text",".data","",0,1666942477,"name","","00610798-8d8c-4f44-8627-09dcb04b41df","pe-section","file"
