uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"b68e4d08-0f8a-4cc1-af28-a211048b7a8a",54552,"Payload delivery","filename","reg.dot","",0,1619795558,"","","","",""
"99a24cfa-88c9-4231-94e4-3f7e0c6c0d94",54552,"Payload delivery","md5","d0c491b8eb3ea8f00a93af05ef1b8945","",1,1619795558,"","","","",""
"b0605d3a-ecd9-4dc7-b73a-d85b10f5fcca",54552,"Payload delivery","sha1","d105933f96f862a51218d160a215caa44e70c516","",1,1619795558,"","","","",""
"741683c2-82a4-4732-b39e-bc12f6e8be19",54552,"Payload delivery","sha256","2e6c82000ecfdf70439ed68aa4b0aecb0033fd612037148d8347ebee6a3e7759","",1,1619795558,"","","","",""
"43d5e0dc-4344-451b-b2b5-cb858e6eaff5",54552,"Payload delivery","mime-type","data","",0,1619795558,"","","","",""
"fcbb283c-0e24-4740-969f-54649ace58fd",54552,"Network activity","url","http://107.173.219.80/prf/reg.dot","",1,1619795558,"","","","",""
"fb2c06a5-8058-41ba-9fba-37ffd91cee8d",54552,"Network activity","ip-dst","107.173.219.80","",1,1619795558,"","","","",""
"9a312db0-0ec9-4bd8-b0f3-c6b3a853c08f",54552,"External analysis","link","https://www.virustotal.com/gui/file/2e6c82000ecfdf70439ed68aa4b0aecb0033fd612037148d8347ebee6a3e7759/detection","",0,1619795560,"permalink","","0bd178ab-5f20-4a79-8da7-51f84ab6476b","virustotal-report","misc"
"9e44df49-bf38-4d18-ba64-916798b9616f",54552,"Other","datetime","2021-04-30T05:25:19.000000+0000","",0,1619795560,"last-submission","","0bd178ab-5f20-4a79-8da7-51f84ab6476b","virustotal-report","misc"
"19984255-367e-4678-94f8-1067ab26f13f",54552,"Other","text","29/56","",0,1619795560,"detection-ratio","","0bd178ab-5f20-4a79-8da7-51f84ab6476b","virustotal-report","misc"

