uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"edc9391e-5002-4051-b1d7-217bc9d99365",52438,"Payload delivery","filename","z3hir.mips","",0,1617560456,"","","","",""
"8982b5b2-36da-4d18-9b25-565f49015f56",52438,"Payload delivery","md5","3438ad478e3c0281efd6b57164b06c08","",1,1617560456,"","","","",""
"3102f378-a104-4685-baf9-b8a801a13021",52438,"Payload delivery","sha1","ada460a8dca6028f4c9e5c2f6ddba9cbd5e17fc7","",1,1617560456,"","","","",""
"cf029cc5-937e-4d54-9eda-039266c2a3df",52438,"Payload delivery","sha256","27aaca0d5fb7efecb8b940ef4a7b9bf621031da90217cc3aa918f22babf9a761","",1,1617560456,"","","","",""
"774bc420-a62d-4af0-8950-501a0076e8fd",52438,"Payload delivery","mime-type","ELF 32-bit MSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, no section header","",0,1617560456,"","","","",""
"7c962821-ff36-4dbd-9bba-77f6609f8e95",52438,"Network activity","url","http://107.173.171.143/zehir/z3hir.mips","",1,1617560456,"","","","",""
"a4b78a56-22d4-414c-b47f-a460e1efdb21",52438,"Network activity","ip-dst","107.173.171.143","",1,1617560456,"","","","",""
"30e86aff-0b87-479d-a368-3d5f7eea4af2",52438,"External analysis","link","https://www.virustotal.com/gui/file/27aaca0d5fb7efecb8b940ef4a7b9bf621031da90217cc3aa918f22babf9a761/detection","",0,1617560456,"permalink","","da086143-2e58-48a6-88c7-95d648836aeb","virustotal-report","misc"
"afcbf8b7-c795-409a-b02a-a69d1d406636",52438,"Other","datetime","2021-04-04T16:50:30.000000+0000","",0,1617560456,"last-submission","","da086143-2e58-48a6-88c7-95d648836aeb","virustotal-report","misc"
"67ea5a6a-7a1e-429e-8034-d77edf278669",52438,"Other","text","12/56","",0,1617560456,"detection-ratio","","da086143-2e58-48a6-88c7-95d648836aeb","virustotal-report","misc"

