uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"c3057914-0adb-459f-925d-33093d7904ff",21625,"Payload delivery","filename","lotv.php?l=iadi6.cab","",0,1595288159,"","","","",""
"5d7ef78d-3625-44d4-b948-b33de57c4b31",21625,"Payload delivery","md5","dabd214308875e0e20f61dc9425e7f10","",1,1595288159,"","","","",""
"65ad3f1f-a69e-468a-a4f0-f6f282205b78",21625,"Payload delivery","sha1","00a12a02a1f5fc9208c52bd3525795bcf290786e","",1,1595288159,"","","","",""
"4f6b0158-fab0-47d0-a0bd-20bbb79f2001",21625,"Payload delivery","sha256","f848e531f0626bbf1505c08777572acab9a0f32ec8a91e10fd6262d77aeeee79","",1,1595288159,"","","","",""
"370d55a4-ad4d-495a-97c0-8e3262d06169",21625,"Payload delivery","mime-type","PE32 executable (DLL) (GUI) Intel 80386, for MS Windows","",0,1595288159,"","","","",""
"9837f360-ad4b-40d3-b2a2-2d6f35fb93e7",21625,"Payload delivery","imphash","87fc93cb54b57f245d75a270795c77aa","",0,1595288159,"","","","",""
"36a1694b-5a62-4379-afcf-13efbef610c6",21625,"Network activity","url","http://g0zh8lb3.com/4adr/lotv.php?l=iadi6.cab","",1,1595288159,"","","","",""
"c4ab884b-e6eb-4170-b214-60c464e5e44d",21625,"Network activity","domain","g0zh8lb3.com","",1,1595288159,"","","","",""
"95bcd8ea-93fc-4ab9-afaa-33618c512272",21625,"Other","text",".text","",0,1595288159,"name","","a7e0bfc2-6ad0-4a47-be08-be4cf1cc1a42","pe-section","file"
"f4c9214d-54bf-4bff-a240-2f8dc049731b",21625,"Payload delivery","md5","31507b7e1d874b575f509cd02ecc3c29","",1,1595288159,"md5","","a7e0bfc2-6ad0-4a47-be08-be4cf1cc1a42","pe-section","file"
"0a7e1ce9-3839-4244-97e5-1dcf99c6f5a7",21625,"Payload delivery","sha1","e58b9e55d1c6964dc8235cfb70fca153406c8f21","",1,1595288159,"sha1","","a7e0bfc2-6ad0-4a47-be08-be4cf1cc1a42","pe-section","file"
"85b3a76b-f4cf-446a-98c2-6ecc09463cbe",21625,"Payload delivery","sha256","b5d55e93c53a111b81fc0bfb9bb4bfa567949d51155169f53a302ecee62ff0a8","",1,1595288159,"sha256","","a7e0bfc2-6ad0-4a47-be08-be4cf1cc1a42","pe-section","file"
"940a5cdb-5004-4b19-b2cb-8d54aeb4c899",21625,"Other","size-in-bytes",134144,"",0,1595288159,"size-in-bytes","","a7e0bfc2-6ad0-4a47-be08-be4cf1cc1a42","pe-section","file"
"954c4ebb-2f13-4920-8a93-839c792fdd7b",21625,"Other","float",6.62102,"",0,1595288159,"entropy","","a7e0bfc2-6ad0-4a47-be08-be4cf1cc1a42","pe-section","file"
"a47baf22-cd6c-4ee3-8ea7-810ebbb97d6f",21625,"Other","text",".rdata","",0,1595288160,"name","","3d3f911d-b216-454c-84ca-6bf55d9eca05","pe-section","file"
"f3364d4b-4d30-49e7-8933-d1bcd61730fe",21625,"Payload delivery","md5","04d0378fb3388941ac12342978cba944","",1,1595288160,"md5","","3d3f911d-b216-454c-84ca-6bf55d9eca05","pe-section","file"
"63f1c8f1-2ff3-4040-b769-adad34208cba",21625,"Payload delivery","sha1","05905c354e1c9d4ae9fcd59d4bf66adc2bb9a2ec","",1,1595288160,"sha1","","3d3f911d-b216-454c-84ca-6bf55d9eca05","pe-section","file"
"6301ef3a-94df-4abf-bb25-fcd9ef14d24f",21625,"Payload delivery","sha256","5bdefde696fe5b4324646938558d4c2ef57913df4079097372acff494596c24a","",1,1595288160,"sha256","","3d3f911d-b216-454c-84ca-6bf55d9eca05","pe-section","file"
"349546c7-dd5b-4caa-b1a8-fd2a584f840e",21625,"Other","size-in-bytes",72192,"",0,1595288160,"size-in-bytes","","3d3f911d-b216-454c-84ca-6bf55d9eca05","pe-section","file"
"8eb682e8-b239-4d10-b44c-91d491b08c48",21625,"Other","float",5.70844,"",0,1595288160,"entropy","","3d3f911d-b216-454c-84ca-6bf55d9eca05","pe-section","file"
"7d2ec3ce-0f03-40a2-807c-ddefdb8a120f",21625,"Other","text",".data","",0,1595288161,"name","","c63316bc-1ad0-4fc3-a49a-bf98b4e96afb","pe-section","file"
"faeb743a-4e1e-4ad5-b7c6-37d661e55447",21625,"Payload delivery","md5","566510327708939248958f913d4c4f84","",1,1595288161,"md5","","c63316bc-1ad0-4fc3-a49a-bf98b4e96afb","pe-section","file"
"b784aac4-613e-4ccf-a4ac-ead0c2992f8f",21625,"Payload delivery","sha1","1af9f592a20803e8574068b0a167933ef8f0ed3d","",1,1595288161,"sha1","","c63316bc-1ad0-4fc3-a49a-bf98b4e96afb","pe-section","file"
"781a8677-fcd1-419f-be5e-fccc6af16678",21625,"Payload delivery","sha256","06cc0cc49e804baef7462e9198bd7f0447348be31d0c573de7b1dfc6d1057993","",1,1595288161,"sha256","","c63316bc-1ad0-4fc3-a49a-bf98b4e96afb","pe-section","file"
"4159e5df-a1dd-4b46-aadf-43b3528a4975",21625,"Other","size-in-bytes",10752,"",0,1595288161,"size-in-bytes","","c63316bc-1ad0-4fc3-a49a-bf98b4e96afb","pe-section","file"
"7ef99d35-90ce-4741-b053-94cb92b481ab",21625,"Other","float",4.55751,"",0,1595288161,"entropy","","c63316bc-1ad0-4fc3-a49a-bf98b4e96afb","pe-section","file"
"a5c0b57a-b26d-46eb-b2e1-f2377b4e7dc5",21625,"Other","text",".rsrc","",0,1595288161,"name","","d1b559f7-1191-43d0-bfce-14f9e0e1b1f8","pe-section","file"
"2ea04a3d-54e3-459f-8d2f-a71ab761e95f",21625,"Payload delivery","md5","9c2604f124252d962262f628f8684c5d","",1,1595288161,"md5","","d1b559f7-1191-43d0-bfce-14f9e0e1b1f8","pe-section","file"
"e628e259-02ed-4945-8de1-042f75a2524c",21625,"Payload delivery","sha1","58610e149ccb7d8da87dbf4108176afa934d3fc1","",1,1595288161,"sha1","","d1b559f7-1191-43d0-bfce-14f9e0e1b1f8","pe-section","file"
"4c989b9c-3661-469e-87cc-0e7b5a3ba6e5",21625,"Payload delivery","sha256","ca22221d90f0d385c64fee14ef09d264c5ba518790ba18cdcd0d7ce87ff022eb","",1,1595288161,"sha256","","d1b559f7-1191-43d0-bfce-14f9e0e1b1f8","pe-section","file"
"8dc16880-8d67-41de-b985-68e760a41260",21625,"Other","size-in-bytes",3072,"",0,1595288161,"size-in-bytes","","d1b559f7-1191-43d0-bfce-14f9e0e1b1f8","pe-section","file"
"2ec3be6c-3270-43e7-8745-dcddd25bb8ad",21625,"Other","float",3.37125,"",0,1595288161,"entropy","","d1b559f7-1191-43d0-bfce-14f9e0e1b1f8","pe-section","file"
"a3506fd9-fd18-40b9-bd11-a3534e31485b",21625,"Other","text",".reloc","",0,1595288162,"name","","0fb34c55-d39c-471d-a6df-3b978f0e2063","pe-section","file"
"eb99ce16-9734-4325-bf88-7468c020d52c",21625,"Payload delivery","md5","766e74c4fcdbe43fe4983dd3ff4e5474","",1,1595288162,"md5","","0fb34c55-d39c-471d-a6df-3b978f0e2063","pe-section","file"
"68d14b0e-4391-477c-814d-3cab5c30162d",21625,"Payload delivery","sha1","5b0ff1272d8888ee9050a3dece515c344b181d1a","",1,1595288162,"sha1","","0fb34c55-d39c-471d-a6df-3b978f0e2063","pe-section","file"
"ee8a7be9-f6b2-431b-bec6-7bb39fc0eaeb",21625,"Payload delivery","sha256","f4e229f01fbad9c5c1bc966299489a7f943166017aced855ccaebf5d6df0cb7e","",1,1595288162,"sha256","","0fb34c55-d39c-471d-a6df-3b978f0e2063","pe-section","file"
"2024b963-c56c-4936-89b5-a67d96bf42ac",21625,"Other","size-in-bytes",8704,"",0,1595288162,"size-in-bytes","","0fb34c55-d39c-471d-a6df-3b978f0e2063","pe-section","file"
"d2c0f429-039d-4686-a333-656864f194e3",21625,"Other","float",6.59446,"",0,1595288162,"entropy","","0fb34c55-d39c-471d-a6df-3b978f0e2063","pe-section","file"

