uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"fe936cfc-3f86-4525-acf7-ca22f1f4419b",36324,"Payload delivery","filename","mips","",0,1679994662,"","","","",""
"3246a56f-8f43-483e-b2f4-37f967a218c0",36324,"Payload delivery","md5","24a14c9d8c250e46dad0e877e493d211","",1,1679994662,"","","","",""
"06f56663-9839-46e0-833e-32c049caa6db",36324,"Payload delivery","sha1","b122382fa9182020804118a99ca97f901abf9483","",1,1679994662,"","","","",""
"53c50e02-e33c-4616-895c-eea7b97eddb2",36324,"Payload delivery","sha256","8b1734f65b99ef331c047a31cdf7be266941c0a3279cb48cde06fe57645cd7c0","",1,1679994662,"","","","",""
"7a145f60-09e6-442c-b452-399cd58145ba",36324,"Payload delivery","mime-type","ELF 32-bit MSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, stripped","",0,1679994662,"","","","",""
"b22d589a-8a1f-434d-b27d-6ec81b77c595",36324,"Network activity","url","http://harmxvu.ddnsking.com/mips","",1,1679994662,"","","","",""
"0159fbd4-a7cf-45e4-9b75-0ed8e6bc0806",36324,"Network activity","domain","harmxvu.ddnsking.com","",1,1679994662,"","","","",""
"a95787f1-380f-47c8-9e03-91896a53f6e4",36324,"External analysis","link","https://www.virustotal.com/gui/file/8b1734f65b99ef331c047a31cdf7be266941c0a3279cb48cde06fe57645cd7c0/detection","",0,1679994663,"permalink","","def8fbdd-b593-4101-913a-e2847992d29b","virustotal-report","misc"
"bb660fc4-2e3c-4bcf-b417-24c1ef1df8ae",36324,"Other","datetime","2023-03-28T08:30:21.000000+0000","",0,1679994663,"last-submission","","def8fbdd-b593-4101-913a-e2847992d29b","virustotal-report","misc"
"460d0ec2-1290-4627-983f-c3f7baff87ef",36324,"Other","text","20/57","",0,1679994663,"detection-ratio","","def8fbdd-b593-4101-913a-e2847992d29b","virustotal-report","misc"

