uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"cdf20f43-c435-4e40-aad1-bd8f38a4ae7d",50768,"Payload delivery","filename","MMPlayer2.exe","",0,1616402615,"","","","",""
"b2a02659-0577-4113-97f2-6cea7e88841c",50768,"Payload delivery","md5","ba473f80bece49da1c8547b78e24c632","",1,1616402615,"","","","",""
"596e66a7-9efc-40ff-98fd-0728393d7fa7",50768,"Payload delivery","sha1","6c5a80d1c3c44b837249f22bf502f9da8ace5c17","",1,1616402615,"","","","",""
"496a6310-ac0e-4da5-ad7c-fd7086d9ce9e",50768,"Payload delivery","sha256","414ae59a12db299866abacb6e65d1d2aed26ec9197969821fe77bb52ca64ed17","",1,1616402615,"","","","",""
"7b3ef808-a701-4a73-9d25-308179add933",50768,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1616402615,"","","","",""
"3cc8c5ba-2cbb-40bd-9d35-c22e7f61e9e1",50768,"Payload delivery","imphash","85f939c55583646131cc7198cf6cddea","",0,1616402615,"","","","",""
"4bb813ad-c990-4917-836a-692d78cbb21f",50768,"Network activity","url","http://dl-link.live/MMPlayer2.exe","",1,1616402615,"","","","",""
"4ba1fed8-4b57-4e28-a3ce-7d7a506d5aa9",50768,"Network activity","domain","dl-link.live","",1,1616402615,"","","","",""
"795f2c46-677d-4d67-ad13-741cf8fa6fc9",50768,"Other","text",".text","",0,1616402615,"name","","7fed5a22-2c97-4150-b611-d648a9238239","pe-section","file"
"ab6cd859-1172-4810-9e08-073fd5a5e813",50768,"Payload delivery","md5","99ea8fc93239db2ec53fe6d826e33bf3","",1,1616402615,"md5","","7fed5a22-2c97-4150-b611-d648a9238239","pe-section","file"
"2612cd43-f17b-4d00-855c-5eaa61134270",50768,"Payload delivery","sha1","58e710e7c1dafae5bc8ea26d9e8847a1daccf5e8","",1,1616402615,"sha1","","7fed5a22-2c97-4150-b611-d648a9238239","pe-section","file"
"892bc03b-0673-4ee1-8603-93f627f43ab1",50768,"Payload delivery","sha256","3ef438f91719dc30f412b13fb8f0896165dbbe19ada21adb4be3c2f88ac5a621","",1,1616402615,"sha256","","7fed5a22-2c97-4150-b611-d648a9238239","pe-section","file"
"b5c76572-4dd2-4d1d-9e73-b3e8a8cee243",50768,"Other","size-in-bytes",203264,"",0,1616402615,"size-in-bytes","","7fed5a22-2c97-4150-b611-d648a9238239","pe-section","file"
"cc23b202-cabf-4a00-94a8-4f63495fe5c4",50768,"Other","float",7.87982,"",0,1616402615,"entropy","","7fed5a22-2c97-4150-b611-d648a9238239","pe-section","file"
"0e7e0517-eae2-473a-b29d-d254bdd490ae",50768,"Other","text",".data","",0,1616402616,"name","","add86a5a-66cf-45f0-82ed-dc2871ff7e6e","pe-section","file"
"37756888-0fe4-4880-9dfd-937c3cc7b057",50768,"Payload delivery","md5","90b0db5709064f2f7d56c57991cee22a","",1,1616402616,"md5","","add86a5a-66cf-45f0-82ed-dc2871ff7e6e","pe-section","file"
"4db22b96-1465-4a00-968b-25b3d084c19d",50768,"Payload delivery","sha1","ff45b45495165d7bf08e09d2cbd853b7f11947a3","",1,1616402616,"sha1","","add86a5a-66cf-45f0-82ed-dc2871ff7e6e","pe-section","file"
"558637b9-55a3-4315-99a0-3254ff9ed959",50768,"Payload delivery","sha256","c05a0fa49399741938ebfa8dbf89a4c91539b609f6c447b31fdd36c41fa4c21c","",1,1616402617,"sha256","","add86a5a-66cf-45f0-82ed-dc2871ff7e6e","pe-section","file"
"03b01a21-b5ac-406a-9bbe-29fd53174895",50768,"Other","size-in-bytes",10240,"",0,1616402622,"size-in-bytes","","add86a5a-66cf-45f0-82ed-dc2871ff7e6e","pe-section","file"
"450dbdff-a2ed-4249-94e0-fd8151ade96a",50768,"Other","float",1.16185,"",0,1616402622,"entropy","","add86a5a-66cf-45f0-82ed-dc2871ff7e6e","pe-section","file"
"e2b7faba-fb0a-4ee4-bd72-edc1f4e52a56",50768,"Other","text",".vulexa","",0,1616402623,"name","","33e11d35-a86e-42ac-aca7-a976c11146eb","pe-section","file"
"8e86f94d-2a33-4a4e-8e5c-ebd996498de2",50768,"Payload delivery","md5","0f343b0931126a20f133d67c2b018a3b","",1,1616402623,"md5","","33e11d35-a86e-42ac-aca7-a976c11146eb","pe-section","file"
"1acca6f9-069b-4b76-b90b-3b4147a77040",50768,"Payload delivery","sha1","60cacbf3d72e1e7834203da608037b1bf83b40e8","",1,1616402623,"sha1","","33e11d35-a86e-42ac-aca7-a976c11146eb","pe-section","file"
