uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"8e0cc47e-3693-407a-b5a7-d9a91ba621b2",8931,"Payload delivery","filename","BTA.zip","",0,1724790150,"","","","",""
"af85da90-9fdf-4e04-bcbc-27952c1d581b",8931,"Payload delivery","md5","c75071c17558499132abca7252ba6183","",1,1724790150,"","","","",""
"10d7179e-f7ea-4ff4-a2c3-520295932ea5",8931,"Payload delivery","sha1","997e35377500f15d5d232254bfdf4a62cb34ef5c","",1,1724790150,"","","","",""
"861b17be-5199-44d1-9277-bf2743cdc5f0",8931,"Payload delivery","sha256","f4ee59617c17dce67e6909b981fa912982d06b4a99d22e7d16d4eb4e8ca3235f","",1,1724790150,"","","","",""
"ab8c0d6d-ec51-4063-bd10-b43f53d573ff",8931,"Payload delivery","mime-type","application/zip","",0,1724790150,"","","","",""
"e01b4b84-4c9a-476d-8021-15d20472cc69",8931,"Network activity","url","https://raw.githubusercontent.com/teetbothaf/luckydaytuananh/main/BTA.zip","",1,1724790150,"","","","",""
"f368f46d-33fa-4ce6-8f13-a4a2cef243a0",8931,"Network activity","domain","raw.githubusercontent.com","Domain listed as False Positive in OSINT.DigitalSide.IT whitelist",0,1724790150,"","","","",""
"d56f9792-d090-4ed6-94c1-ae5480c5cd22",8931,"External analysis","link","https://www.virustotal.com/gui/file/f4ee59617c17dce67e6909b981fa912982d06b4a99d22e7d16d4eb4e8ca3235f/detection","",0,1724790150,"permalink","","352af063-34a8-42d6-9cd3-e3f40bafde21","virustotal-report","misc"
"cad8f5a6-4350-409a-b219-c7dd09cb7a01",8931,"Other","datetime","2024-08-01T03:45:03.000000+0000","",0,1724790150,"last-submission","","352af063-34a8-42d6-9cd3-e3f40bafde21","virustotal-report","misc"
"a3b30e64-6025-45a5-9311-37b408b5d27d",8931,"Other","text","4/79","",0,1724790150,"detection-ratio","","352af063-34a8-42d6-9cd3-e3f40bafde21","virustotal-report","misc"

