uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"2363b553-c4cc-48a1-8bd5-7c8fc0215ce6",43538,"Payload delivery","filename","sora.arm6","",0,1686938464,"","","","",""
"ecba4401-c233-4570-89cd-7c96ec5162c0",43538,"Payload delivery","md5","bfd1e2596dae4cc2d2c210a72ad19831","",1,1686938464,"","","","",""
"da43ba61-dd25-4b8c-a7ea-b87b56c4853c",43538,"Payload delivery","sha1","63b03e204fd69e4819e262a43b17130dff467dc1","",1,1686938464,"","","","",""
"ee429a02-8189-463b-8b09-eafb65b51764",43538,"Payload delivery","sha256","37f412cd6da7842c215c51e445d429465326266e6ee56f306c1865fd2fdbde1b","",1,1686938464,"","","","",""
"fbfaecb3-c8f8-4995-a22a-16059cdbb29e",43538,"Payload delivery","mime-type","application/x-executable","",0,1686938464,"","","","",""
"aaebb498-907d-4297-82b4-fcc479933e79",43538,"Network activity","url","http://179.43.155.209/bins/sora.arm6","",1,1686938464,"","","","",""
"08d50868-8cd6-470e-a598-0099ba52e25f",43538,"Network activity","ip-dst","179.43.155.209","",1,1686938464,"","","","",""
"520f2197-74e1-4eaa-9ec2-1a3bf95a23eb",43538,"External analysis","link","https://www.virustotal.com/gui/file/37f412cd6da7842c215c51e445d429465326266e6ee56f306c1865fd2fdbde1b/detection","",0,1686938464,"permalink","","3ac32aa1-d1b5-4ee3-aee2-50a9b83b1073","virustotal-report","misc"
"4e191b7f-6e4f-4ded-b4d5-7f21e05b379a",43538,"Other","datetime","2023-06-16T16:20:57.000000+0000","",0,1686938464,"last-submission","","3ac32aa1-d1b5-4ee3-aee2-50a9b83b1073","virustotal-report","misc"
"caf7f4a1-7674-47c7-8f40-8ba0eb91e645",43538,"Other","text","28/61","",0,1686938464,"detection-ratio","","3ac32aa1-d1b5-4ee3-aee2-50a9b83b1073","virustotal-report","misc"

