uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"9478cd89-3c12-4e29-bcb8-f56bd939ff5b",43147,"Payload delivery","filename","loligang.sh4","",0,1610152302,"","","","",""
"ca8c2f0e-66b5-4124-84ec-33d8e9fcefd7",43147,"Payload delivery","md5","d48efa659b2132f1b8322d1002e19ddb","",1,1610152303,"","","","",""
"c0c18c72-aac9-4ae2-ac5d-ecd72b8ceeaf",43147,"Payload delivery","sha1","b032adb12952b9ca88c9ed9e6e1cd236d35ea49b","",1,1610152303,"","","","",""
"ee09e584-02c0-4c6f-8237-5c8a5030fc57",43147,"Payload delivery","sha256","3aa1a5cee43ac37ebb1dce4dfa6029803bd161928cde7b08b9e66bd2d3fa6764","",1,1610152304,"","","","",""
"1964e851-ba73-4680-b346-9f794be5c6da",43147,"Payload delivery","mime-type","ELF 32-bit LSB executable, Renesas SH, version 1 (SYSV), statically linked, stripped","",0,1610152306,"","","","",""
"a0a8c8ed-dea8-4ae7-8be1-57ef81c967a3",43147,"Network activity","url","http://20.52.177.23/lmaoWTF/loligang.sh4","",1,1610152306,"","","","",""
"3bf1d743-a476-4edc-b998-cc19f8f7cf3b",43147,"Network activity","ip-dst","20.52.177.23","",1,1610152306,"","","","",""
"a20c4a41-0233-4e38-b661-a3fccf02edb3",43147,"External analysis","link","https://www.virustotal.com/gui/file/3aa1a5cee43ac37ebb1dce4dfa6029803bd161928cde7b08b9e66bd2d3fa6764/detection","",0,1610152306,"permalink","","c2ed6e03-0bab-454a-8274-85d58fdcca1e","virustotal-report","misc"
"0e782558-f2bb-4b6a-88ce-68eb7abfc1c1",43147,"Other","datetime","2021-01-08T23:00:42.000000+0000","",0,1610152306,"last-submission","","c2ed6e03-0bab-454a-8274-85d58fdcca1e","virustotal-report","misc"
"12402ceb-42b2-434b-ba16-e81e352bc5f6",43147,"Other","text","36/60","",0,1610152306,"detection-ratio","","c2ed6e03-0bab-454a-8274-85d58fdcca1e","virustotal-report","misc"

