uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"ef2b73fa-5461-4675-b428-74904c6cb0bd",3957,"Payload delivery","filename","sora.mips","",0,1688246403,"","","","",""
"4c94b944-2239-4816-925f-1ec8b29e945a",3957,"Payload delivery","md5","d4316ae1dc0f1e4f25deaf3182e4a9ad","",1,1688246403,"","","","",""
"c81c5194-4ce5-460b-afc3-7262d8c5f985",3957,"Payload delivery","sha1","963b115c5b9a92406fc20513271f39583a1c88d7","",1,1688246403,"","","","",""
"50ff097a-f32f-4cf2-aaf9-b0778f1d8d55",3957,"Payload delivery","sha256","6917bbf9f8fc9dac24d75fa075f3b573597f0f545516a73ebf0bc3dfd1545d94","",1,1688246403,"","","","",""
"7fa71d38-89ef-4ac9-b686-dd8f582b7e64",3957,"Payload delivery","mime-type","application/x-executable","",0,1688246403,"","","","",""
"e166e08f-532b-42e5-8f00-11bcfaee5a66",3957,"Network activity","url","http://103.178.229.220/bins/sora.mips","",1,1688246403,"","","","",""
"b4b29dce-b9fc-496e-9e1f-cf542d8c5f3b",3957,"Network activity","ip-dst","103.178.229.220","",1,1688246403,"","","","",""
"dac9f5ac-312f-4193-86b9-d2f82eb2a45a",3957,"External analysis","link","https://www.virustotal.com/gui/file/6917bbf9f8fc9dac24d75fa075f3b573597f0f545516a73ebf0bc3dfd1545d94/detection","",0,1688246403,"permalink","","0ddf5c41-c7b8-4d5d-a031-b6cc5529bfdc","virustotal-report","misc"
"66333f5f-4e02-4806-bb8c-1bb133e7226e",3957,"Other","datetime","2023-07-01T08:13:57.000000+0000","",0,1688246403,"last-submission","","0ddf5c41-c7b8-4d5d-a031-b6cc5529bfdc","virustotal-report","misc"
"a663675b-7f42-40fe-81e6-52158ff53270",3957,"Other","text","32/61","",0,1688246403,"detection-ratio","","0ddf5c41-c7b8-4d5d-a031-b6cc5529bfdc","virustotal-report","misc"

