uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"bd8506bf-3e51-4a38-8d2c-91df2f0322eb",28517,"Payload delivery","filename","m-p.s-l.GHOUL","",0,1598769367,"","","","",""
"4186e66d-c6e5-4477-b864-699c8d7570b9",28517,"Payload delivery","md5","1342018d8d10698084dcc9aad0cb04ad","",1,1598769367,"","","","",""
"7a95d7a2-ed7b-47fa-924e-d566fa34924c",28517,"Payload delivery","sha1","2cb6dabe755171cb76b69cdff69715f6f33d6014","",1,1598769367,"","","","",""
"65f8a72f-8f7d-415e-a735-a00fb7d51fb8",28517,"Payload delivery","sha256","e51c61d793e8cb35d2e6925e7e5ec3ad5649a6be97d9ce40394612babd4e2377","",1,1598769367,"","","","",""
"469e660f-5199-4d16-ad79-a5ad6e943d5b",28517,"Payload delivery","mime-type","ELF 32-bit LSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, not stripped","",0,1598769367,"","","","",""
"256950c9-1226-4525-9fd6-e6dcf183d203",28517,"Network activity","url","http://45.95.168.81/m-p.s-l.GHOUL","",1,1598769367,"","","","",""
"6c6711a8-ad2a-47a9-a81c-faf58865f751",28517,"Network activity","ip-dst","45.95.168.81","",1,1598769367,"","","","",""
"f9e0278c-4b81-4666-8333-23d152b19e77",28517,"External analysis","link","https://www.virustotal.com/gui/file/e51c61d793e8cb35d2e6925e7e5ec3ad5649a6be97d9ce40394612babd4e2377/detection","",0,1598769367,"permalink","","3e1a7613-2903-4c0a-9cb3-b9bfef950300","virustotal-report","misc"
"8b12c951-5159-4952-901b-900b1f5451a9",28517,"Other","datetime","2020-08-30T05:26:38.000000+0000","",0,1598769367,"last-submission","","3e1a7613-2903-4c0a-9cb3-b9bfef950300","virustotal-report","misc"
"ec600e49-9606-4228-86fb-b2fa9a66cab9",28517,"Other","text","29/58","",0,1598769367,"detection-ratio","","3e1a7613-2903-4c0a-9cb3-b9bfef950300","virustotal-report","misc"

