uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5187b2a2-7db7-4f41-8db3-1049c67ecbb3",52802,"Payload delivery","filename","mirai.mips","",0,1617765718,"","","","",""
"89ad081b-8dc4-4175-8d2d-e3556aa171b3",52802,"Payload delivery","md5","a93c096f6d7af641d84ea4b24b6a3949","",1,1617765718,"","","","",""
"14932cec-098b-4379-b1c8-766fd34ec7b2",52802,"Payload delivery","sha1","c18205866448820a879d3de8ebd3efbbbd6739b5","",1,1617765718,"","","","",""
"c07aa74a-47d5-4a07-a256-8954158c9a33",52802,"Payload delivery","sha256","ebff4817e2128396b270b1772cd04d536ea8c51c70664d4f031ae127a1b55ae5","",1,1617765718,"","","","",""
"53390bf1-70e9-4d83-ba0e-cce045c2a11f",52802,"Payload delivery","mime-type","ELF 32-bit MSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, with debug_info, not stripped","",0,1617765718,"","","","",""
"dd224355-6565-47bc-83ef-e598af150f0a",52802,"Network activity","url","http://80.209.252.128/mirai.mips","",1,1617765718,"","","","",""
"4f3ce3d2-d4a2-423b-8a07-033f13121414",52802,"Network activity","ip-dst","80.209.252.128","",1,1617765718,"","","","",""
"6b59c8b6-13c2-4046-a3c1-f12221a93aee",52802,"Network activity","url","http://hacked.nashley.vn/mirai.mips","",1,1617803240,"","","","",""
"6e23fdfb-457d-4360-b9cf-1be959f6d2f4",52802,"Network activity","domain","hacked.nashley.vn","",1,1617803240,"","","","",""
"44235c68-73f6-4ba7-9013-a6b13dc935cc",52802,"External analysis","link","https://www.virustotal.com/gui/file/ebff4817e2128396b270b1772cd04d536ea8c51c70664d4f031ae127a1b55ae5/detection","",0,1617765719,"permalink","","eeab52f5-edb7-4398-9ecd-c9524db19a44","virustotal-report","misc"
"38fd8f74-309c-4e9e-95ca-e71ccf9db2d4",52802,"Other","datetime","2021-04-07T02:12:44.000000+0000","",0,1617765719,"last-submission","","eeab52f5-edb7-4398-9ecd-c9524db19a44","virustotal-report","misc"
"ce72d7d5-08d6-47a9-b3fe-1f717072f89d",52802,"Other","text","40/61","",0,1617765719,"detection-ratio","","eeab52f5-edb7-4398-9ecd-c9524db19a44","virustotal-report","misc"

