uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"08488657-15fc-492e-be17-b5973cace5cd",1895,"Payload delivery","filename","Fourlokov9.m68k","",0,1639246264,"","","","",""
"89934982-cfa6-460e-8592-6358af073a79",1895,"Payload delivery","md5","f482d766e101e85f767a12be5272aca3","",1,1639246264,"","","","",""
"d661c801-ef35-4f71-8f21-be28f744f21b",1895,"Payload delivery","sha1","948f70f95611db3bb32105118d9011b9895d4b39","",1,1639246264,"","","","",""
"7ecbf793-644d-4c46-91e1-c0c82881debf",1895,"Payload delivery","sha256","85c925f4082ccb54725b6213eb66baf934a9679be76d7167050923c1f7da2b61","",1,1639246264,"","","","",""
"5ec8d69a-4165-489e-8b0c-f2216b9f67ea",1895,"Payload delivery","mime-type","ELF 32-bit MSB executable, Motorola m68k, 68020, version 1 (SYSV), statically linked, stripped","",0,1639246264,"","","","",""
"c70c833c-4fb0-431d-8c4d-25211b7ff917",1895,"Network activity","url","http://212.192.216.51/Fourlokov9/Fourlokov9.m68k","",1,1639246264,"","","","",""
"f33b1532-d532-42dd-b7b9-7ab601b05322",1895,"Network activity","ip-dst","212.192.216.51","",1,1639246264,"","","","",""
"14ba4d25-7e6c-4bcf-8900-18b94695216b",1895,"External analysis","link","https://www.virustotal.com/gui/file/85c925f4082ccb54725b6213eb66baf934a9679be76d7167050923c1f7da2b61/detection","",0,1639246264,"permalink","","b5395a3d-3e94-4e55-886b-752876af9cb1","virustotal-report","misc"
"7b328373-e88e-4bae-b58a-af999594dfc0",1895,"Other","datetime","2021-12-11T16:55:36.000000+0000","",0,1639246264,"last-submission","","b5395a3d-3e94-4e55-886b-752876af9cb1","virustotal-report","misc"
"fb12e382-1718-4733-8103-2908f46d117e",1895,"Other","text","31/60","",0,1639246264,"detection-ratio","","b5395a3d-3e94-4e55-886b-752876af9cb1","virustotal-report","misc"

