uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"91029da6-054b-4a5a-b498-6c81fe93e2c3",53383,"Payload delivery","filename","100UP.arm5","",0,1618108761,"","","","",""
"f7779422-3228-4006-8260-1f457bd48a9b",53383,"Payload delivery","md5","fd223e3333cbf2867bb7796895b325a3","",1,1618108761,"","","","",""
"632709c5-0f3d-4ea9-8d62-14c7bb330c18",53383,"Payload delivery","sha1","c2a107dde276474d508a98bd1e394c42c953db3c","",1,1618108761,"","","","",""
"63fc5f78-18a7-41c5-9735-4fc3998f7679",53383,"Payload delivery","sha256","6eea3905eedf1921c39caad36b7ef0886081b5bc1d88be18dde427231fceae6f","",1,1618108761,"","","","",""
"ab5e9f08-7a5d-4a66-a631-30d4b8ada36e",53383,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped","",0,1618108761,"","","","",""
"165b32f3-2406-4af6-a46c-afa9c76c0f3e",53383,"Network activity","url","http://107.172.156.122/bins/100UP.arm5","",1,1618108761,"","","","",""
"c01be6f6-bb58-4d15-a4b1-9ec99e816331",53383,"Network activity","ip-dst","107.172.156.122","",1,1618108761,"","","","",""
"c091ecc0-ce19-4dd1-92f4-151153f66ede",53383,"External analysis","link","https://www.virustotal.com/gui/file/6eea3905eedf1921c39caad36b7ef0886081b5bc1d88be18dde427231fceae6f/detection","",0,1618108762,"permalink","","f80252bc-5ebf-4732-b5bb-f7ee08dc8229","virustotal-report","misc"
"7fa895e4-53bb-41ec-831f-a4a192fac24f",53383,"Other","datetime","2021-04-11T00:46:06.000000+0000","",0,1618108762,"last-submission","","f80252bc-5ebf-4732-b5bb-f7ee08dc8229","virustotal-report","misc"
"d3aea726-aca3-420c-acbe-618bc14e2691",53383,"Other","text","28/60","",0,1618108762,"detection-ratio","","f80252bc-5ebf-4732-b5bb-f7ee08dc8229","virustotal-report","misc"

