uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"c7ee4b8f-dfbb-43cb-9215-3c4af9f6e968",32134,"Payload delivery","filename","modulo.zip","",0,1674468186,"","","","",""
"b124f588-1d88-4456-b021-c16ea0ad8056",32134,"Payload delivery","md5","a2448ccb0060a3ae545fbde039d5bb47","",1,1674468186,"","","","",""
"50d81e7a-9832-438f-9dab-69116453ba0f",32134,"Payload delivery","sha1","c90d130e41d429e409969178b80e019a6bd901d2","",1,1674468186,"","","","",""
"2ac7b5eb-5b0d-4447-bc86-89e49cf6a28e",32134,"Payload delivery","sha256","94542f602e8685e21c965db99415d6fe4e475e303cc5a8f98fbc3e4625d3628b","",1,1674468186,"","","","",""
"ecb9ec9d-e622-466d-a932-293015bd1142",32134,"Payload delivery","mime-type","Zip archive data, at least v2.0 to extract","",0,1674468186,"","","","",""
"5968f572-807a-4bea-b185-c52ea20c1f0d",32134,"Network activity","url","http://inthbc.com/agenzia/azienda/modulo.zip","",1,1674468186,"","","","",""
"a0a0065d-a743-4b70-b753-e2eb37a3cfde",32134,"Network activity","domain","inthbc.com","",1,1674468186,"","","","",""
"9ea2e9d4-d9f1-486d-bf20-abd546f3cf8b",32134,"External analysis","link","https://www.virustotal.com/gui/file/94542f602e8685e21c965db99415d6fe4e475e303cc5a8f98fbc3e4625d3628b/detection","",0,1674468186,"permalink","","ec317e82-b80c-49d6-8b5c-e1702f1b78b9","virustotal-report","misc"
"95f52ffd-3e52-4c90-b93e-b073b27b4c62",32134,"Other","datetime","2023-01-23T09:49:48.000000+0000","",0,1674468186,"last-submission","","ec317e82-b80c-49d6-8b5c-e1702f1b78b9","virustotal-report","misc"
"cc99b1ce-b502-4cdb-a63e-de31c98656c8",32134,"Other","text","1/63","",0,1674468186,"detection-ratio","","ec317e82-b80c-49d6-8b5c-e1702f1b78b9","virustotal-report","misc"

