uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"8bc899c0-def6-4c8c-9b9f-793626b001a6",23462,"Payload delivery","filename","laZagne.exe","",0,1664189250,"","","","",""
"f847d779-abe9-4786-bd8c-783c6cb4e105",23462,"Payload delivery","md5","44f62cd09312d201ef8014d53d9395ab","",1,1664189250,"","","","",""
"9356fd54-eb93-4104-b5e1-eb652b0c85f3",23462,"Payload delivery","sha1","dad695b0736d78e5edfc5d1c8a0e1463a55fbf47","",1,1664189250,"","","","",""
"9c49adf2-0f96-4796-a96d-3a889b3435a6",23462,"Payload delivery","sha256","f976cfadb68d079d3190bb3b256e6a5e216f1d33ef0cfb4bd0639c062be690e9","",1,1664189250,"","","","",""
"9c0d87c7-9484-487d-b016-87957380b7d4",23462,"Payload delivery","mime-type","PE32+ executable (console) x86-64, for MS Windows","",0,1664189250,"","","","",""
"b7435174-2efe-4039-8c96-12f582a82196",23462,"Payload delivery","imphash","69eb46a9f63edcc604b0bdaaa8e0f2f5","",0,1664189250,"","","","",""
"2668b194-c9f5-428f-8ca7-11f3aa9f0434",23462,"Network activity","url","http://doncasmail.com/files/laZagne.exe","",1,1664189250,"","","","",""
"acb03d86-7569-497b-8e05-abe2f37be526",23462,"Network activity","domain","doncasmail.com","",1,1664189250,"","","","",""
"27c585ff-8be0-472a-ba61-043c8a561a1a",23462,"Other","text",".text","",0,1664189250,"name","","cbb28c47-2c79-4d75-938a-b288b5d135e3","pe-section","file"
"b19a2b23-6252-472f-a95e-882c0b410205",23462,"Payload delivery","md5","fefe4e599097ab831fbfbb6e5e421906","",1,1664189250,"md5","","cbb28c47-2c79-4d75-938a-b288b5d135e3","pe-section","file"
"50b00902-7ea8-4fb7-90c6-27ee277fafec",23462,"Payload delivery","sha1","66627b34050b5970380041c8e130597250820d89","",1,1664189250,"sha1","","cbb28c47-2c79-4d75-938a-b288b5d135e3","pe-section","file"
"bade3e99-c67f-4f66-b779-13b5e4680c0c",23462,"Payload delivery","sha256","090d10c0738d71cdb791f886521aa5ea4489847690a828299858b914e5cdbf20","",1,1664189250,"sha256","","cbb28c47-2c79-4d75-938a-b288b5d135e3","pe-section","file"
"5a5f30a2-acd3-4ded-8a6c-628c14c21f62",23462,"Other","size-in-bytes",165888,"",0,1664189250,"size-in-bytes","","cbb28c47-2c79-4d75-938a-b288b5d135e3","pe-section","file"
"37aee4d4-8dc6-4fd9-a9ae-21e61936f05f",23462,"Other","float",6.49532,"",0,1664189250,"entropy","","cbb28c47-2c79-4d75-938a-b288b5d135e3","pe-section","file"
"cd2c3736-3b77-4063-aa4e-ce573ed1105c",23462,"Other","text",".rdata","",0,1664189250,"name","","fd0e3a93-3efe-4d37-bef8-7a1f96f60408","pe-section","file"
"12486ffc-0e32-44ce-b1ba-d6fa9456d59f",23462,"Payload delivery","md5","60dfa35e1b76831114eacc51b841e0b6","",1,1664189250,"md5","","fd0e3a93-3efe-4d37-bef8-7a1f96f60408","pe-section","file"
"25af0afa-440f-48d2-b142-6dc798c4aeb7",23462,"Payload delivery","sha1","5d573693053de2d3d9e4b852c0deb7e504c1c3ab","",1,1664189250,"sha1","","fd0e3a93-3efe-4d37-bef8-7a1f96f60408","pe-section","file"
"fd9e327e-b623-4075-9dbf-b718b8a4b19a",23462,"Payload delivery","sha256","b09f22bbb9898c72e1d78faaa01fc80fc9b1dbac979ea45c4d7972df9ecb0db8","",1,1664189250,"sha256","","fd0e3a93-3efe-4d37-bef8-7a1f96f60408","pe-section","file"
"9880ad5a-433c-48cd-af97-af148599cf08",23462,"Other","size-in-bytes",75776,"",0,1664189250,"size-in-bytes","","fd0e3a93-3efe-4d37-bef8-7a1f96f60408","pe-section","file"
"757d41b5-0bf0-4113-a15a-d2270b0acf55",23462,"Other","float",5.84389,"",0,1664189250,"entropy","","fd0e3a93-3efe-4d37-bef8-7a1f96f60408","pe-section","file"
"5633aae8-fe2c-4432-beb2-86ef3ef36ddf",23462,"Other","text",".data","",0,1664189251,"name","","8052ff0b-c5a7-441d-bd4a-293e4f8dc141","pe-section","file"
"1b84eab2-2e98-4c62-9e39-4513c16ef1d3",23462,"Payload delivery","md5","198b8ebb04e4f12594d5daeaf5d617cf","",1,1664189251,"md5","","8052ff0b-c5a7-441d-bd4a-293e4f8dc141","pe-section","file"
"fa0c05a2-6795-40c4-8c8c-eddf17c56169",23462,"Payload delivery","sha1","80f5788e735627cc05cc6ffb9758e5ff54871f0a","",1,1664189251,"sha1","","8052ff0b-c5a7-441d-bd4a-293e4f8dc141","pe-section","file"
"65023c36-ab8c-43a9-a534-6a2413095cf8",23462,"Payload delivery","sha256","75043a6c1eb1637dd41569a9bb99961ea7721c9a3ff8cf3efc50f441dd4664f5","",1,1664189251,"sha256","","8052ff0b-c5a7-441d-bd4a-293e4f8dc141","pe-section","file"
"4e58c9a1-b767-45c9-a5d6-5dbe6b2fdc90",23462,"Other","size-in-bytes",3584,"",0,1664189251,"size-in-bytes","","8052ff0b-c5a7-441d-bd4a-293e4f8dc141","pe-section","file"
"eca674c7-55b4-433f-8df2-de73f804f596",23462,"Other","float",1.809,"",0,1664189251,"entropy","","8052ff0b-c5a7-441d-bd4a-293e4f8dc141","pe-section","file"
