uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"20d191c4-cb01-4f80-b7d1-26f49859192b",51992,"Payload delivery","filename","gregx.exe","",0,1617262444,"","","","",""
"1943ecd9-ad55-4781-8bd6-1f7dcef61b5b",51992,"Payload delivery","md5","c56b8a7c42b645067c9674587eb6bfe8","",1,1617262444,"","","","",""
"6e6b0c55-6991-40a8-9888-c413d87540e0",51992,"Payload delivery","sha1","238adb0a18b2c7f9849b84e1f1942f543b04d5b4","",1,1617262444,"","","","",""
"0c921874-dfb5-4212-893d-1f26e36c5691",51992,"Payload delivery","sha256","5b7a19549c692c5dfec51bc6ddc8826132706ab03336321ccec6e02182d9d35e","",1,1617262444,"","","","",""
"77c09a7d-a478-44aa-b564-28f89343a48c",51992,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1617262444,"","","","",""
"7a78a49f-abfc-4a2a-9365-d63fe9e10596",51992,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1617262444,"","","","",""
"642da6f3-fdca-431e-80f8-ded2d48067b8",51992,"Network activity","url","http://zytrox.tk/modex/gregx.exe","",1,1617262444,"","","","",""
"44deb55c-03b8-47a2-a6b8-f1547f656bbe",51992,"Network activity","domain","zytrox.tk","",1,1617262444,"","","","",""
"ac3c261b-adcf-461b-be47-8b52576ba632",51992,"Other","text",".text","",0,1617262445,"name","","ec617d6c-f9f6-4b4a-bebd-74a9089be094","pe-section","file"
"fa501c82-4f58-43eb-afed-a37c7a7d7185",51992,"Payload delivery","md5","6dd55b43a91ea9721517ac6873a61b86","",1,1617262446,"md5","","ec617d6c-f9f6-4b4a-bebd-74a9089be094","pe-section","file"
"4c0f5c4b-afa8-4df4-8d80-868101bd1493",51992,"Payload delivery","sha1","e6512f61f0e8b937f1b78290413404822e6f2b7f","",1,1617262446,"sha1","","ec617d6c-f9f6-4b4a-bebd-74a9089be094","pe-section","file"
"7191274e-4cd4-4c86-84b0-9d269d713d46",51992,"Payload delivery","sha256","16a9bbef262c05d1dbbfd2b264cb99f2caeb2d1041e8ed385488fd6cb0ea17d3","",1,1617262446,"sha256","","ec617d6c-f9f6-4b4a-bebd-74a9089be094","pe-section","file"
"6334739b-367c-4809-ad46-2d30b6663229",51992,"Other","size-in-bytes",70144,"",0,1617262446,"size-in-bytes","","ec617d6c-f9f6-4b4a-bebd-74a9089be094","pe-section","file"
"4c51a981-1e4e-42f9-b590-27533e04c456",51992,"Other","float",5.76278,"",0,1617262446,"entropy","","ec617d6c-f9f6-4b4a-bebd-74a9089be094","pe-section","file"
"1c440152-af1c-4fd2-bb8b-bffa2bcd2ce0",51992,"Other","text",".rsrc","",0,1617262446,"name","","013a6530-1ddf-4e01-8f45-7f04c8ff1054","pe-section","file"
"fe95500a-5d51-4929-b869-a036a700e0e7",51992,"Payload delivery","md5","3f071a0a8dd8545b88ab387afc2a658e","",1,1617262446,"md5","","013a6530-1ddf-4e01-8f45-7f04c8ff1054","pe-section","file"
"db6126ee-6f6b-480c-8dd0-771045811c6d",51992,"Payload delivery","sha1","76971bc46d52a8dfcbf4c58b0e72415819fedd77","",1,1617262446,"sha1","","013a6530-1ddf-4e01-8f45-7f04c8ff1054","pe-section","file"
"376a5b5d-ade6-45c2-a72a-c58ea5111f19",51992,"Payload delivery","sha256","a426bff518579d2f66e605c2b66b5d648905a62dc9992eac30975b3347f40b21","",1,1617262446,"sha256","","013a6530-1ddf-4e01-8f45-7f04c8ff1054","pe-section","file"
"8d8080e6-2e0d-4ff7-aafa-5bca756ecdda",51992,"Other","size-in-bytes",1536,"",0,1617262446,"size-in-bytes","","013a6530-1ddf-4e01-8f45-7f04c8ff1054","pe-section","file"
"ce663ad0-a354-41b4-92c6-3d1bb169feaf",51992,"Other","float",4.15237,"",0,1617262446,"entropy","","013a6530-1ddf-4e01-8f45-7f04c8ff1054","pe-section","file"
"f653b955-4df6-4b8a-ace8-2cc7b726612d",51992,"Other","text",".reloc","",0,1617262447,"name","","923a325f-872e-42ab-adbd-b49ed3638c01","pe-section","file"
"8143072a-348f-4cf8-a8f2-179c05a0282d",51992,"Payload delivery","md5","57071b0d0f5b1e454dd8cfe6c2e8683e","",1,1617262447,"md5","","923a325f-872e-42ab-adbd-b49ed3638c01","pe-section","file"
"5d724f93-4a1a-4bf3-8c17-0fc9fda7e1eb",51992,"Payload delivery","sha1","f0eeca0a2a24f540efa20a3a5a47e7443a2e49a8","",1,1617262447,"sha1","","923a325f-872e-42ab-adbd-b49ed3638c01","pe-section","file"
