uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"f7ae57bb-2d0a-4498-b699-6eba8025c952",30017,"Payload delivery","filename","s-h.4-.Sakura","",0,1670542324,"","","","",""
"3dfddf81-1d6a-49e5-a9be-cedfd4ae0297",30017,"Payload delivery","md5","94768af6ac2a0f0563c02e78cd88039c","",1,1670542324,"","","","",""
"30bbebdf-4c4e-48c5-8869-1963e3819cd1",30017,"Payload delivery","sha1","d275f2135244c04bc7746b9e7ccb00cc91a21c29","",1,1670542324,"","","","",""
"43f1cc12-a705-4c5a-912c-55efe6c0f49c",30017,"Payload delivery","sha256","f88a65d1bdc6b1fe6256459f8d1cbc8d644f85c2518abe286fc0a34cd2bab311","",1,1670542324,"","","","",""
"6b8ed2b5-b242-433e-b84e-e405f956c9bc",30017,"Payload delivery","mime-type","ELF 32-bit LSB executable, Renesas SH, version 1 (SYSV), statically linked, not stripped","",0,1670542324,"","","","",""
"15fff32d-109a-4238-99df-b237475d3aea",30017,"Network activity","url","http://45.145.226.64/s-h.4-.Sakura","",1,1670542324,"","","","",""
"9dbac2bf-9f0b-49bb-8dd4-1a607ea9c0a5",30017,"Network activity","ip-dst","45.145.226.64","",1,1670542324,"","","","",""
"52a39c26-1994-48f0-9149-1ba84f9d00cd",30017,"External analysis","link","https://www.virustotal.com/gui/file/f88a65d1bdc6b1fe6256459f8d1cbc8d644f85c2518abe286fc0a34cd2bab311/detection","",0,1670542324,"permalink","","819543e6-141c-4aad-a1e4-97eb749b28dd","virustotal-report","misc"
"1ebf2926-8b97-48bb-9b31-6266068d0853",30017,"Other","datetime","2022-12-08T22:25:08.000000+0000","",0,1670542324,"last-submission","","819543e6-141c-4aad-a1e4-97eb749b28dd","virustotal-report","misc"
"64c84b08-0293-4b64-9f20-d0bb71bdd6c6",30017,"Other","text","34/59","",0,1670542324,"detection-ratio","","819543e6-141c-4aad-a1e4-97eb749b28dd","virustotal-report","misc"

