uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"4a71a97a-3a4f-445f-a361-4f5fadf732d4",48346,"Payload delivery","filename","a-r.m-5.ISIS","",0,1613801245,"","","","",""
"711373f3-4514-4895-9516-cb71ba8ab7ac",48346,"Payload delivery","md5","b6242824fc27bd2d6fb9e6e252d7c4c4","",1,1613801245,"","","","",""
"aa1f1d08-9c4f-4fbb-b2e7-d792fa4fea8f",48346,"Payload delivery","sha1","84401f905b2c30ec2b9dc74864a7dfeb86ea4290","",1,1613801245,"","","","",""
"ea9a612c-c4c8-4c12-b786-69c1c8d70572",48346,"Payload delivery","sha256","99a61b1f412474ed7ebd434d78d96ffec5b3c9d142eb234f87bef0fd33ddd1bc","",1,1613801245,"","","","",""
"748cf0f5-973d-4037-a9f9-4a4b5e72423d",48346,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, with debug_info, not stripped","",0,1613801245,"","","","",""
"88f72d47-765e-480d-a15a-b5b26d73eec3",48346,"Network activity","url","http://163.172.234.221/a-r.m-5.ISIS","",1,1613801245,"","","","",""
"739e8b6f-9bf7-499b-b400-6073bcf2ea36",48346,"Network activity","ip-dst","163.172.234.221","",1,1613801245,"","","","",""
"4afcd1a3-d72b-4770-b4d4-e7cdd6520250",48346,"External analysis","link","https://www.virustotal.com/gui/file/99a61b1f412474ed7ebd434d78d96ffec5b3c9d142eb234f87bef0fd33ddd1bc/detection","",0,1613801245,"permalink","","9511421d-de11-484e-a830-a2691d1d8b9f","virustotal-report","misc"
"410e1031-5c3a-4254-808d-046f18ad6dd1",48346,"Other","datetime","2021-02-19T22:07:49.000000+0000","",0,1613801245,"last-submission","","9511421d-de11-484e-a830-a2691d1d8b9f","virustotal-report","misc"
"13d05e84-43d5-41ff-b844-7c466c1bd34d",48346,"Other","text","33/62","",0,1613801245,"detection-ratio","","9511421d-de11-484e-a830-a2691d1d8b9f","virustotal-report","misc"

