uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"b1fdb7e1-dd57-4760-9176-5e4d0d12182d",56480,"Payload delivery","filename","skid.ppc","",0,1623482227,"","","","",""
"9d10826d-4e7b-4b33-a206-ede54b6e35d8",56480,"Payload delivery","md5","6a2bdcc93a6685b5696e66c6f5227aea","",1,1623482227,"","","","",""
"bc22bcb4-dc8d-4014-be1c-90b2288c2cd3",56480,"Payload delivery","sha1","0911f61c4c8dbca3f899da14146025f227205347","",1,1623482227,"","","","",""
"6a759bb0-85a1-4855-8f42-02e0b2ca8cc3",56480,"Payload delivery","sha256","2a1fbc8ce2ff3a59d4d315f6049cde46233de640b07c2042c2b544395a975e88","",1,1623482227,"","","","",""
"c0b314a2-9205-41dc-841e-87d88c23f944",56480,"Payload delivery","mime-type","ELF 32-bit MSB executable, PowerPC or cisco 4500, version 1 (SYSV), statically linked, not stripped","",0,1623482227,"","","","",""
"2a2e341f-2017-4000-9cb6-50921fe2f314",56480,"Network activity","url","http://107.172.5.188/skid.ppc","",1,1623482228,"","","","",""
"6a5d711c-1493-45ac-af08-5a67d58f85e7",56480,"Network activity","ip-dst","107.172.5.188","",1,1623482228,"","","","",""
"94fb2394-fb66-4a47-9d23-5fca0eb2d406",56480,"External analysis","link","https://www.virustotal.com/gui/file/2a1fbc8ce2ff3a59d4d315f6049cde46233de640b07c2042c2b544395a975e88/detection","",0,1623482234,"permalink","","62ca22d0-918d-4828-b72f-6fc0c645241e","virustotal-report","misc"
"4695b2a4-a4ac-455e-b8b1-4eba0d6b5005",56480,"Other","datetime","2021-06-11T18:25:32.000000+0000","",0,1623482235,"last-submission","","62ca22d0-918d-4828-b72f-6fc0c645241e","virustotal-report","misc"
"c649f9a9-b72f-4a49-b835-b762d21ca995",56480,"Other","text","30/61","",0,1623482235,"detection-ratio","","62ca22d0-918d-4828-b72f-6fc0c645241e","virustotal-report","misc"

