uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"0679d0b2-1716-423d-a01d-fc7210329666",34282,"Payload delivery","filename","arm","",0,1678032069,"","","","",""
"c89e6975-fa13-407d-8af6-a2db4aba68b3",34282,"Payload delivery","md5","807d409cb5cbb548dc504bac9dc13b6a","",1,1678032069,"","","","",""
"fa0899bf-fc08-4200-9438-a01ff92feb40",34282,"Payload delivery","sha1","bd6c7b7d40b33ed40c448bd119380e517471b1fb","",1,1678032069,"","","","",""
"fd7bdf7e-d2c3-45bf-a416-000598d6d92f",34282,"Payload delivery","sha256","9e63adb228cc6c3c604986a1432fb5e2382bfd48a067df51a231b91638a0e45c","",1,1678032069,"","","","",""
"1d97107d-e784-43c6-b18c-3d669a2e1373",34282,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, stripped","",0,1678032069,"","","","",""
"612f3e32-cf77-4f91-ad04-1b0d96ec5f0e",34282,"Network activity","url","http://185.216.71.69/arm","",1,1678032069,"","","","",""
"07bdbafe-007d-4cd9-bbb3-28a046966d71",34282,"Network activity","ip-dst","185.216.71.69","",1,1678032069,"","","","",""
"a7842d48-8273-44a9-a3f8-6896a920fe06",34282,"External analysis","link","https://www.virustotal.com/gui/file/9e63adb228cc6c3c604986a1432fb5e2382bfd48a067df51a231b91638a0e45c/detection","",0,1678032071,"permalink","","ae8bf667-12ff-410a-8fab-149873afe25d","virustotal-report","misc"
"2125bde3-144b-407c-86cd-b6ee6941ef50",34282,"Other","datetime","2023-03-05T15:30:09.000000+0000","",0,1678032071,"last-submission","","ae8bf667-12ff-410a-8fab-149873afe25d","virustotal-report","misc"
"b96b2c77-1239-4de2-bc98-f71618a5dfba",34282,"Other","text","36/61","",0,1678032071,"detection-ratio","","ae8bf667-12ff-410a-8fab-149873afe25d","virustotal-report","misc"

