uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"70f16f9b-7da8-43b3-99e7-73825243e8b5",26446,"Payload delivery","filename","emptyfilename.tmp","",0,1597246876,"","","","",""
"7b6f0de6-ef8b-4e26-a733-2731c51f719f",26446,"Payload delivery","md5","815556e433364885a22611cabbfca1e7","",1,1597246878,"","","","",""
"fe4ec79f-b281-43b5-af18-9cdf6492fc97",26446,"Payload delivery","sha1","bbe2c09c22109d74d2d7b585c3d3d3cfd4ccc01f","",1,1597246879,"","","","",""
"e6f8e3ee-9869-4a57-8a39-807c4774758b",26446,"Payload delivery","sha256","8b494d64639308e77f437efda90186340fab5c7593f1885064c0a11d875b3265","",1,1597246880,"","","","",""
"dbd7044b-ed7a-4b5c-9ccc-c86f9ae82e7b",26446,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1597246880,"","","","",""
"0af59b3b-ae4a-4c0d-a3b1-96655c2e2ce1",26446,"Payload delivery","imphash","c00d965c37e87dad31bda91dc52ef5cb","",0,1597246880,"","","","",""
"417d0ddc-5011-43e0-98e8-7c69110afe42",26446,"Network activity","url","http://jonsonen.com/old/ow_0q4_y02/","",1,1597246880,"","","","",""
"00e32eab-c390-4592-8d9a-6b43c825822a",26446,"Network activity","domain","jonsonen.com","",1,1597246880,"","","","",""
"4ca3863f-b25a-46f9-8c85-57c8e2aa01dd",26446,"Other","text",".text","",0,1597246883,"name","","8044b1b0-1e5c-41d2-baf1-365aa2dcd9c2","pe-section","file"
"7afd7627-362d-41cb-9c0d-a06b095c7a88",26446,"Payload delivery","md5","2d7790aca805d7b25afc788522bf808d","",1,1597246886,"md5","","8044b1b0-1e5c-41d2-baf1-365aa2dcd9c2","pe-section","file"
"5e9770ef-8eaf-4857-a424-a4b371898cde",26446,"Payload delivery","sha1","8f8567e61de7a6f064e99f155007a38a39cc2616","",1,1597246886,"sha1","","8044b1b0-1e5c-41d2-baf1-365aa2dcd9c2","pe-section","file"
"589198ee-1111-443b-99a2-a5b099d2b871",26446,"Payload delivery","sha256","8f3ea34e09fe89c75e544c26d94ba6907da4fd9ec5d2f8329ca1a35b5080d1c5","",1,1597246886,"sha256","","8044b1b0-1e5c-41d2-baf1-365aa2dcd9c2","pe-section","file"
"1f2cffdb-a7d0-4b26-b5d2-949356f65eb8",26446,"Other","size-in-bytes",239104,"",0,1597246886,"size-in-bytes","","8044b1b0-1e5c-41d2-baf1-365aa2dcd9c2","pe-section","file"
"00ec2a2e-63d4-4124-89fc-450d76f5fb7a",26446,"Other","float",6.57325,"",0,1597246886,"entropy","","8044b1b0-1e5c-41d2-baf1-365aa2dcd9c2","pe-section","file"
"6e0669ea-5793-46b7-9dd2-8f33b85cbe14",26446,"Other","text",".rdata","",0,1597246889,"name","","907e82d9-2109-4dce-adcd-a95354609e67","pe-section","file"
"13f4f52a-07ea-486f-8f53-b18fa3cfafbb",26446,"Payload delivery","md5","80b7b1a0386f87da823fbd4db35f156f","",1,1597246892,"md5","","907e82d9-2109-4dce-adcd-a95354609e67","pe-section","file"
"46da2bb7-8159-4268-b3be-be5d80fe6d47",26446,"Payload delivery","sha1","0e895f60660e43714b4c1a050b6cfd45d5e4973a","",1,1597246893,"sha1","","907e82d9-2109-4dce-adcd-a95354609e67","pe-section","file"
