uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"265bbc2a-9695-4e1f-a0a0-cc625b39bb1a",21009,"Payload delivery","filename","usbdriverupdat.exe","",0,1659300183,"","","","",""
"907ac3db-816c-4e81-b8ea-dca32ea369df",21009,"Payload delivery","md5","8cfc702e1fe454ac3efa1108ae67c8d7","",1,1659300183,"","","","",""
"069b0e96-ac5b-432c-af21-1ff2b0b870c7",21009,"Payload delivery","sha1","f92e8f6beb6813407016be8f0320daa14c05990f","",1,1659300183,"","","","",""
"2e7cfbff-2057-4cf1-a4de-7399ca8767af",21009,"Payload delivery","sha256","182037a347c08591fc3e046fccc8ad809fbef729a8557bba47473bf5f83a59f8","",1,1659300183,"","","","",""
"4627d216-c1e0-4065-94e1-dffabdd5c406",21009,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1659300183,"","","","",""
"9b20acc7-0535-485a-96da-10bcebf8bf95",21009,"Payload delivery","imphash","3d669ab0f7c82e41ce14a94dfe181a13","",0,1659300183,"","","","",""
"2860721f-fbbf-4039-b3bf-258e7b8d51b7",21009,"Network activity","url","http://65.108.59.56/video/usbdriverupdat.exe","",1,1659300183,"","","","",""
"fca779ed-ae08-4fa0-b00e-dc5baf040f24",21009,"Network activity","ip-dst","65.108.59.56","",1,1659300183,"","","","",""
"c00ce859-ce23-48ac-ab46-bc37d52f29d9",21009,"Other","text",".text","",0,1659300183,"name","","0f4b92e6-2c7f-411f-9c81-9f1b8a02d507","pe-section","file"
"1b384b1d-eb41-4751-a1f8-5d30176ba392",21009,"Payload delivery","md5","e48fcf7bf665fe028b778084b85a554e","",1,1659300183,"md5","","0f4b92e6-2c7f-411f-9c81-9f1b8a02d507","pe-section","file"
"c205fdc6-7166-4f06-aaac-2916ea7db869",21009,"Payload delivery","sha1","d52328ef04d84041bc0fd98d2c2e739143772a3c","",1,1659300183,"sha1","","0f4b92e6-2c7f-411f-9c81-9f1b8a02d507","pe-section","file"
"46cb02c7-db69-44fc-931d-e5d31a4874e2",21009,"Payload delivery","sha256","dfad9a0aa5929d857f20bf39e8249dedf8420ea49e9b1e4a28019163255bded2","",1,1659300183,"sha256","","0f4b92e6-2c7f-411f-9c81-9f1b8a02d507","pe-section","file"
"25fc2365-358f-4227-8730-f35cf138313a",21009,"Other","size-in-bytes",154624,"",0,1659300183,"size-in-bytes","","0f4b92e6-2c7f-411f-9c81-9f1b8a02d507","pe-section","file"
"243976f7-f5b3-4226-a012-87df46c8a13f",21009,"Other","float",6.42101,"",0,1659300183,"entropy","","0f4b92e6-2c7f-411f-9c81-9f1b8a02d507","pe-section","file"
"830539ce-1314-4523-bcf5-0a00f64611f1",21009,"Other","text",".rdata","",0,1659300183,"name","","741e7302-4fc8-457c-9eea-69e3bd6697c5","pe-section","file"
"b8ff0f3f-e5c8-42d8-8185-07b0df872ec3",21009,"Payload delivery","md5","d9ed83ae4afb9be641e39231546d1e5b","",1,1659300183,"md5","","741e7302-4fc8-457c-9eea-69e3bd6697c5","pe-section","file"
"b8089e23-dd79-4bd9-ac25-f886644d930e",21009,"Payload delivery","sha1","88550ac27755aac8252bb5628f3cf6370ce6c842","",1,1659300183,"sha1","","741e7302-4fc8-457c-9eea-69e3bd6697c5","pe-section","file"
"dbaa7592-68ad-4c90-ad53-4d5cd05aabec",21009,"Payload delivery","sha256","1a091f78bdeb99e706fba85fd5233ecbd690b46a87371fb98e76c944de322c70","",1,1659300183,"sha256","","741e7302-4fc8-457c-9eea-69e3bd6697c5","pe-section","file"
"927fb8b2-39dc-4bbf-83d8-b2cad8c783b2",21009,"Other","size-in-bytes",56832,"",0,1659300183,"size-in-bytes","","741e7302-4fc8-457c-9eea-69e3bd6697c5","pe-section","file"
"7485cf28-b72f-4a61-8577-aea1563f323e",21009,"Other","float",5.45228,"",0,1659300183,"entropy","","741e7302-4fc8-457c-9eea-69e3bd6697c5","pe-section","file"
"7c56ef2a-bb13-41b8-8595-03387046bd18",21009,"Other","text",".data","",0,1659300184,"name","","a80a7251-25d1-4b09-b8c9-93f2d11f6d5a","pe-section","file"
"39a60d3b-e68d-4caa-96d3-bfc71153431d",21009,"Payload delivery","md5","d66232707c05155ba36c861d8348f024","",1,1659300184,"md5","","a80a7251-25d1-4b09-b8c9-93f2d11f6d5a","pe-section","file"
"361d2d1b-748c-46b3-bbaa-df9d525da5c7",21009,"Payload delivery","sha1","983efa28e3eef198fd6e63ff1f0c51ebabc71028","",1,1659300184,"sha1","","a80a7251-25d1-4b09-b8c9-93f2d11f6d5a","pe-section","file"
"84503ab1-5aa6-4a04-9bb8-c52b91fc0d07",21009,"Payload delivery","sha256","03446721bfd0a07e5099ef49cd73cc995dc6087447f40d4ff01ee81196ee2dd9","",1,1659300184,"sha256","","a80a7251-25d1-4b09-b8c9-93f2d11f6d5a","pe-section","file"
"c7855cb0-16cf-4ed4-8e8e-3e068d29b862",21009,"Other","size-in-bytes",3584,"",0,1659300184,"size-in-bytes","","a80a7251-25d1-4b09-b8c9-93f2d11f6d5a","pe-section","file"
"198dfc15-a8e4-4a5e-91f7-cf4e1fba35bf",21009,"Other","float",2.97405,"",0,1659300184,"entropy","","a80a7251-25d1-4b09-b8c9-93f2d11f6d5a","pe-section","file"
"0fda9c33-2cd5-43ae-9670-f3359cfc728c",21009,"Other","text",".rsrc","",0,1659300184,"name","","551856a0-d277-4956-b3e1-7b138d21d7b3","pe-section","file"
"e5948a30-0869-4c89-88a8-3cf19542acef",21009,"Payload delivery","md5","2d5eb1e7989b77f5c38c72583a0272d3","",1,1659300184,"md5","","551856a0-d277-4956-b3e1-7b138d21d7b3","pe-section","file"
"8e26d60c-0ebb-456a-a68f-d322c5a879c5",21009,"Payload delivery","sha1","c39a70046d66c7dbb155a0d50bcddb26c01bcc7f","",1,1659300184,"sha1","","551856a0-d277-4956-b3e1-7b138d21d7b3","pe-section","file"
"60d9b0f9-ac13-4185-947e-32956b8de77e",21009,"Payload delivery","sha256","8056bc0895057655b3cfbd0ec46e993fb96e27a9bd6cdfb2577ba6334021bec7","",1,1659300184,"sha256","","551856a0-d277-4956-b3e1-7b138d21d7b3","pe-section","file"
"850524fc-730a-488e-8d83-06b03afc4ef9",21009,"Other","size-in-bytes",512,"",0,1659300184,"size-in-bytes","","551856a0-d277-4956-b3e1-7b138d21d7b3","pe-section","file"
"1d08f31a-485e-4dd3-aa3f-4ab573d553cf",21009,"Other","float",4.71768,"",0,1659300184,"entropy","","551856a0-d277-4956-b3e1-7b138d21d7b3","pe-section","file"
"98aa2958-3547-4263-8a13-84653c6d16b1",21009,"Other","text",".reloc","",0,1659300184,"name","","50bb8974-d4c2-412b-bb53-83bef11d1826","pe-section","file"
"88c98af9-2fcb-4e37-afa2-9115d79fc4b7",21009,"Payload delivery","md5","0abd5b22c3e82ba36c7022b2660c43e1","",1,1659300184,"md5","","50bb8974-d4c2-412b-bb53-83bef11d1826","pe-section","file"
"8328c007-c38a-40fd-acfd-c75452b9a939",21009,"Payload delivery","sha1","57def942acbfc7a3f3aeab77487836f2f472b83d","",1,1659300184,"sha1","","50bb8974-d4c2-412b-bb53-83bef11d1826","pe-section","file"
"9c885ddd-d12f-42a4-aa4d-7999513afa5b",21009,"Payload delivery","sha256","049ee7c394ac04c60c9c764f5fe469cc08b840e1ff79ddf683d41e616af2a5b6","",1,1659300184,"sha256","","50bb8974-d4c2-412b-bb53-83bef11d1826","pe-section","file"
"19e43105-f679-4e65-99a8-d88cbe0b467a",21009,"Other","size-in-bytes",7680,"",0,1659300184,"size-in-bytes","","50bb8974-d4c2-412b-bb53-83bef11d1826","pe-section","file"
"9a7be648-6e2f-41f5-b081-da9288bd34d0",21009,"Other","float",6.40669,"",0,1659300184,"entropy","","50bb8974-d4c2-412b-bb53-83bef11d1826","pe-section","file"
