uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"59cbe0a1-6443-4b0f-8a53-318f1d00e22d",48762,"Payload delivery","filename","mipsel","",0,1614278380,"","","","",""
"36d1d998-ebf1-4653-bdf8-cfb794d7952f",48762,"Payload delivery","md5","67d6715185ad8a9ac412e01b43d6ffa2","",1,1614278380,"","","","",""
"9d06dba7-d6e9-4f1d-802f-6dfbff648081",48762,"Payload delivery","sha1","c4666b1bf48fcd87766330fafca5b6f468dbf909","",1,1614278380,"","","","",""
"6223b3d0-57bc-42ed-a59b-8c3f04ff58a0",48762,"Payload delivery","sha256","eea0188c2b2a1b853946fd6bba03a48b34e8589c9fd191975738c8c1c6250fb5","",1,1614278380,"","","","",""
"35e96b98-78e7-498e-9537-b667ba1fb4d4",48762,"Payload delivery","mime-type","ELF 32-bit LSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, stripped","",0,1614278380,"","","","",""
"3f1b3ea2-7d42-4899-919b-f37b84773bf3",48762,"Network activity","url","http://23.95.222.188/mipsel","",1,1614278380,"","","","",""
"ff6d9077-7686-457b-a23f-5e9a5f2d2195",48762,"Network activity","ip-dst","23.95.222.188","",1,1614278380,"","","","",""
"4c6a94c7-7ab0-4a30-ad3a-5375c13df09a",48762,"External analysis","link","https://www.virustotal.com/gui/file/eea0188c2b2a1b853946fd6bba03a48b34e8589c9fd191975738c8c1c6250fb5/detection","",0,1614278380,"permalink","","d4db2360-adcb-425f-9397-0d891ac85447","virustotal-report","misc"
"25fd4253-f34b-4916-b0c4-ba62b2850a03",48762,"Other","datetime","2021-02-25T17:32:24.000000+0000","",0,1614278380,"last-submission","","d4db2360-adcb-425f-9397-0d891ac85447","virustotal-report","misc"
"e6ac754f-c0e9-450d-8b7e-a6b8bd07b786",48762,"Other","text","13/62","",0,1614278380,"detection-ratio","","d4db2360-adcb-425f-9397-0d891ac85447","virustotal-report","misc"

