uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"e9a3a3f3-ceba-423a-9998-21491dc7aa07",12872,"Payload delivery","filename","Move_Soul.rar","",0,1700398430,"","","","",""
"3607c0b2-7390-4206-b0b7-84eb189cb454",12872,"Payload delivery","md5","88a5ab8af37bd60bef8e86614b392c1c","",1,1700398430,"","","","",""
"fcb7c27e-a8f1-44b9-bbdb-deb917c75cdd",12872,"Payload delivery","sha1","56908392548ad9ed7294fb2d8b5fc3fde78a0bbf","",1,1700398430,"","","","",""
"81d7f4e1-830c-4643-9c53-a0b622fe73b0",12872,"Payload delivery","sha256","a310c9b202189dfad908d0f91c88f9421f0d829a6fc0f3a645f27c6f36a49467","",1,1700398430,"","","","",""
"96c2f89f-5342-4109-b9cb-ea7a7762926b",12872,"Payload delivery","mime-type","application/x-rar","",0,1700398430,"","","","",""
"f5d34414-900b-4bf6-80e0-fa2793331f19",12872,"Network activity","url","https://cdn.discordapp.com/attachments/1174392853636579419/1175022317923991572/Move_Soul.rar","",1,1700398430,"","","","",""
"a7a90974-f0a2-4308-abda-391994e0d877",12872,"Network activity","domain","cdn.discordapp.com","Domain listed as False Positive in OSINT.DigitalSide.IT whitelist",0,1700398430,"","","","",""
"44869a3c-f159-45a7-bbed-74b839d9a6df",12872,"External analysis","link","https://www.virustotal.com/gui/file/a310c9b202189dfad908d0f91c88f9421f0d829a6fc0f3a645f27c6f36a49467/detection","",0,1700398430,"permalink","","4024d4c7-bf6b-432b-b11d-2c33d3b8ecad","virustotal-report","misc"
"0ac9df63-4655-401c-af5a-65a31a016a33",12872,"Other","datetime","2023-11-19T10:45:20.000000+0000","",0,1700398430,"last-submission","","4024d4c7-bf6b-432b-b11d-2c33d3b8ecad","virustotal-report","misc"
"10ab735a-3760-413a-aeef-d287e496e18a",12872,"Other","text","0/60","",0,1700398430,"detection-ratio","","4024d4c7-bf6b-432b-b11d-2c33d3b8ecad","virustotal-report","misc"

