uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"9ca5a68d-f82b-4c2f-9ae5-1081dba63f94",43725,"Payload delivery","filename","bin.sh","",0,1610855145,"","","","",""
"4ea0fef4-dca7-4aef-a95d-384ca91b2318",43725,"Payload delivery","md5","9f766ad2ffa4f553965f13ddfc375351","",1,1610855145,"","","","",""
"1605b7bd-e59a-42aa-a2f0-816e196aae3b",43725,"Payload delivery","sha1","5828faeec9a41fc8987d43721656866a50be26d8","",1,1610855145,"","","","",""
"5e5dd3c2-c6ce-47de-a36c-36735ffbbf9f",43725,"Payload delivery","sha256","10fcec8f657cf369bbafb410b3eb5ce65d48c47b9aa822267ba690e5470b476a","",1,1610855145,"","","","",""
"c106ff2b-70d9-4294-ba72-9553f71d5f9a",43725,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, missing section headers","",0,1610855145,"","","","",""
"339d3b0c-ca1f-4054-a4e3-35ade06c9a61",43725,"Network activity","url","http://190.35.225.36:57289/bin.sh","",1,1610855145,"","","","",""
"62f85ecf-9851-41fe-b349-1652ec9b2230",43725,"Network activity","ip-dst","190.35.225.36","",1,1610855145,"","","","",""
"4ff73313-39e9-4af6-9fff-35e15bf04bbf",43725,"External analysis","link","https://www.virustotal.com/gui/file/10fcec8f657cf369bbafb410b3eb5ce65d48c47b9aa822267ba690e5470b476a/detection","",0,1610855145,"permalink","","d2b4c48a-b856-4a5f-a3d3-97c30ad7af56","virustotal-report","misc"
"a62ffedc-46c3-4a2f-b55d-f2397589357e",43725,"Other","datetime","2020-12-01T08:34:59.000000+0000","",0,1610855145,"last-submission","","d2b4c48a-b856-4a5f-a3d3-97c30ad7af56","virustotal-report","misc"
"b5fb7a56-bf7d-4cd1-bc2b-e9f47fe46391",43725,"Other","text","26/63","",0,1610855145,"detection-ratio","","d2b4c48a-b856-4a5f-a3d3-97c30ad7af56","virustotal-report","misc"

