uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"a88a52eb-66be-4769-ba51-21d94f40ff79",8972,"Payload delivery","filename","470921_Fswzvhlf.jpg","",0,1649076183,"","","","",""
"fa7d977a-da66-4f35-ada2-a52e81167cf2",8972,"Payload delivery","md5","32977c4c8559a4b88855b24151f94d0a","",1,1649076183,"","","","",""
"7bd96971-19a1-4efc-8cfa-e162209043d3",8972,"Payload delivery","sha1","952a2b40bb8805aa12a5850a4f273a5fc226c49a","",1,1649076183,"","","","",""
"4c9ff84f-f163-48a5-be09-91ccd4c59eb8",8972,"Payload delivery","sha256","35449b8482915ea8cf495c60966dd7cf37a3651a4f155ab383050cfcbcf764b9","",1,1649076183,"","","","",""
"2b83e325-d52a-4cad-9683-b90bb487c77e",8972,"Payload delivery","mime-type","data","",0,1649076183,"","","","",""
"e8260f0d-db7d-4dd7-bd90-8ef08657654e",8972,"Network activity","url","https://amtechprinting.com/470921_Fswzvhlf.jpg","",1,1649076183,"","","","",""
"c4a334cf-2cb2-4e79-9742-3f9bd9f448b9",8972,"Network activity","domain","amtechprinting.com","",1,1649076183,"","","","",""
"10e8c6b8-3b75-4ef9-83ee-cc2a725e1999",8972,"External analysis","link","https://www.virustotal.com/gui/file/35449b8482915ea8cf495c60966dd7cf37a3651a4f155ab383050cfcbcf764b9/detection","",0,1649076183,"permalink","","b64918c5-d2a6-42ba-8345-07e42b5e2827","virustotal-report","misc"
"f955dd2e-c028-4db7-a7f3-72a2ccae1c47",8972,"Other","datetime","2022-04-04T11:25:07.000000+0000","",0,1649076183,"last-submission","","b64918c5-d2a6-42ba-8345-07e42b5e2827","virustotal-report","misc"
"8063df91-5f1f-4729-b379-f7fe91254b74",8972,"Other","text","2/56","",0,1649076183,"detection-ratio","","b64918c5-d2a6-42ba-8345-07e42b5e2827","virustotal-report","misc"

