uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"d2e21734-51f2-46c4-8f44-07051ee011e7",49614,"Payload delivery","filename","b.exe","",0,1615226532,"","","","",""
"9418b51b-3a5f-4590-be6e-d16acf90415f",49614,"Payload delivery","md5","315138347a5c976c27a0231460126963","",1,1615226532,"","","","",""
"6a89e644-b18f-4a64-be2f-752db7559fb4",49614,"Payload delivery","sha1","6fafe4f7cc7d336d5bf24c7fc1ee0ac27e1cd5e4","",1,1615226532,"","","","",""
"bf437257-83bf-46bd-847e-1705731e490a",49614,"Payload delivery","sha256","2c7dd7200563c99dd49f9a862bf9515e38dde993a4a5dbba7408914aa03ebc73","",1,1615226532,"","","","",""
"2d687728-ac32-4a81-9183-c6d0d20b1354",49614,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1615226532,"","","","",""
"d58315be-165e-48c9-9f4d-19f13541c338",49614,"Payload delivery","imphash","53d959ebb7bb8f7d843ac5b0841f15b9","",0,1615226532,"","","","",""
"5ab06f4a-223a-4bac-ae01-28d0991f4b4f",49614,"Network activity","url","http://91.212.150.4/b.exe","",1,1615226532,"","","","",""
"c313e10b-31a3-4d82-9d63-89a503a062cb",49614,"Network activity","ip-dst","91.212.150.4","",1,1615226532,"","","","",""
"e186e250-92a1-46d3-9032-3758cd8cceef",49614,"Other","text",".text","",0,1615226532,"name","","157f6ada-1098-4f32-9592-cc1a90bc8ce6","pe-section","file"
"0fbdfbad-e8cb-40e7-a28f-d32ef8801a5b",49614,"Payload delivery","md5","099454a033b37076c417e2da11ce7dde","",1,1615226532,"md5","","157f6ada-1098-4f32-9592-cc1a90bc8ce6","pe-section","file"
"64c3404e-8581-484f-b005-6bc689ae604b",49614,"Payload delivery","sha1","befa082a7eee2cfe0c432298d59a170b017b7a10","",1,1615226532,"sha1","","157f6ada-1098-4f32-9592-cc1a90bc8ce6","pe-section","file"
"2809c558-a3a8-46ad-aaf6-e7565782355c",49614,"Payload delivery","sha256","2b0a9a2f47ec68e6a23612828ed3af17c9a4fb0009e1b2735c07aacbf0674cff","",1,1615226533,"sha256","","157f6ada-1098-4f32-9592-cc1a90bc8ce6","pe-section","file"
"9fddc838-4826-4a50-99d0-84cbe66784c7",49614,"Other","size-in-bytes",375296,"",0,1615226533,"size-in-bytes","","157f6ada-1098-4f32-9592-cc1a90bc8ce6","pe-section","file"
"ae743b71-3d0a-485b-a6cf-cb567afd335c",49614,"Other","float",7.95985,"",0,1615226533,"entropy","","157f6ada-1098-4f32-9592-cc1a90bc8ce6","pe-section","file"
"c41214f9-47f8-40d3-a71f-57866b48d6bb",49614,"Other","text",".rdata","",0,1615226533,"name","","441596ef-7d20-48a2-8c8b-43fbf67ccd1d","pe-section","file"
"a3ec4fe0-503f-4fe7-a269-f77c39f8d071",49614,"Payload delivery","md5","c90d29c38c3b0635a0f228fc0731ac29","",1,1615226533,"md5","","441596ef-7d20-48a2-8c8b-43fbf67ccd1d","pe-section","file"
"d30ae8f8-fdc5-4d8b-bb30-a0dfc5f9f4cb",49614,"Payload delivery","sha1","629d6288403516ba7bb9c9d7316c4f25f4cf685e","",1,1615226533,"sha1","","441596ef-7d20-48a2-8c8b-43fbf67ccd1d","pe-section","file"
"78068b30-a5ec-4c1d-8c45-634960d59a89",49614,"Payload delivery","sha256","a14563d8bdc0b318da515edffc57c3622c8844c104cc52e5b45d0cbec6b1c71e","",1,1615226533,"sha256","","441596ef-7d20-48a2-8c8b-43fbf67ccd1d","pe-section","file"
"8b4e0086-3ae5-44c2-8356-c71b145679f2",49614,"Other","size-in-bytes",8704,"",0,1615226533,"size-in-bytes","","441596ef-7d20-48a2-8c8b-43fbf67ccd1d","pe-section","file"
"d9ccd8a2-0ee6-4eba-b3ef-2b511d1c19da",49614,"Other","float",5.55543,"",0,1615226533,"entropy","","441596ef-7d20-48a2-8c8b-43fbf67ccd1d","pe-section","file"
"0e58dc15-8a2c-4f16-a8ea-340926d55ba4",49614,"Other","text",".data","",0,1615226533,"name","","e0622087-47da-45ae-96a8-0c188934bf27","pe-section","file"
"8c092e3b-8dd8-4edb-9411-a63f61665f9e",49614,"Payload delivery","md5","6b903116528083086089e1e9e64a766a","",1,1615226533,"md5","","e0622087-47da-45ae-96a8-0c188934bf27","pe-section","file"
"33494422-2568-4285-8f69-d6fd8193f2fa",49614,"Payload delivery","sha1","0aedf5c21a808a34b33ce477eeaa891fb784796e","",1,1615226533,"sha1","","e0622087-47da-45ae-96a8-0c188934bf27","pe-section","file"
"88e84228-da73-4cf2-be83-6a5c41b0a191",49614,"Payload delivery","sha256","682845a4366657435b09acd967875f5912602874058417d7c657911976071891","",1,1615226533,"sha256","","e0622087-47da-45ae-96a8-0c188934bf27","pe-section","file"
"348a49ed-ec44-42e1-8911-303b9f255ed4",49614,"Other","size-in-bytes",6656,"",0,1615226533,"size-in-bytes","","e0622087-47da-45ae-96a8-0c188934bf27","pe-section","file"
"9cd64461-077b-460f-814e-61fcdfdc719b",49614,"Other","float",2.77994,"",0,1615226533,"entropy","","e0622087-47da-45ae-96a8-0c188934bf27","pe-section","file"
"cca85924-fc66-411a-9275-4f4ec2b7fcea",49614,"Other","text",".rsrc","",0,1615226534,"name","","727c72d9-4544-4f1a-b30b-a98d90d92111","pe-section","file"
"50653349-5a0d-47cc-98ed-9e311159ffd7",49614,"Payload delivery","md5","f0690f44c1b4d4a46df4b9180fe73e8a","",1,1615226534,"md5","","727c72d9-4544-4f1a-b30b-a98d90d92111","pe-section","file"
"9690782d-c801-4612-9ba7-f00e61cb89eb",49614,"Payload delivery","sha1","5c52208c9a37ab5203f2792139da6d60c1c22f8d","",1,1615226534,"sha1","","727c72d9-4544-4f1a-b30b-a98d90d92111","pe-section","file"
"68691510-e6f6-46f5-b744-8812a670c265",49614,"Payload delivery","sha256","48d18e9e935ad82107e4e6f3b50bc24aac9781300175817fa3b17791717b4f17","",1,1615226534,"sha256","","727c72d9-4544-4f1a-b30b-a98d90d92111","pe-section","file"
"78e642e1-09ec-41ea-acda-4c38a971ad8d",49614,"Other","size-in-bytes",12288,"",0,1615226534,"size-in-bytes","","727c72d9-4544-4f1a-b30b-a98d90d92111","pe-section","file"
"9caeb247-94f1-404b-b4b4-d4ab838d964a",49614,"Other","float",5.91896,"",0,1615226534,"entropy","","727c72d9-4544-4f1a-b30b-a98d90d92111","pe-section","file"
"3bf83330-c88b-4cac-926a-e7bd9c074e9b",49614,"External analysis","link","https://www.virustotal.com/gui/file/2c7dd7200563c99dd49f9a862bf9515e38dde993a4a5dbba7408914aa03ebc73/detection","",0,1615226534,"permalink","","01482b60-e164-4b7f-854a-5cfe209985f0","virustotal-report","misc"
"41f0f8da-6c99-4424-b741-59fab7f4a194",49614,"Other","datetime","2021-03-08T17:53:20.000000+0000","",0,1615226534,"last-submission","","01482b60-e164-4b7f-854a-5cfe209985f0","virustotal-report","misc"
"5f1aaf35-8054-492e-812a-e90565edf9be",49614,"Other","text","31/71","",0,1615226534,"detection-ratio","","01482b60-e164-4b7f-854a-5cfe209985f0","virustotal-report","misc"

