uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"01eb7575-325e-424f-af0c-0e1b5d8e139b",41105,"Payload delivery","filename","emptyfilename.tmp","",0,1608564034,"","","","",""
"299b38c0-51a8-4532-a6ad-e8ec2ab83e13",41105,"Payload delivery","md5","370b492fb2a4a5b24dbcf11561f46498","",1,1608564034,"","","","",""
"62c1be2c-ff5c-4926-ac95-bf58e5c60c18",41105,"Payload delivery","sha1","7a354c01c7e1dbfc8ccf2579b420a6e9a8ba9abc","",1,1608564034,"","","","",""
"8d23b16d-6426-4f1b-8c44-77b088ba6634",41105,"Payload delivery","sha256","a2c081ddd625dc8d4ff28a964068b2e065202ca79c68a6a5a4813f13ae1102ba","",1,1608564034,"","","","",""
"15b08732-8001-4f49-8bd5-c99732c575ac",41105,"Payload delivery","mime-type","PE32 executable (DLL) (GUI) Intel 80386, for MS Windows","",0,1608564034,"","","","",""
"99596108-ea61-4b0f-8166-83481115e91d",41105,"Payload delivery","imphash","ae43e9a1247161c13d73d3b87f58b510","",0,1608564034,"","","","",""
"e520276a-ec21-401a-8f72-e73ed2fe6f4f",41105,"Network activity","url","https://b2bcom.com.br/site/0H/","",1,1608564034,"","","","",""
"c025c7fd-07d0-42fd-b411-0cdd9e99077a",41105,"Network activity","domain","b2bcom.com.br","",1,1608564034,"","","","",""
"a908cc2d-f7aa-4191-9aef-54987d7b2552",41105,"Other","text",".text","",0,1608564035,"name","","b8ce1efe-2b28-4b7c-970a-0b5ef607a3ad","pe-section","file"
"508b2d35-dab9-4010-90e0-223143d3a45c",41105,"Payload delivery","md5","9572d3eb257ff75f23698de388cfebed","",1,1608564035,"md5","","b8ce1efe-2b28-4b7c-970a-0b5ef607a3ad","pe-section","file"
"22398cc1-958d-45ab-b747-299bf1af54e6",41105,"Payload delivery","sha1","8b40d1fea30c743fe0d77b8b6616292850e6fa93","",1,1608564035,"sha1","","b8ce1efe-2b28-4b7c-970a-0b5ef607a3ad","pe-section","file"
"3e91d1fe-8d5b-4331-b7c4-1ed8d6e95abf",41105,"Payload delivery","sha256","6bfba9932fd4f8bf2377fa8ba9281ec3f9a53038b52f089ddb1b62eb6c9291c3","",1,1608564035,"sha256","","b8ce1efe-2b28-4b7c-970a-0b5ef607a3ad","pe-section","file"
"cfa6d63a-979b-4fe0-ab17-57f3f441e439",41105,"Other","size-in-bytes",39424,"",0,1608564035,"size-in-bytes","","b8ce1efe-2b28-4b7c-970a-0b5ef607a3ad","pe-section","file"
"8a08b9a3-eb83-4147-9627-32db5e6c4743",41105,"Other","float",6.55334,"",0,1608564035,"entropy","","b8ce1efe-2b28-4b7c-970a-0b5ef607a3ad","pe-section","file"
"a91d7e9e-f77c-45c4-ade9-9635d0bcb7ab",41105,"Other","text",".rdata","",0,1608564035,"name","","30537941-e84e-43e8-b505-548f669efb13","pe-section","file"
"858fee86-0a4e-491f-9a3b-25b2ba2afcd5",41105,"Payload delivery","md5","ba70ef3689183ef0d59590475ddd1aba","",1,1608564035,"md5","","30537941-e84e-43e8-b505-548f669efb13","pe-section","file"
"ec814a11-5ba4-41df-8929-b27f1e4dae5b",41105,"Payload delivery","sha1","f3b807a43d9ea2e1cd6928610c2f81f3875f8d81","",1,1608564035,"sha1","","30537941-e84e-43e8-b505-548f669efb13","pe-section","file"
"722c9345-17cc-4afe-a010-532b9095a0d0",41105,"Payload delivery","sha256","643aa191ea46f1de1119b2dd8f525acd95195d72f68f7fcd0e95cd3661038ec1","",1,1608564035,"sha256","","30537941-e84e-43e8-b505-548f669efb13","pe-section","file"
"da569a6e-6fbe-4054-99e4-1ff829f0f768",41105,"Other","size-in-bytes",11264,"",0,1608564035,"size-in-bytes","","30537941-e84e-43e8-b505-548f669efb13","pe-section","file"
"941c74ae-4cee-46a3-b5bb-796463b9d3b0",41105,"Other","float",5.27846,"",0,1608564035,"entropy","","30537941-e84e-43e8-b505-548f669efb13","pe-section","file"
"89d50a70-3907-4c1b-bff1-f90840ad3378",41105,"Other","text",".data","",0,1608564036,"name","","2ae8d1a1-0d1a-45de-9e0d-bf31e62a9d64","pe-section","file"
"ae6157fb-14a5-4b36-ba28-319a0f7f6bbe",41105,"Payload delivery","md5","0b67a0a5f5740c7d8acdda3c36cca069","",1,1608564036,"md5","","2ae8d1a1-0d1a-45de-9e0d-bf31e62a9d64","pe-section","file"
"b7dd210d-7173-410f-a439-3c2f651f8ffb",41105,"Payload delivery","sha1","b6ee368cbb3f2cbb080dd905d4cf78cded56b8ed","",1,1608564037,"sha1","","2ae8d1a1-0d1a-45de-9e0d-bf31e62a9d64","pe-section","file"
"bf33bbcc-13a9-467f-9031-3c15ada1ad02",41105,"Payload delivery","sha256","145af85f49481400753122907f96af340bb5d0ee65e6b168b32ba6a84b6a571f","",1,1608564037,"sha256","","2ae8d1a1-0d1a-45de-9e0d-bf31e62a9d64","pe-section","file"
"569d1bac-2795-4dc2-9dec-262df838235b",41105,"Other","size-in-bytes",3584,"",0,1608564037,"size-in-bytes","","2ae8d1a1-0d1a-45de-9e0d-bf31e62a9d64","pe-section","file"
"1c35c91f-731a-4c2e-a0d9-56e5451e9bea",41105,"Other","float",2.90899,"",0,1608564037,"entropy","","2ae8d1a1-0d1a-45de-9e0d-bf31e62a9d64","pe-section","file"
"edcebc37-eef5-425d-af75-00d40b3c4070",41105,"Other","text",".rsrc","",0,1608564037,"name","","9d24f221-ef6a-4e4c-b454-87e02e586a74","pe-section","file"
"ff705090-04f0-4d10-a04f-0363832ac633",41105,"Payload delivery","md5","518c41a4d2212eb8466cdd0897d01559","",1,1608564037,"md5","","9d24f221-ef6a-4e4c-b454-87e02e586a74","pe-section","file"
"91b8ecd8-10fb-4d5b-8238-c36d9e2c35e3",41105,"Payload delivery","sha1","73b99eb92a21dff598deb7ed81db9cb6b678d0d9","",1,1608564037,"sha1","","9d24f221-ef6a-4e4c-b454-87e02e586a74","pe-section","file"
"70576df7-3c30-41e8-b58b-8411416dd531",41105,"Payload delivery","sha256","aec648c6964d2be65088cf90b3a13f4f91573b3a4b886c8c88d0981501106ba1","",1,1608564037,"sha256","","9d24f221-ef6a-4e4c-b454-87e02e586a74","pe-section","file"
"9fe7bc78-93bc-4ba4-84b7-70b453294c8e",41105,"Other","size-in-bytes",158720,"",0,1608564037,"size-in-bytes","","9d24f221-ef6a-4e4c-b454-87e02e586a74","pe-section","file"
"538eece0-18fa-4633-b1b5-68cf1fed178c",41105,"Other","float",7.32244,"",0,1608564037,"entropy","","9d24f221-ef6a-4e4c-b454-87e02e586a74","pe-section","file"
"a75f08b4-fbba-4ac7-9b09-3114d1e06c98",41105,"Other","text",".reloc","",0,1608564038,"name","","b2c3816a-835e-4d79-9600-79790ab8ca81","pe-section","file"
"c4d0504f-e2d7-460b-ae09-94d4356e53f7",41105,"Payload delivery","md5","ca16b205f3ee19a1006f068a9297981b","",1,1608564038,"md5","","b2c3816a-835e-4d79-9600-79790ab8ca81","pe-section","file"
"bfbe70bc-5d81-47ce-8398-cf6099ed51cb",41105,"Payload delivery","sha1","abdbf8e1e297d57ceb8457040aa3a90dce0d8a75","",1,1608564038,"sha1","","b2c3816a-835e-4d79-9600-79790ab8ca81","pe-section","file"
"39e11744-7c90-4b33-8fb2-cd92141153e9",41105,"Payload delivery","sha256","1e49d5607c5e35921d2c961fbe2adb84694dab3937d42ef9ec2e7c60ad819cc7","",1,1608564038,"sha256","","b2c3816a-835e-4d79-9600-79790ab8ca81","pe-section","file"
"56f853f7-63f8-4b4a-9e8f-35de8f7c5596",41105,"Other","size-in-bytes",6144,"",0,1608564038,"size-in-bytes","","b2c3816a-835e-4d79-9600-79790ab8ca81","pe-section","file"
"e552b045-b730-46d5-88de-e04efeee4e2d",41105,"Other","float",3.71445,"",0,1608564038,"entropy","","b2c3816a-835e-4d79-9600-79790ab8ca81","pe-section","file"
"a3ea1995-2353-483a-8b39-c5cc84a98116",41105,"External analysis","link","https://www.virustotal.com/gui/file/a2c081ddd625dc8d4ff28a964068b2e065202ca79c68a6a5a4813f13ae1102ba/detection","",0,1608564038,"permalink","","2e44fd26-600e-40d6-8237-b49e1f376030","virustotal-report","misc"
"3247e8e9-5f14-4f68-a7ae-cee5524f7aff",41105,"Other","datetime","2020-12-21T15:10:52.000000+0000","",0,1608564038,"last-submission","","2e44fd26-600e-40d6-8237-b49e1f376030","virustotal-report","misc"
"298d7744-3149-4740-9df8-868d2c86a6f0",41105,"Other","text","10/69","",0,1608564038,"detection-ratio","","2e44fd26-600e-40d6-8237-b49e1f376030","virustotal-report","misc"

