uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"bd73a46a-c694-4c9b-9424-3de6ea487bd9",5814,"Payload delivery","filename","m1sc.ppc","",0,1690418343,"","","","",""
"4e02ce42-8f73-4025-ab6e-63dead51b279",5814,"Payload delivery","md5","0421e4332658eed1956be8e1edd7a158","",1,1690418343,"","","","",""
"f5e5a3e3-0696-4311-a1cf-9c84bd6a2a87",5814,"Payload delivery","sha1","546fb6f8c4c61956e4cce1705079370be12621ed","",1,1690418343,"","","","",""
"6dc4710c-28c1-4577-8d95-f2bf05db8f4d",5814,"Payload delivery","sha256","033497abe0690ffae9f3600ccb6139ca3028919fba7333a8e48eedf5f62e15ed","",1,1690418343,"","","","",""
"d4e8d9aa-651d-4295-9dfd-71e0ea41e75f",5814,"Payload delivery","mime-type","application/x-executable","",0,1690418343,"","","","",""
"b2ccd183-1c03-4f73-bd84-59717489f628",5814,"Network activity","url","http://57.128.87.13/hiddenbin/m1sc.ppc","",1,1690418343,"","","","",""
"e1934489-6de0-43c9-8f87-a6844c8f41f7",5814,"Network activity","ip-dst","57.128.87.13","",1,1690418343,"","","","",""
"caff9f40-e661-4aa3-ba85-104fc609a3ff",5814,"External analysis","link","https://www.virustotal.com/gui/file/033497abe0690ffae9f3600ccb6139ca3028919fba7333a8e48eedf5f62e15ed/detection","",0,1690418343,"permalink","","8c324683-0b36-4e00-aabd-0a69452498de","virustotal-report","misc"
"fd48db93-24e1-4d17-8595-44a901b35e2b",5814,"Other","datetime","2023-07-26T23:30:12.000000+0000","",0,1690418343,"last-submission","","8c324683-0b36-4e00-aabd-0a69452498de","virustotal-report","misc"
"9cd15691-db5d-4ff1-bbc6-b9df08f5bbc3",5814,"Other","text","30/61","",0,1690418343,"detection-ratio","","8c324683-0b36-4e00-aabd-0a69452498de","virustotal-report","misc"

