uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"a9ac68f0-2317-43a3-9f8f-f57153934813",40841,"Payload delivery","filename","sh4","",0,1608212421,"","","","",""
"0dd2f06e-5acd-4af7-b855-0b2d23b43fa0",40841,"Payload delivery","md5","f287d566909c5f599780e508d0bca19d","",1,1608212421,"","","","",""
"0e96c555-573d-4f47-84f3-a8fcee53f1b0",40841,"Payload delivery","sha1","39a44f56ea7d9c6672016e34d2d6667375d83523","",1,1608212421,"","","","",""
"fe28f592-d577-4737-9b92-0b2883831e72",40841,"Payload delivery","sha256","7cfd0762913eb6030a5645ffe922e334c9644cfa3749b8164058f9a15f1421e6","",1,1608212421,"","","","",""
"e50c1374-c978-43e8-afdb-f2c43a5c9ad4",40841,"Payload delivery","mime-type","ELF 32-bit LSB executable, Renesas SH, version 1 (SYSV), statically linked, not stripped","",0,1608212421,"","","","",""
"1e256726-f20f-4de6-a33e-14f784fa82fe",40841,"Network activity","url","http://185.22.172.159/sh4","",1,1608212421,"","","","",""
"0d3bc24a-f83d-41cd-a8a5-4f6152e21392",40841,"Network activity","ip-dst","185.22.172.159","",1,1608212421,"","","","",""
"278fc5f9-971e-40fd-b092-3f81de317d9d",40841,"External analysis","link","https://www.virustotal.com/gui/file/7cfd0762913eb6030a5645ffe922e334c9644cfa3749b8164058f9a15f1421e6/detection","",0,1608212422,"permalink","","a49f74e5-2ea5-4d2d-b903-3319de975f62","virustotal-report","misc"
"a3f6c280-1a2a-4798-93f3-a0d889d2251e",40841,"Other","datetime","2020-12-17T12:11:48.000000+0000","",0,1608212422,"last-submission","","a49f74e5-2ea5-4d2d-b903-3319de975f62","virustotal-report","misc"
"d8401fc6-91c2-4cbf-8443-75ab41de9400",40841,"Other","text","35/61","",0,1608212422,"detection-ratio","","a49f74e5-2ea5-4d2d-b903-3319de975f62","virustotal-report","misc"

