uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"347d0e4f-2b09-4f17-a8f6-03651474544c",34445,"Payload delivery","filename","Microsoft%20Office%20Professional%20Plus.rar","",0,1678632620,"","","","",""
"d53234cd-bb8d-41fb-83a2-3a2a6d06b179",34445,"Payload delivery","md5","8a98e401a8783096936a7683aa6c6efb","",1,1678632620,"","","","",""
"26ee7209-395a-4915-a2f5-3fc46123a1ac",34445,"Payload delivery","sha1","074fee16054927361e1b7c54b653494899172a42","",1,1678632620,"","","","",""
"85b2ddf0-a1f4-40c7-8178-9e68c1132388",34445,"Payload delivery","sha256","639ff0d2af6b1cbe368dae86707a874c6e856c8c1908ced67287d187b9e22dd0","",1,1678632620,"","","","",""
"ec0f0499-d097-4999-a74b-db3141131f78",34445,"Payload delivery","mime-type","RAR archive data, v5","",0,1678632620,"","","","",""
"71f14db8-8ab6-4dcf-91e1-c8784513853b",34445,"Network activity","url","https://transfer.sh/get/Gl5GQs/Microsoft%20Office%20Professional%20Plus.rar","",1,1678632620,"","","","",""
"3cf97bcc-d6d7-47fa-8055-f5207ee6d134",34445,"Network activity","domain","transfer.sh","",1,1678632620,"","","","",""
"3f4b76d6-aa45-4e0d-9af8-c3d6787972ed",34445,"External analysis","link","https://www.virustotal.com/gui/file/639ff0d2af6b1cbe368dae86707a874c6e856c8c1908ced67287d187b9e22dd0/detection","",0,1678632620,"permalink","","1d51e705-38e5-4851-9316-efba1b6b17f6","virustotal-report","misc"
"5260013a-d663-49b5-9d48-11d0cb9b1c80",34445,"Other","datetime","2023-03-12T03:00:28.000000+0000","",0,1678632620,"last-submission","","1d51e705-38e5-4851-9316-efba1b6b17f6","virustotal-report","misc"
"be1ced39-6f17-438f-b15b-8c165a8102ee",34445,"Other","text","8/59","",0,1678632620,"detection-ratio","","1d51e705-38e5-4851-9316-efba1b6b17f6","virustotal-report","misc"

