uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"b91d265e-1686-40f3-b9ce-260e475101b4",12944,"Payload delivery","filename","gdy.exe","",0,1652116204,"","","","",""
"67841e19-d2b2-4482-affd-1b1a6d9c88e0",12944,"Payload delivery","md5","6597abe19d7fb19e1812b00cfa40efcd","",1,1652116204,"","","","",""
"829d5509-7de5-4962-8ad8-b4af470bc40a",12944,"Payload delivery","sha1","efdcb73b5059dabf2f295e347d3cb936b5e467db","",1,1652116204,"","","","",""
"5821f850-8cbb-4a1f-ba9c-91c4808a8659",12944,"Payload delivery","sha256","31b57c8bdc8e2a57aab3585b53904eb130fe155c96f095951eccec5a02a6451d","",1,1652116204,"","","","",""
"7b667e25-d343-4709-9f6d-580da7ae81d9",12944,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1652116204,"","","","",""
"91a09915-5ef4-4c60-adc5-730617f1cb63",12944,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1652116204,"","","","",""
"a61445e3-c013-4ee3-9b43-4a5d99f4a489",12944,"Network activity","url","http://107.175.218.12/j/gdy.exe","",1,1652116204,"","","","",""
"e71f80d0-4467-4e83-b7ec-9dee9762f535",12944,"Network activity","ip-dst","107.175.218.12","",1,1652116204,"","","","",""
"f37b353a-0a08-486f-9024-06214d8aa52f",12944,"Other","text",".text","",0,1652116205,"name","","fe482117-d948-4e91-834e-87de9b4e6f5b","pe-section","file"
"d894ba08-a4d6-4396-a1f0-769accbd23f0",12944,"Payload delivery","md5","10cfa97bc9011606a10cd1253c057274","",1,1652116205,"md5","","fe482117-d948-4e91-834e-87de9b4e6f5b","pe-section","file"
"9b396a7d-3b43-4324-b90e-544f3320be4f",12944,"Payload delivery","sha1","efb873e734ac0e11359bee054c7baae33e3997ca","",1,1652116205,"sha1","","fe482117-d948-4e91-834e-87de9b4e6f5b","pe-section","file"
"e6b2c56e-3fb6-4f72-a68d-982456fdc84b",12944,"Payload delivery","sha256","4b13d47f38fa694e4a31fd79188dfcd3db27d18a45c57ef74771dc7d63c86c82","",1,1652116205,"sha256","","fe482117-d948-4e91-834e-87de9b4e6f5b","pe-section","file"
"da339a73-df96-49a4-b0c5-bd48fa34556e",12944,"Other","size-in-bytes",5632,"",0,1652116205,"size-in-bytes","","fe482117-d948-4e91-834e-87de9b4e6f5b","pe-section","file"
"ab791e33-53d1-42eb-ad6e-aab84796238e",12944,"Other","float",5.43216,"",0,1652116205,"entropy","","fe482117-d948-4e91-834e-87de9b4e6f5b","pe-section","file"
"2b27b15a-f355-4dd4-b7c8-fb61b4de94c2",12944,"Other","text",".rsrc","",0,1652116205,"name","","58a6cd53-6c16-4f30-a33a-58b2d842f69e","pe-section","file"
"25a8396e-9621-4c18-9df7-bf1c128725a4",12944,"Payload delivery","md5","a4c9fd4c89d83c5cfcc28209e0123a41","",1,1652116205,"md5","","58a6cd53-6c16-4f30-a33a-58b2d842f69e","pe-section","file"
"85dc0017-89e5-47a7-8b55-e8149b460942",12944,"Payload delivery","sha1","4e657a80f661415c017e022093970bdd25061c8a","",1,1652116205,"sha1","","58a6cd53-6c16-4f30-a33a-58b2d842f69e","pe-section","file"
"ccd37042-3e7e-448d-afdd-677b04a8f294",12944,"Payload delivery","sha256","e6aba9039c7e1ab5ecbe9be75f6bd7c6164a74fc9ec956074d81c11ec0731c91","",1,1652116205,"sha256","","58a6cd53-6c16-4f30-a33a-58b2d842f69e","pe-section","file"
"ec582ca9-33a2-49bb-ae8b-810ac3d6c411",12944,"Other","size-in-bytes",147456,"",0,1652116205,"size-in-bytes","","58a6cd53-6c16-4f30-a33a-58b2d842f69e","pe-section","file"
"78c4f72c-29cb-4ad2-bc19-b8acd565dae5",12944,"Other","float",2.88195,"",0,1652116205,"entropy","","58a6cd53-6c16-4f30-a33a-58b2d842f69e","pe-section","file"
"92e43aa8-3c93-4f9c-8a14-f5232b0d2167",12944,"Other","text",".reloc","",0,1652116205,"name","","4449e158-ce02-4f99-a639-1bb275fd2da6","pe-section","file"
"d7e7b0e4-ab2f-421a-add1-2bfe6f67bafb",12944,"Payload delivery","md5","b898aa7276d2a0d0e4c7ea7336715be5","",1,1652116205,"md5","","4449e158-ce02-4f99-a639-1bb275fd2da6","pe-section","file"
"362757e5-50a6-4d5a-8e01-d61aa8bd7092",12944,"Payload delivery","sha1","fc71cb067afed6ff9e94812f19389bc5a61e54de","",1,1652116205,"sha1","","4449e158-ce02-4f99-a639-1bb275fd2da6","pe-section","file"
"7a2fde9d-dcf1-481f-b238-3946dbee1649",12944,"Payload delivery","sha256","661ce7216c7da31bc3fe4df244b3222579845c68fb3c8316313815193071c31d","",1,1652116205,"sha256","","4449e158-ce02-4f99-a639-1bb275fd2da6","pe-section","file"
"031d3724-59e9-4867-9dd9-accd31a96055",12944,"Other","size-in-bytes",512,"",0,1652116205,"size-in-bytes","","4449e158-ce02-4f99-a639-1bb275fd2da6","pe-section","file"
"a89c0920-fa2f-4b23-8d89-18fa41c9154f",12944,"Other","float",0.0815394,"",0,1652116205,"entropy","","4449e158-ce02-4f99-a639-1bb275fd2da6","pe-section","file"

