uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"751d39b1-ddf0-4fde-8e02-f44726611c49",13120,"Payload delivery","filename","percx86","",0,1652206504,"","","","",""
"5fb0c3e4-378a-42fe-aa10-7d2847d9ced1",13120,"Payload delivery","md5","450b465ede11930f49678f73dd74e1fc","",1,1652206504,"","","","",""
"d38848d6-e268-461c-9083-c4764a97d900",13120,"Payload delivery","sha1","d34df0dc14e7e23d15bb527db864fa57996fd1d0","",1,1652206504,"","","","",""
"e1f4ec1b-9b00-4798-8d73-0ca30764d19b",13120,"Payload delivery","sha256","b1f92c8a61c4aa77666f88a3e2b0e020a8a95502c5300705f1fee65f6ad4df0f","",1,1652206504,"","","","",""
"ab6d53fd-0e72-4d17-a1c8-16584448a14f",13120,"Payload delivery","mime-type","ELF 64-bit LSB executable, x86-64, version 1 (SYSV), statically linked, not stripped","",0,1652206504,"","","","",""
"84052455-2ba5-41fd-9243-b044caa0325c",13120,"Network activity","url","http://209.141.55.18/percx86","",1,1652206504,"","","","",""
"3a0e66d6-ae09-4daf-bc41-30035ca6aab8",13120,"Network activity","ip-dst","209.141.55.18","",1,1652206504,"","","","",""
"46af5c54-1062-46dd-8f39-bbb4abb8ed0b",13120,"External analysis","link","https://www.virustotal.com/gui/file/b1f92c8a61c4aa77666f88a3e2b0e020a8a95502c5300705f1fee65f6ad4df0f/detection","",0,1652206505,"permalink","","d2471e04-845f-4c19-8a62-7e46a91ef16d","virustotal-report","misc"
"20993876-40ab-4bdf-b741-51cc8761ff15",13120,"Other","datetime","2022-05-10T15:33:22.000000+0000","",0,1652206505,"last-submission","","d2471e04-845f-4c19-8a62-7e46a91ef16d","virustotal-report","misc"
"5cab7ed4-56ca-46bd-8785-3482881bf2fe",13120,"Other","text","29/61","",0,1652206505,"detection-ratio","","d2471e04-845f-4c19-8a62-7e46a91ef16d","virustotal-report","misc"

