uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"a8e6f1a4-0aa8-416e-bbe3-856d7d75f232",5295,"Payload delivery","filename","arm7","",0,1642870088,"","","","",""
"1223b7d0-eb98-4f86-b4ca-92b987aab5eb",5295,"Payload delivery","md5","290a2883af3c97ba5c44a0874016819c","",1,1642870088,"","","","",""
"b531b60e-2778-4b54-b62b-55ab8907385b",5295,"Payload delivery","sha1","d5a10615a98a4ba196e0af012ac66bbfc36a6d97","",1,1642870088,"","","","",""
"ebd87858-4f03-445b-9eb5-3c1068a28ef9",5295,"Payload delivery","sha256","757bf6278ec84b8136c56bf37ccfec018404e9282cb26432025513019cb56d5b","",1,1642870088,"","","","",""
"f0e17a7a-5731-4739-8856-52569b3ba8bc",5295,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, with debug_info, not stripped","",0,1642870088,"","","","",""
"9cdd6c8d-cf8f-4e65-a6ce-29c268cc0935",5295,"Network activity","url","http://192.227.147.244/bins/arm7","",1,1642870088,"","","","",""
"a5c7a646-ef75-4ec9-bfbc-f0269d74aab9",5295,"Network activity","ip-dst","192.227.147.244","",1,1642870088,"","","","",""
"99723923-ad59-4c5f-a5c5-716158c0d4f2",5295,"External analysis","link","https://www.virustotal.com/gui/file/757bf6278ec84b8136c56bf37ccfec018404e9282cb26432025513019cb56d5b/detection","",0,1642870088,"permalink","","7b75a96a-f963-43d0-ac99-dd47c4f3a609","virustotal-report","misc"
"04511f66-1e95-4988-8277-9c9ccfe4b236",5295,"Other","datetime","2022-01-22T15:08:36.000000+0000","",0,1642870088,"last-submission","","7b75a96a-f963-43d0-ac99-dd47c4f3a609","virustotal-report","misc"
"80c816d8-5a70-49a7-a9ae-96561005da18",5295,"Other","text","31/60","",0,1642870088,"detection-ratio","","7b75a96a-f963-43d0-ac99-dd47c4f3a609","virustotal-report","misc"

