uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"09ac6748-f2dc-469c-951f-15a19ace448b",40692,"Payload delivery","filename","Mozi.m","",0,1608098251,"","","","",""
"3882552e-76c4-4bd6-ab80-0144eab3043b",40692,"Payload delivery","md5","1509a865ec344389d3876f64b1c77d4b","",1,1608098251,"","","","",""
"10efcbc1-2365-4c38-9ce7-b990bc816474",40692,"Payload delivery","sha1","aa234e81bb853fefafc262f818b81cc190b8c81f","",1,1608098251,"","","","",""
"04bcd4ff-d355-4a5b-88c8-9e41a33e9ddb",40692,"Payload delivery","sha256","541a22679c80a55a6572b09f017f1b6778f9993d014d4baf7f3f7fa924114e2f","",1,1608098251,"","","","",""
"f0d36d52-7d16-45d9-b8cb-c0bea8df91b5",40692,"Payload delivery","mime-type","ELF 32-bit LSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, no section header","",0,1608098251,"","","","",""
"fd629c42-b978-4a56-ae7f-0f422e70bbab",40692,"Network activity","url","http://14.154.28.235:57495/Mozi.m","",1,1608098251,"","","","",""
"7ca17db9-6e31-42a2-b304-d9f632fec3ae",40692,"Network activity","ip-dst","14.154.28.235","",1,1608098251,"","","","",""
"23d3b351-ce7c-414b-ac6a-d87d7c19176e",40692,"External analysis","link","https://www.virustotal.com/gui/file/541a22679c80a55a6572b09f017f1b6778f9993d014d4baf7f3f7fa924114e2f/detection","",0,1608098252,"permalink","","02f72aea-f415-4582-ae63-acc0d8a8db5f","virustotal-report","misc"
"a528f704-175d-4694-8319-a3bff5cfd6de",40692,"Other","datetime","2020-12-16T05:00:27.000000+0000","",0,1608098252,"last-submission","","02f72aea-f415-4582-ae63-acc0d8a8db5f","virustotal-report","misc"
"36177930-43f3-4129-9270-f88d045fe950",40692,"Other","text","10/62","",0,1608098252,"detection-ratio","","02f72aea-f415-4582-ae63-acc0d8a8db5f","virustotal-report","misc"

