uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"9c7f85ed-971b-4368-8f07-dcdeca9dc08c",22319,"Payload delivery","filename","ChromeSetup.exe","",0,1662207308,"","","","",""
"e85aa37d-f47e-4932-b5f7-14e84bdc0393",22319,"Payload delivery","md5","f9bc12373e9e77e8f2d032fffc58f64f","",1,1662207308,"","","","",""
"56cd414d-cd77-438d-858d-b2eb63f97121",22319,"Payload delivery","sha1","1c3069110125bf8d84723d32c4344b384e251ae4","",1,1662207308,"","","","",""
"bdc796f7-88f1-4fa7-a53a-8d99d6d0991a",22319,"Payload delivery","sha256","3e5b5951c827ba0dd73cb8eb1c3fe8ee0b2bf36cddcc22ecfc6c06919bf11bba","",1,1662207308,"","","","",""
"a72783e3-b0b3-423b-91f0-f521fe82478d",22319,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1662207308,"","","","",""
"80cc6f6d-f2d7-48e2-b264-76e580dc4fd7",22319,"Payload delivery","imphash","638695806ecf3380e0b77fc3e6dbb9b6","",0,1662207308,"","","","",""
"bc08fd94-279b-4d46-9123-ed3ebfe21035",22319,"Network activity","url","https://gts-dz.com/upload/ChromeSetup.exe","",1,1662207308,"","","","",""
"4186d058-37f9-4598-8a94-6d4ac1f37637",22319,"Network activity","domain","gts-dz.com","",1,1662207308,"","","","",""
"4ef34cf7-d631-4558-940d-db433e6efc2c",22319,"Other","text",".text","",0,1662207309,"name","","c2ae2737-895b-464a-8d47-cef8137b1785","pe-section","file"
"163db2fb-1e97-4212-a2dc-b4024874289e",22319,"Payload delivery","md5","2499548c182d1fe4e0fcb0d35718725e","",1,1662207309,"md5","","c2ae2737-895b-464a-8d47-cef8137b1785","pe-section","file"
"87174d7c-fa7e-4459-8692-feab3621e3ca",22319,"Payload delivery","sha1","4429dde37fb9c1e400d93478f0bbd62a8dbf318b","",1,1662207309,"sha1","","c2ae2737-895b-464a-8d47-cef8137b1785","pe-section","file"
"0b6fff5a-ca54-4dda-9c0c-e935b7864dd2",22319,"Payload delivery","sha256","7ab2fe8d8e500a81ceeaa95482c8bfd74608c586df5725812d6bef4e2b34ecb5","",1,1662207309,"sha256","","c2ae2737-895b-464a-8d47-cef8137b1785","pe-section","file"
"af3db0cb-e584-4fe1-8982-38bbe83bcac6",22319,"Other","size-in-bytes",63488,"",0,1662207309,"size-in-bytes","","c2ae2737-895b-464a-8d47-cef8137b1785","pe-section","file"
"ade4390d-669d-4612-af3a-06ca904dbed1",22319,"Other","float",6.73167,"",0,1662207309,"entropy","","c2ae2737-895b-464a-8d47-cef8137b1785","pe-section","file"
"4732ac1f-ba6f-4d12-83bc-6e3cfe717285",22319,"Other","text",".data","",0,1662207309,"name","","57af97c0-d3f2-40f8-99c8-d75cc15bb0eb","pe-section","file"
"d10caeb4-ec3f-4f9b-a64a-3b335486365d",22319,"Payload delivery","md5","c32d316ee06e38b3bcf6f0b2c06364da","",1,1662207309,"md5","","57af97c0-d3f2-40f8-99c8-d75cc15bb0eb","pe-section","file"
"6cb20464-6116-44c2-a622-2089cd5f6b66",22319,"Payload delivery","sha1","b062e71332593d3f2f82890fad7798bcc1f90fb9","",1,1662207309,"sha1","","57af97c0-d3f2-40f8-99c8-d75cc15bb0eb","pe-section","file"
"9b91adb6-84eb-4dea-9db2-a0429ee50c36",22319,"Payload delivery","sha256","4c8935dde759372a6e0b98d43ef340075cf61215410f3493282edbfdb54d6a6c","",1,1662207309,"sha256","","57af97c0-d3f2-40f8-99c8-d75cc15bb0eb","pe-section","file"
"e3bf0e9b-4ddc-4e58-9b75-c02cac3a896d",22319,"Other","size-in-bytes",204288,"",0,1662207309,"size-in-bytes","","57af97c0-d3f2-40f8-99c8-d75cc15bb0eb","pe-section","file"
"6f0a4962-3988-4b54-a51f-43edf7d15147",22319,"Other","float",3.41872,"",0,1662207309,"entropy","","57af97c0-d3f2-40f8-99c8-d75cc15bb0eb","pe-section","file"
"70735412-90b3-4884-ba3e-55e97cd36798",22319,"Other","text",".rsrc","",0,1662207309,"name","","377d25d8-be8a-4ccd-9f92-aa12229f6d87","pe-section","file"
"2962e45e-3e61-4830-bd81-77d3e115f82f",22319,"Payload delivery","md5","eea7dd394a2003448ba9237034390dd9","",1,1662207309,"md5","","377d25d8-be8a-4ccd-9f92-aa12229f6d87","pe-section","file"
"626b77c5-08d9-4d5d-ba60-a5e17cb3de71",22319,"Payload delivery","sha1","2db171c7f1a79b49aa5658b3ed43cdc925b1d71e","",1,1662207309,"sha1","","377d25d8-be8a-4ccd-9f92-aa12229f6d87","pe-section","file"
"93e68f87-1579-4d0b-aac4-a6db0ca3cd2f",22319,"Payload delivery","sha256","96c5013c2e4756404b2e741c2fbb2e1debf8f7cdce271134e5047f844259359d","",1,1662207309,"sha256","","377d25d8-be8a-4ccd-9f92-aa12229f6d87","pe-section","file"
"0ca8d68d-1e01-4de5-9d3a-6570d159ab17",22319,"Other","size-in-bytes",27648,"",0,1662207309,"size-in-bytes","","377d25d8-be8a-4ccd-9f92-aa12229f6d87","pe-section","file"
"b89d8204-2113-421c-816d-58044ee4f55d",22319,"Other","float",6.21476,"",0,1662207309,"entropy","","377d25d8-be8a-4ccd-9f92-aa12229f6d87","pe-section","file"

