uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"a105ec70-80d6-4d9d-9f88-01cd18081183",23941,"Payload delivery","filename","IpvLye.mpsl","",0,1596274534,"","","","",""
"0545574d-e65d-497f-be07-4aeccc8267a9",23941,"Payload delivery","md5","51f1629f8574211ee09342b414774fe1","",1,1596274534,"","","","",""
"e50f99ca-12c0-4617-aa71-d4c1cfa77dc4",23941,"Payload delivery","sha1","e959b3ee5b76193aaac8d8e0ed4742515707af70","",1,1596274534,"","","","",""
"4e6ed17f-3dd1-423d-8879-56b75d7b34b4",23941,"Payload delivery","sha256","10bb6763f207aec72e033967fdf9463ea6eda44a5281c371f942ea22fff84a35","",1,1596274534,"","","","",""
"75169a43-07dd-4675-aa90-f68ea934c0b6",23941,"Payload delivery","mime-type","ELF 32-bit LSB executable, MIPS, MIPS-I version 1 (SYSV), too many section (65535)","",0,1596274534,"","","","",""
"bc475428-3791-4640-99e8-e9b712ccb17a",23941,"Network activity","url","http://85.204.246.138/QpasYU/IpvLye.mpsl","",1,1596274534,"","","","",""
"107d6f58-2bb9-4990-895e-906c86caa233",23941,"Network activity","ip-dst","85.204.246.138","",1,1596274534,"","","","",""
"39ff5aa8-47c1-4cb4-b6aa-ef683af3f034",23941,"External analysis","link","https://www.virustotal.com/gui/file/10bb6763f207aec72e033967fdf9463ea6eda44a5281c371f942ea22fff84a35/detection","",0,1596274535,"permalink","","ae706918-6a6e-4566-aa61-6b8cee4f7c9a","virustotal-report","misc"
"5f5173e2-515f-4a2d-89c2-0b5a021b6d05",23941,"Other","datetime","2020-07-30T23:40:42.000000+0000","",0,1596274535,"last-submission","","ae706918-6a6e-4566-aa61-6b8cee4f7c9a","virustotal-report","misc"
"de2bd49e-e27b-4192-a417-883664aba3c6",23941,"Other","text","19/60","",0,1596274535,"detection-ratio","","ae706918-6a6e-4566-aa61-6b8cee4f7c9a","virustotal-report","misc"

