uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"9e77e751-d811-404e-8fb5-9e3d77ba838b",7414,"Payload delivery","filename","Install_WinX64X86.exe","",0,1693629275,"","","","",""
"8f8a3b43-8102-4188-bcfe-3797b884c161",7414,"Payload delivery","md5","ebd57653d474ebeb5c5df2c19df6912b","",1,1693629275,"","","","",""
"57b984ad-00e2-43ee-aeb6-789fc742ed56",7414,"Payload delivery","sha1","cfed222a1be8e01e921f2b912cd2aaf50599e602","",1,1693629275,"","","","",""
"cceaece7-8e30-459b-82aa-71bcba8e3bf2",7414,"Payload delivery","sha256","f4b17c300b847ffaee23c8391d8e9816f97e1cecf6ea453dafd3e57da73fd32a","",1,1693629275,"","","","",""
"1b1a2aa2-00c1-48fd-afdb-61344635b6d7",7414,"Payload delivery","mime-type","application/x-dosexec","",0,1693629275,"","","","",""
"7903f553-c61b-4b73-a20e-84b5b62b2f28",7414,"Payload delivery","imphash","0130bd85ad1b4bdd4689797fdfbef9b9","",0,1693629275,"","","","",""
"2f98c285-0ab8-4d67-b731-e6ac43397c67",7414,"Network activity","url","http://193.233.255.9/lend/Install_WinX64X86.exe","",1,1693629275,"","","","",""
"232d14ba-e542-4932-a177-7c2c8a68e27b",7414,"Network activity","ip-dst","193.233.255.9","",1,1693629275,"","","","",""
"06c4b36f-07d4-4e5d-81c6-787abb7407fb",7414,"Other","text",".text","",0,1693629276,"name","","9711b558-3e87-4e42-96ac-8987652477bd","pe-section","file"
"10a35854-a53a-439b-bbd1-f61ed58ccf3e",7414,"Payload delivery","md5","00ccfb1b39f03367005b31d35cbbbbfd","",1,1693629276,"md5","","9711b558-3e87-4e42-96ac-8987652477bd","pe-section","file"
"6b76cfd2-bf86-454b-9462-0ea047ccb410",7414,"Payload delivery","sha1","3b22370a0203434ace6211ebb2b02c829d646155","",1,1693629276,"sha1","","9711b558-3e87-4e42-96ac-8987652477bd","pe-section","file"
"d4e4a3eb-018f-4f4c-a695-cbaef42bc25a",7414,"Payload delivery","sha256","ce350ee277f919c738fa856d10c961f80bd63f8acd2198d6abc8a2d4efe7b245","",1,1693629276,"sha256","","9711b558-3e87-4e42-96ac-8987652477bd","pe-section","file"
"1d970a15-70b5-4a3a-be07-5e2ec04192a2",7414,"Other","size-in-bytes",663040,"",0,1693629276,"size-in-bytes","","9711b558-3e87-4e42-96ac-8987652477bd","pe-section","file"
"5dad7d73-c5de-4d90-8fc5-1725ff66e228",7414,"Other","float",7.98379,"",0,1693629276,"entropy","","9711b558-3e87-4e42-96ac-8987652477bd","pe-section","file"
"0e0c448d-dfee-47c1-bfcf-12b83ee60fbf",7414,"Other","text",".data","",0,1693629276,"name","","f2e222d9-200c-4432-9f14-2cea14cd31d6","pe-section","file"
"8233a090-8ea2-42d9-9c47-2ac8c8200005",7414,"Payload delivery","md5","7aa1cacc2a513faec016ab8352ac3e49","",1,1693629276,"md5","","f2e222d9-200c-4432-9f14-2cea14cd31d6","pe-section","file"
"a6fa67bb-408e-425b-8341-3e3ca06f16e3",7414,"Payload delivery","sha1","47b6dc1a857a711d3f1f3ce4a435b2e6c73868bf","",1,1693629276,"sha1","","f2e222d9-200c-4432-9f14-2cea14cd31d6","pe-section","file"
"c04a1886-24b7-4710-bb04-0fbb56325cc8",7414,"Payload delivery","sha256","816694ffa0866db606d1e8dc6f0b3a568e3afae40ebfa3f957c064fc7e76c191","",1,1693629276,"sha256","","f2e222d9-200c-4432-9f14-2cea14cd31d6","pe-section","file"
"f5caa1e2-6e8d-4e68-91ef-65a3991c5cf7",7414,"Other","size-in-bytes",83456,"",0,1693629276,"size-in-bytes","","f2e222d9-200c-4432-9f14-2cea14cd31d6","pe-section","file"
"13131fda-f3e1-47c3-9fd3-d762f17c21a0",7414,"Other","float",7.9761,"",0,1693629276,"entropy","","f2e222d9-200c-4432-9f14-2cea14cd31d6","pe-section","file"
"f0060fc7-922b-4c76-b4de-b064627cd5bd",7414,"Other","text",".data","",0,1693629276,"name","","eba8c1f5-9fc5-4ed4-90e9-6473d401fecd","pe-section","file"
"288b05e8-6868-4cba-9912-cbf086fbcd01",7414,"Payload delivery","md5","77449dd02988405ffb216a9d92157b56","",1,1693629276,"md5","","eba8c1f5-9fc5-4ed4-90e9-6473d401fecd","pe-section","file"
"0ee0b61e-a8ca-4281-b240-fdc872a587bd",7414,"Payload delivery","sha1","006272c18d9b3bbf298cbac16bf7b3a703207551","",1,1693629276,"sha1","","eba8c1f5-9fc5-4ed4-90e9-6473d401fecd","pe-section","file"
"a70d1a67-f85d-45e0-b9e1-2b29c01ff64f",7414,"Payload delivery","sha256","9de9c0cf0e1d70b95f1ea524ec9bfe3a1741130102b59422e1bf631250bb97c9","",1,1693629276,"sha256","","eba8c1f5-9fc5-4ed4-90e9-6473d401fecd","pe-section","file"
"ad2578e3-28a5-478d-9d8b-5e37db0d867c",7414,"Other","size-in-bytes",3072,"",0,1693629276,"size-in-bytes","","eba8c1f5-9fc5-4ed4-90e9-6473d401fecd","pe-section","file"
"591ec7c1-251e-4f63-954c-b60dc7845b9d",7414,"Other","float",7.72959,"",0,1693629276,"entropy","","eba8c1f5-9fc5-4ed4-90e9-6473d401fecd","pe-section","file"
"a261f271-6157-4e7b-a967-89969ff63a8a",7414,"Other","text",".data","",0,1693629276,"name","","99019ee4-2e1b-4d28-9c3b-0fb0e176847b","pe-section","file"
"ddf6d577-4f04-4431-876b-14daea449b69",7414,"Payload delivery","md5","27ff7c5551d58ce6c59a37063ef9669e","",1,1693629276,"md5","","99019ee4-2e1b-4d28-9c3b-0fb0e176847b","pe-section","file"
"c1d492b3-2593-4e1e-8ecb-681f6c16f050",7414,"Payload delivery","sha1","bdfdab98026cf48d892ca702e1316d6b56b2e4c7","",1,1693629276,"sha1","","99019ee4-2e1b-4d28-9c3b-0fb0e176847b","pe-section","file"
"976a1e20-45ff-4713-9422-3429a29e1c7d",7414,"Payload delivery","sha256","7dad9741c4fc57e6e6ad2e2e3180c07404883ed60bcf0f138b963161f66c701a","",1,1693629276,"sha256","","99019ee4-2e1b-4d28-9c3b-0fb0e176847b","pe-section","file"
"ad48494d-3d47-45c7-a95d-dd6598b27a1a",7414,"Other","size-in-bytes",32768,"",0,1693629276,"size-in-bytes","","99019ee4-2e1b-4d28-9c3b-0fb0e176847b","pe-section","file"
"1b7e2e18-655a-4dcd-a60d-8f7b7ce3ab72",7414,"Other","float",7.5693,"",0,1693629276,"entropy","","99019ee4-2e1b-4d28-9c3b-0fb0e176847b","pe-section","file"
"f0bbd92f-3b92-4d43-aa38-b68197634ab7",7414,"Other","text",".data","",0,1693629277,"name","","c985c701-3438-4c69-80c9-7dbe10222542","pe-section","file"
"0564ce79-9695-4b8e-b037-84474f40764e",7414,"Payload delivery","md5","7040034f2c912eb07cf2741518d61bd3","",1,1693629277,"md5","","c985c701-3438-4c69-80c9-7dbe10222542","pe-section","file"
"83140b36-f202-4533-b50e-3f910ce77d40",7414,"Payload delivery","sha1","5e12acfe1dad0e9531e605ee8633da654135fcf7","",1,1693629277,"sha1","","c985c701-3438-4c69-80c9-7dbe10222542","pe-section","file"
"4e1779e2-a154-443d-b65b-b9b62b05c494",7414,"Payload delivery","sha256","d3afd7b442e160c27547d28417085dcb91d5da4bf6d8e99defada1625b583257","",1,1693629277,"sha256","","c985c701-3438-4c69-80c9-7dbe10222542","pe-section","file"
"4f85120d-8140-48bd-8259-ce65f27cfa6a",7414,"Other","size-in-bytes",512,"",0,1693629277,"size-in-bytes","","c985c701-3438-4c69-80c9-7dbe10222542","pe-section","file"
"d554ccd2-cfde-4313-83f5-5364e8f200eb",7414,"Other","float",6.36339,"",0,1693629277,"entropy","","c985c701-3438-4c69-80c9-7dbe10222542","pe-section","file"
"8c4441d1-a6da-451f-acdd-ea663bdf4625",7414,"Other","text",".data","",0,1693629277,"name","","ba8f3562-861e-490d-89bb-342f48dec6d4","pe-section","file"
"dc17439d-4aa5-432a-88af-a9946d3a1aa2",7414,"Payload delivery","md5","96aba9a070ccc8a0586321b0bacd962b","",1,1693629277,"md5","","ba8f3562-861e-490d-89bb-342f48dec6d4","pe-section","file"
"db21e4ec-c4e0-4bc4-b41e-c6b9cfafe77c",7414,"Payload delivery","sha1","832e517276f939710f12dbd164d201baba165767","",1,1693629277,"sha1","","ba8f3562-861e-490d-89bb-342f48dec6d4","pe-section","file"
"ec8f075e-0bef-4551-930c-145896c6411e",7414,"Payload delivery","sha256","bef4118f0aa689a8eb12708f5d4c3e5bbf96a997047e76b1c65cf0bb6c2833a1","",1,1693629277,"sha256","","ba8f3562-861e-490d-89bb-342f48dec6d4","pe-section","file"
"5001c946-8637-4825-91fa-065d3c10fda8",7414,"Other","size-in-bytes",28672,"",0,1693629277,"size-in-bytes","","ba8f3562-861e-490d-89bb-342f48dec6d4","pe-section","file"
"1004f89a-7071-47a5-92e2-1a1ce5d179f3",7414,"Other","float",7.96358,"",0,1693629277,"entropy","","ba8f3562-861e-490d-89bb-342f48dec6d4","pe-section","file"
"62b37800-f0a1-4029-a9e5-fd98546d7172",7414,"Other","text",".data","",0,1693629277,"name","","2d07d13d-bbeb-4ed6-bfde-3ab2fa29d23e","pe-section","file"
"cdcb03d1-5e4b-4869-8359-50a945f5e355",7414,"Payload delivery","md5","9ca360ae3b223da26a2f0d4673bec2fd","",1,1693629277,"md5","","2d07d13d-bbeb-4ed6-bfde-3ab2fa29d23e","pe-section","file"
"c19c7852-d514-41ea-ba05-434f36e67c58",7414,"Payload delivery","sha1","848b90a81a6b506cac943621cd20b921a5e3b6f5","",1,1693629277,"sha1","","2d07d13d-bbeb-4ed6-bfde-3ab2fa29d23e","pe-section","file"
"b2af3d50-6f53-4e54-bee6-74e5f3478838",7414,"Payload delivery","sha256","e1fa49828a6f4c92435e4195dd49764f7d7b015100e30fa8bb1286650099fb21","",1,1693629277,"sha256","","2d07d13d-bbeb-4ed6-bfde-3ab2fa29d23e","pe-section","file"
"c0d89bde-9773-4be4-88cc-f033a589c0bc",7414,"Other","size-in-bytes",3072,"",0,1693629277,"size-in-bytes","","2d07d13d-bbeb-4ed6-bfde-3ab2fa29d23e","pe-section","file"
"0accfc86-7301-4494-ab1a-161b599cca3c",7414,"Other","float",7.63492,"",0,1693629277,"entropy","","2d07d13d-bbeb-4ed6-bfde-3ab2fa29d23e","pe-section","file"
"0e861040-a548-4d4a-b3a1-104d41f14cf0",7414,"Other","text",".idata","",0,1693629277,"name","","486a408c-6e5c-4eac-b1a8-c35577098312","pe-section","file"
"46e174d6-68f9-41f9-b308-283129d2c147",7414,"Payload delivery","md5","6cb8d51167a8eb453263fbda0a065f02","",1,1693629277,"md5","","486a408c-6e5c-4eac-b1a8-c35577098312","pe-section","file"
"6f23c8f1-13ae-4551-9af9-f3109d0d2021",7414,"Payload delivery","sha1","f772382c4718a3a8aa8e1715ac40ec0abbdb73d7","",1,1693629277,"sha1","","486a408c-6e5c-4eac-b1a8-c35577098312","pe-section","file"
"51e89df4-db8f-4dfb-b078-e373e22aaad3",7414,"Payload delivery","sha256","3b12d86aab78c6a2549be83b62333985f89118f59a1abcc45ee08ff8842abc11","",1,1693629277,"sha256","","486a408c-6e5c-4eac-b1a8-c35577098312","pe-section","file"
"5e1c0f05-a5ff-4b24-b804-a4b6325b95eb",7414,"Other","size-in-bytes",2048,"",0,1693629277,"size-in-bytes","","486a408c-6e5c-4eac-b1a8-c35577098312","pe-section","file"
"85d30527-ed01-457e-8ef5-f7606fb73641",7414,"Other","float",4.28303,"",0,1693629277,"entropy","","486a408c-6e5c-4eac-b1a8-c35577098312","pe-section","file"
"a3a8ae46-5a9b-4908-b46e-053f862604ed",7414,"Other","text",".rsrc","",0,1693629278,"name","","ff105341-ecbe-4a2b-bbf1-5517bee0802c","pe-section","file"
"ea0b7638-02f4-441d-b846-253c77df37c7",7414,"Payload delivery","md5","97a5ea244967e3a52824cbf9c3ab0478","",1,1693629278,"md5","","ff105341-ecbe-4a2b-bbf1-5517bee0802c","pe-section","file"
"f6045511-93a3-45aa-b6c0-f0b68431bcc0",7414,"Payload delivery","sha1","a307a43231bc78dd9e684cbd6b045f9082932229","",1,1693629278,"sha1","","ff105341-ecbe-4a2b-bbf1-5517bee0802c","pe-section","file"
"0c4adb91-63d4-4e00-9058-52ae897639c8",7414,"Payload delivery","sha256","f11c6cffbab32beabc16a544e3f5dbbc4f1e2a37d8de38e6feec5bd85dc0bac8","",1,1693629278,"sha256","","ff105341-ecbe-4a2b-bbf1-5517bee0802c","pe-section","file"
"1997385e-1f79-4659-9a0c-7d5726871dec",7414,"Other","size-in-bytes",512,"",0,1693629278,"size-in-bytes","","ff105341-ecbe-4a2b-bbf1-5517bee0802c","pe-section","file"
"5ede2f02-ae7c-440f-ab92-03e9756fbf47",7414,"Other","float",4.76666,"",0,1693629278,"entropy","","ff105341-ecbe-4a2b-bbf1-5517bee0802c","pe-section","file"
"328f8bac-a85d-4410-9149-10eb6a7f5262",7414,"Other","text",".text","",0,1693629278,"name","","4b6c099b-7c23-42d8-b0b6-e39ed8c2c27d","pe-section","file"
