uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"05317fe8-66d4-4e5d-87aa-7faa718031d9",33771,"Payload delivery","filename","FBI.i686","",0,1677375606,"","","","",""
"2f800b8f-a355-474d-b216-849ba9c8cf02",33771,"Payload delivery","md5","9cee03fd20105ed41c06bbab953fd0d8","",1,1677375606,"","","","",""
"ce94059c-7a07-448b-8a97-b93da205e16f",33771,"Payload delivery","sha1","7d08a1b8d0a37c0608a6a28ab2541efa3a5743af","",1,1677375606,"","","","",""
"34c2484a-1e54-49c1-b743-4d31144e7d9c",33771,"Payload delivery","sha256","02e9a28b584849443906ee5f1d678508e2fddb56175355efa1569c512dda843a","",1,1677375606,"","","","",""
"7936bba7-a200-4d42-a08f-377a29e546d5",33771,"Payload delivery","mime-type","ELF 32-bit LSB executable, Intel 80386, version 1 (SYSV), statically linked, stripped","",0,1677375606,"","","","",""
"dd1aa4ba-4527-416c-a5ff-0089cfff57fe",33771,"Network activity","url","http://81.161.229.94/FBI.i686","",1,1677375606,"","","","",""
"0ba86021-3b68-4d42-b384-77eaf0dc7074",33771,"Network activity","ip-dst","81.161.229.94","",1,1677375606,"","","","",""
"49cbee13-ff09-4de5-81ab-960e3910022c",33771,"External analysis","link","https://www.virustotal.com/gui/file/02e9a28b584849443906ee5f1d678508e2fddb56175355efa1569c512dda843a/detection","",0,1677375606,"permalink","","d5391945-213a-4220-8f06-06cb93356328","virustotal-report","misc"
"ce047880-8cb8-4f52-89dc-e420a0a6ea31",33771,"Other","datetime","2023-02-26T01:34:46.000000+0000","",0,1677375606,"last-submission","","d5391945-213a-4220-8f06-06cb93356328","virustotal-report","misc"
"bde09085-926e-4956-a5fd-826ad608bfb3",33771,"Other","text","38/61","",0,1677375606,"detection-ratio","","d5391945-213a-4220-8f06-06cb93356328","virustotal-report","misc"

