uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"f0c828c2-968a-4bb0-8da8-f7c54369859e",54516,"Payload delivery","filename","......................................dot","",0,1619782590,"","","","",""
"20020325-05d5-4e23-84ea-8bd3b22d0f6c",54516,"Payload delivery","md5","99c2fe84cae1eebcd17075b2e2db2d96","",1,1619782590,"","","","",""
"749af8f0-eb5c-414a-ac17-4e5d312b07c7",54516,"Payload delivery","sha1","04d030b7dace393e361b3855493c738ecce0410a","",1,1619782590,"","","","",""
"1e8aaf5c-33cd-4e32-85f1-55c4b59ee0f5",54516,"Payload delivery","sha256","1bfd2d65fa927255be005a4a32d619583d5a1292d98eb95ed2033dd6acaba76e","",1,1619782590,"","","","",""
"6f9ba53c-1e5f-4fd8-a669-c9b77a6e8b39",54516,"Payload delivery","mime-type","data","",0,1619782590,"","","","",""
"8543a614-c5b9-45a5-b471-3ca40364f31a",54516,"Network activity","url","http://198.46.132.163/..--.....................................................--/......................................dot","",1,1619782590,"","","","",""
"e595c942-aed0-4402-b62e-6cf8e3863188",54516,"Network activity","ip-dst","198.46.132.163","",1,1619782590,"","","","",""
"99403754-1ae6-465d-8b3c-e6add33232db",54516,"External analysis","link","https://www.virustotal.com/gui/file/1bfd2d65fa927255be005a4a32d619583d5a1292d98eb95ed2033dd6acaba76e/detection","",0,1619782591,"permalink","","4a543c32-9572-4d58-b1d9-199a25b6ad59","virustotal-report","misc"
"6e81a162-e360-482a-a2ee-c342148dd605",54516,"Other","datetime","2021-04-30T08:44:58.000000+0000","",0,1619782591,"last-submission","","4a543c32-9572-4d58-b1d9-199a25b6ad59","virustotal-report","misc"
"8ed80c8e-d926-4caf-b5e5-9c69f472ef11",54516,"Other","text","23/56","",0,1619782591,"detection-ratio","","4a543c32-9572-4d58-b1d9-199a25b6ad59","virustotal-report","misc"

