uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"02b3cc20-e89c-4968-b637-80a91d97bbb6",16028,"Payload delivery","filename","12027.exe","",0,1706502252,"","","","",""
"d9ff151b-7046-40ef-9abb-f46035316057",16028,"Payload delivery","md5","a6fc2d8611cae0eda7fc1b53495a6b3b","",1,1706502252,"","","","",""
"99b5d839-0bfe-4cb8-b7a0-2e2a16a77a64",16028,"Payload delivery","sha1","0a8a58bc8bfa8eeb98dca98af8b55aa780f52b10","",1,1706502252,"","","","",""
"f0e1edeb-d7cd-44bf-bae7-94eafef5b5f2",16028,"Payload delivery","sha256","7361df98c7cd1e56e0345e61cf68c1d5818d4064269f9b234511c7060e97ad9f","",1,1706502252,"","","","",""
"a7294d5a-d609-4dd2-bd4c-ff48145eab15",16028,"Payload delivery","mime-type","application/x-dosexec","",0,1706502252,"","","","",""
"cb0d7808-b7c1-4fb0-ae96-c4fd0fe39959",16028,"Payload delivery","imphash","671f2a1f8aee14d336bab98fea93d734","",0,1706502252,"","","","",""
"de6921d8-a889-4228-937d-e11a2c9bcd6e",16028,"Network activity","url","http://47.236.140.86/s/12027.exe","",1,1706502252,"","","","",""
"076d8e68-f3fb-4dc4-8007-5ed5e8df346a",16028,"Network activity","ip-dst","47.236.140.86","",1,1706502252,"","","","",""
"3befb560-c09f-4af8-8198-e63d4c6282e9",16028,"Other","text",".text","",0,1706502253,"name","","cfe2dc9b-10bf-48bb-b270-0abf3157e98a","pe-section","file"
"9e5b1830-516a-4763-adda-8d2d6d545f45",16028,"Payload delivery","md5","af4fa33ac7303661d45c88e51fb1bfc5","",1,1706502253,"md5","","cfe2dc9b-10bf-48bb-b270-0abf3157e98a","pe-section","file"
"0f5905de-b6cf-4b78-8579-a40a55c1d676",16028,"Payload delivery","sha1","221ce8a6f8b5841f3ffd1123b9d62e78b5a40561","",1,1706502253,"sha1","","cfe2dc9b-10bf-48bb-b270-0abf3157e98a","pe-section","file"
"dacd991b-4224-4dfb-b661-3f77460b21bd",16028,"Payload delivery","sha256","fa829e48c2716969d7e17a404e955c0a7e81c70a2483df8a01b24a7eec97f12f","",1,1706502253,"sha256","","cfe2dc9b-10bf-48bb-b270-0abf3157e98a","pe-section","file"
