uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"58b94c0e-9cd6-422c-9682-55316d3437b1",6424,"Payload delivery","filename","encrypted_shellcode.png","",0,1693141264,"","","","",""
"6db0861c-3724-4e62-895d-71a67322add6",6424,"Payload delivery","md5","df50e78576e85d2f5aee832d0a0353d9","",1,1693141264,"","","","",""
"c46519f7-8e0d-4e43-b09d-55558ca24abd",6424,"Payload delivery","sha1","2c53c2b681f483e90c80fb62263355c3144bf8ff","",1,1693141264,"","","","",""
"79932648-5c1d-4d70-98bd-9750e631902d",6424,"Payload delivery","sha256","c3ce6f8f025cd2879cf458695be3cd526dcc13162890fd44c18b8e22ae1062ae","",1,1693141264,"","","","",""
"4f65cb5c-b3ff-4bc7-bab3-4a446f1e5753",6424,"Payload delivery","mime-type","image/png","",0,1693141264,"","","","",""
"cc703e59-fc85-4955-9c10-d8d4eea055f2",6424,"Network activity","url","http://150.158.212.71:9091/encrypted_shellcode.png","",1,1693141264,"","","","",""
"43587d67-c8d2-4a37-93bc-7332e4911f94",6424,"Network activity","ip-dst","150.158.212.71","",1,1693141264,"","","","",""
"63e2cfd2-0fb3-4b00-8917-ac93d5194d8c",6424,"External analysis","link","https://www.virustotal.com/gui/file/c3ce6f8f025cd2879cf458695be3cd526dcc13162890fd44c18b8e22ae1062ae/detection","",0,1693141265,"permalink","","3b4564c9-c37f-4fe7-ba73-951796b0edb9","virustotal-report","misc"
"90c19e32-bcd1-41d8-89ad-a8227ac34fe2",6424,"Other","datetime","2023-08-12T16:42:42.000000+0000","",0,1693141265,"last-submission","","3b4564c9-c37f-4fe7-ba73-951796b0edb9","virustotal-report","misc"
"171ab755-b22a-4f93-9640-be8a4d0362f3",6424,"Other","text","8/59","",0,1693141265,"detection-ratio","","3b4564c9-c37f-4fe7-ba73-951796b0edb9","virustotal-report","misc"

