uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"918c45d1-9193-4525-bc07-cab14e4adb49",56744,"Payload delivery","filename","xjhlqg0jxr.png","",0,1624037049,"","","","",""
"fc9dc184-1549-4059-87f6-7f97b9ea1e12",56744,"Payload delivery","md5","5ec61d5b9c7dded6e87bffda038b906d","",1,1624037049,"","","","",""
"18a42274-1380-4fa0-8161-e25568cc68f1",56744,"Payload delivery","sha1","b69920c4d84d89f8e8610350ca0ae5ea60685fcb","",1,1624037049,"","","","",""
"c7877662-dec6-46a4-be92-2fae685e82b5",56744,"Payload delivery","sha256","c2e427dcffc3e2a78544cda4724e763246477e1f1cff4faf04a1c0ddd2138dca","",1,1624037049,"","","","",""
"c176034d-4c06-43f9-b290-5c490f7765ee",56744,"Payload delivery","mime-type","Zip archive data, at least v2.0 to extract","",0,1624037049,"","","","",""
"7379b1c0-a982-4029-b27a-cd2517a45268",56744,"Network activity","url","https://sangariri.github.io/577sw32/xjhlqg0jxr.png","",1,1624037049,"","","","",""
"7b58cb8e-9ea5-4392-9dfd-ffdfb1463485",56744,"Network activity","domain","sangariri.github.io","",1,1624037049,"","","","",""
"328aea4b-ceaa-404d-9da6-9a37a795a260",56744,"External analysis","link","https://www.virustotal.com/gui/file/c2e427dcffc3e2a78544cda4724e763246477e1f1cff4faf04a1c0ddd2138dca/detection","",0,1624037050,"permalink","","1f470a6f-ac93-4e8f-8bcd-5871adccd804","virustotal-report","misc"
"a269e2ef-223c-4118-8a69-8e0e93b2584a",56744,"Other","datetime","2021-06-18T15:46:57.000000+0000","",0,1624037050,"last-submission","","1f470a6f-ac93-4e8f-8bcd-5871adccd804","virustotal-report","misc"
"b698c007-60f9-4b58-923e-4af965f7e86d",56744,"Other","text","6/61","",0,1624037050,"detection-ratio","","1f470a6f-ac93-4e8f-8bcd-5871adccd804","virustotal-report","misc"

