uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"d52a0606-eafd-4af1-9626-f60d3cf83848",16346,"Payload delivery","filename","arm","",0,1654373404,"","","","",""
"1c230939-e51d-49da-a427-8659027d1161",16346,"Payload delivery","md5","f2706b48ce7eb3b7d260612d5f7ad36b","",1,1654373404,"","","","",""
"128259a1-4427-4e2a-bf1b-e1c70aa20938",16346,"Payload delivery","sha1","7ac5772abb8f3cfb3944b709a8c201dff9eeef8f","",1,1654373404,"","","","",""
"67743155-a864-45c9-8d0b-afd5d9217011",16346,"Payload delivery","sha256","6f0c949e811490823b6f61b5acfe95f8157f206d2dd6975dc59a1ba04c3b48a2","",1,1654373404,"","","","",""
"3fd81be2-39d1-484c-bc80-514f7674c1d2",16346,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, stripped","",0,1654373404,"","","","",""
"1469059b-07cf-48ac-9289-74158e1a3a6e",16346,"Network activity","url","http://46.23.109.47/gaybub/arm","",1,1654373404,"","","","",""
"0002e167-e26e-401d-b31b-e166a8f530d5",16346,"Network activity","ip-dst","46.23.109.47","",1,1654373404,"","","","",""
"8446267a-9b8b-4c43-b28d-8005add28bec",16346,"External analysis","link","https://www.virustotal.com/gui/file/6f0c949e811490823b6f61b5acfe95f8157f206d2dd6975dc59a1ba04c3b48a2/detection","",0,1654373405,"permalink","","311f77f1-5613-4fa5-9300-5762f402b17b","virustotal-report","misc"
"0834b757-fd51-4edf-a3c1-389a2ccb2c9c",16346,"Other","datetime","2022-06-02T23:36:01.000000+0000","",0,1654373405,"last-submission","","311f77f1-5613-4fa5-9300-5762f402b17b","virustotal-report","misc"
"a332956a-1760-4071-a57d-9bfbe7a70490",16346,"Other","text","19/59","",0,1654373405,"detection-ratio","","311f77f1-5613-4fa5-9300-5762f402b17b","virustotal-report","misc"

