uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"f28756c9-1223-47d1-984a-ce4406c345c2",42271,"Payload delivery","filename","boatnet.x86","",0,1685802063,"","","","",""
"c48f171c-3b24-432d-a43b-4d519c1abedd",42271,"Payload delivery","md5","e8cfeec55b3b0ebad37b4c90f02fcf47","",1,1685802063,"","","","",""
"3c425965-a4fc-4cb7-940c-af4f24d702bd",42271,"Payload delivery","sha1","758460207403d1a5efc53017cd68d2c4391f16c3","",1,1685802063,"","","","",""
"2f343697-6b5f-4b58-835e-5d985452c83d",42271,"Payload delivery","sha256","77fef2095480f4b7196d1d7a6f67aa6fd6638df096bad73404858f23912c7d85","",1,1685802063,"","","","",""
"151c4604-5756-42aa-97d0-fbcd71e4f435",42271,"Payload delivery","mime-type","application/x-executable","",0,1685802063,"","","","",""
"6f832238-5426-4a0b-ad01-bb183a6f13c2",42271,"Network activity","url","http://45.66.230.246/hiddenbin/boatnet.x86","",1,1685802063,"","","","",""
"04d52f98-ca5d-4141-9c41-d8a0aa4adffe",42271,"Network activity","ip-dst","45.66.230.246","",1,1685802063,"","","","",""
"cf6c69a6-b005-45d7-abc3-fab7a2012d48",42271,"External analysis","link","https://www.virustotal.com/gui/file/77fef2095480f4b7196d1d7a6f67aa6fd6638df096bad73404858f23912c7d85/detection","",0,1685802064,"permalink","","3a92631d-7225-4e30-a41d-8b13b8056176","virustotal-report","misc"
"b832cf16-666f-4993-aac2-5504187addce",42271,"Other","datetime","2023-06-03T07:53:10.000000+0000","",0,1685802064,"last-submission","","3a92631d-7225-4e30-a41d-8b13b8056176","virustotal-report","misc"
"430dbaf2-90df-413e-8a85-d73629fe5c57",42271,"Other","text","29/62","",0,1685802064,"detection-ratio","","3a92631d-7225-4e30-a41d-8b13b8056176","virustotal-report","misc"

